       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
           1   0.0699206   0.0169173   0.0169173           0
           1    0.209762   0.0947172   0.0947172           0
           1    0.349603    0.217674    0.217674           0
           1    0.489444    0.394462    0.394462           0
           1    0.629285    0.570522    0.570522           0
           1    0.769126    0.676727    0.676727           0
           1    0.908968    0.751845    0.751845           0
           1     1.04881    0.740059    0.740059           0
           1     1.18865    0.706754    0.706754           0
           1     1.32849    0.687288    0.687288           0
           1     1.46833     0.58393     0.58393           0
           1     1.60817     0.49398     0.49398           0
           1     1.74801    0.377644    0.377644           0
           1     1.88786     0.28104     0.28104           0
           1      2.0277     0.17606     0.17606           0
           1     2.16754    0.129181    0.129181           0
           1     2.30738   0.0878642   0.0878642           0
           1     2.44722   0.0591279   0.0591279           0
           1     2.58706   0.0477393   0.0477393           0
           1      2.7269   0.0240683   0.0240683           0
           1     2.86674   0.0141033   0.0141033           0
           1     3.00659   0.0117859   0.0117859           0
           1     3.14643   0.0062902   0.0062902           0
           1     3.28627  0.00119183  0.00119183           0
           1     3.42611           0           0           0
           1     3.56595           0           0           0
           1     3.70579           0           0           0
           1     3.84563           0           0           0
           1     3.98547           0           0           0
           1     4.12531           0           0           0
           2   0.0699206   0.0102961   0.0136067  0.00234097
           2    0.209762   0.0686625   0.0816899  0.00921172
           2    0.349603    0.182482    0.200078   0.0124423
           2    0.489444    0.342717    0.368589   0.0182947
           2    0.629285    0.513082    0.541802   0.0203079
           2    0.769126    0.634649    0.655688   0.0148769
           2    0.908968    0.756314     0.75408  0.00158016
           2     1.04881    0.802034    0.771047   0.0219115
           2     1.18865     0.75403    0.730392   0.0167145
           2     1.32849     0.70682    0.697054  0.00690587
           2     1.46833    0.567244    0.575587  0.00589925
           2     1.60817    0.531257    0.512619   0.0131797
           2     1.74801    0.433991    0.405818   0.0199217
           2     1.88786    0.319907    0.300473   0.0137415
           2      2.0277    0.226878    0.201469    0.017967
           2     2.16754    0.138881    0.134031  0.00342952
           2     2.30738   0.0718408   0.0798525  0.00566515
           2     2.44722   0.0434686   0.0512983   0.0055364
           2     2.58706   0.0196983   0.0337188  0.00991402
           2      2.7269   0.0151296    0.019599  0.00316031
           2     2.86674  0.00854144   0.0113224  0.00196642
           2     3.00659  0.00304578  0.00741582  0.00309008
           2     3.14643           0   0.0031451  0.00222392
           2     3.28627           0 0.000595914 0.000421375
           2     3.42611           0           0           0
           2     3.56595           0           0           0
           2     3.70579           0           0           0
           2     3.84563           0           0           0
           2     3.98547           0           0           0
           2     4.12531           0           0           0
           3   0.0699206  0.00549565    0.010903   0.0027035
           3    0.209762   0.0759128   0.0797642  0.00633923
           3    0.349603    0.213238    0.204465  0.00903507
           3    0.489444    0.357648    0.364942   0.0125548
           3    0.629285    0.495867     0.52649    0.018428
           3    0.769126    0.644282    0.651886   0.0103923
           3    0.908968     0.76916    0.759106  0.00423728
           3     1.04881    0.782336     0.77481   0.0149273
           3     1.18865    0.768862    0.743215   0.0152902
           3     1.32849    0.666993    0.687034  0.00938787
           3     1.46833    0.609951    0.587042    0.010146
           3     1.60817    0.496231    0.507156  0.00985366
           3     1.74801    0.396746    0.402794   0.0135086
