#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.841207    0.841207           0
           2    0.847576    0.844392   0.0022517
           3    0.852224    0.847002  0.00260711
           4     0.84521    0.846554  0.00199345
           5    0.830864    0.843416  0.00322827
           6     0.82107    0.839692  0.00433553
           7    0.823311    0.837352  0.00430162
           8    0.827334    0.836099  0.00394195
           9    0.831011    0.835534  0.00354427
          10    0.836277    0.835608  0.00319062
          11    0.833671    0.835432  0.00290542
          12    0.836789    0.835545   0.0026655
          13    0.866501    0.837927  0.00335975
          14    0.827124    0.837155  0.00320714
          15     0.83955    0.837315  0.00299731
          16    0.861003    0.838795  0.00315451
          17     0.83045    0.838304   0.0030069
          18     0.82004     0.83729  0.00300618
          19    0.831023     0.83696  0.00286599
          20    0.830263    0.836625  0.00274218
