#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.70097    -4.70097           0
           2    -4.70123     -4.7011 9.28941e-05
           3    -4.70252    -4.70158 0.000391642
           4    -4.70207     -4.7017 0.000312482
           5    -4.70184    -4.70173   0.0002512
           6    -4.69994    -4.70143 0.000342736
           7    -4.69892    -4.70107 0.000443356
           8    -4.70113    -4.70108 0.000388004
           9     -4.7005    -4.70101 0.000350198
          10    -4.70212    -4.70112 0.000332103
          11     -4.7011    -4.70112  0.00030192
          12    -4.70099    -4.70111 0.000276948
          13    -4.70331    -4.70128 0.000302728
          14    -4.70035    -4.70121  0.00028834
          15    -4.70358    -4.70137 0.000309175
          16     -4.7027    -4.70145 0.000300717
          17    -4.70059     -4.7014 0.000287329
          18    -4.70071    -4.70136 0.000273951
          19    -4.69955    -4.70127 0.000275639
          20     -4.6985    -4.70113 0.000294632
