#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.11312    -1.11312           0
           2   -0.596526   -0.854821    0.182643
           3   -0.499676   -0.736439    0.155463
           4    -0.50157   -0.677722    0.127203
           5   -0.386395   -0.619457    0.114331
           6   -0.374253   -0.578589    0.102319
           7   -0.390404   -0.551706   0.0911656
           8   -0.406859     -0.5336    0.081548
           9   -0.349392   -0.513132   0.0750117
          10   -0.359345   -0.497754    0.069069
          11   -0.370468   -0.486182    0.063752
          12   -0.365312    -0.47611   0.0592297
          13   -0.405169   -0.470653   0.0549243
          14   -0.379597   -0.464149   0.0513848
          15   -0.335543   -0.455575   0.0486692
          16   -0.387595   -0.451326   0.0458124
          17   -0.361085   -0.446018    0.043424
          18   -0.401938   -0.443569   0.0410806
          19   -0.419006   -0.442276   0.0389388
          20   -0.433917   -0.441858   0.0369941
          21   -0.421576   -0.440892   0.0352451
          22   -0.389894   -0.438574   0.0337192
          23   -0.373156    -0.43573   0.0323729
          24   -0.393714   -0.433979   0.0310713
          25   -0.424095   -0.433584    0.029831
          26   -0.461383   -0.434653   0.0287028
          27   -0.421464   -0.434165   0.0276439
          28   -0.403946   -0.433085   0.0266776
          29   -0.432378   -0.433061   0.0257577
          30   -0.482363   -0.434705   0.0249515
