#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.01793     2.01793           0
           2     2.14107      2.0795   0.0435356
           3      2.0567      2.0719   0.0296795
           4     1.98252     2.04955   0.0294955
           5     1.82993     2.00563   0.0458287
           6     1.75067     1.96314   0.0544361
           7     1.68171     1.92293   0.0596869
           8     1.61264     1.88415   0.0635921
           9      1.5438     1.84633   0.0668311
          10     1.49819     1.81152   0.0686192
          11     1.47056     1.78052   0.0690278
          12     1.46608     1.75432   0.0680673
          13     1.49513     1.73438   0.0656865
          14     1.50021     1.71765   0.0630882
          15     1.50004     1.70314   0.0605275
          16      1.4869     1.68963   0.0582339
          17     1.48861      1.6778    0.055996
          18     1.46891      1.6662   0.0540743
          19     1.44386      1.6545   0.0524793
          20     1.43122     1.64333   0.0510289
          21     1.42723     1.63304   0.0496258
          22     1.38979     1.62199   0.0485862
          23     1.36525     1.61082   0.0477388
          24      1.3577     1.60028   0.0469003
          25     1.35579      1.5905   0.0460326
          26     1.37006     1.58202   0.0450361
          27      1.3734     1.57429   0.0440259
          28     1.35711     1.56654   0.0431315
          29     1.37016     1.55976   0.0421724
          30     1.38176     1.55383    0.041182
          31     1.37141     1.54795   0.0402718
          32     1.35013     1.54176   0.0394848
          33     1.34699     1.53586   0.0387269
          34     1.35468     1.53053   0.0379528
          35     1.36561     1.52582   0.0371598
          36     1.34255     1.52073   0.0364747
          37     1.33034     1.51558     0.03585
          38     1.33644     1.51087   0.0352152
          39     1.34372     1.50658    0.034572
          40     1.35196     1.50272   0.0339231
          41     1.36708     1.49941   0.0332567
          42     1.38967      1.4968   0.0325673
          43     1.38061      1.4941   0.0319218
          44     1.35376     1.49091   0.0313553
          45     1.33922     1.48754   0.0308391
          46     1.32991     1.48411   0.0303585
          47     1.33066     1.48084   0.0298876
          48     1.33042     1.47771   0.0294288
          49     1.30781     1.47424   0.0290318
          50     1.30274     1.47081    0.028653
          51     1.30701      1.4676   0.0282706
          52     1.30618      1.4645   0.0278969
          53     1.31158     1.46161   0.0275193
          54     1.32901     1.45916    0.027119
          55     1.32461     1.45671   0.0267361
          56     1.31069      1.4541   0.0263855
          57      1.3165     1.45169   0.0260328
          58     1.31621     1.44935   0.0256885
          59     1.32273     1.44721   0.0253426
          60     1.32738     1.44521   0.0249988
          61     1.31404     1.44306   0.0246813
          62     1.31378     1.44097   0.0243711
          63     1.32103     1.43907   0.0240585
          64     1.31926      1.4372   0.0237553
          65     1.31298     1.43529   0.0234666
          66     1.29777      1.4332   0.0232034
          67     1.31267      1.4314   0.0229267
          68     1.33257     1.42995   0.0226356
          69     1.34049     1.42865   0.0223446
          70     1.31575     1.42704   0.0220835
          71       1.309     1.42538    0.021835
          72     1.30726     1.42374   0.0215933
          73     1.31127      1.4222   0.0213524
          74     1.29794     1.42052   0.0211297
          75     1.29377     1.41883   0.0209155
          76     1.31125     1.41741   0.0206881
          77     1.31325     1.41606   0.0204636
          78      1.3056     1.41464   0.0202502
          79      1.3022     1.41322   0.0200438
          80     1.30031     1.41181   0.0198429
          81     1.28851     1.41029   0.0196563
          82     1.28261     1.40873   0.0194781
          83     1.29428     1.40735   0.0192922
          84     1.30081     1.40608   0.0191042
          85     1.30471     1.40489   0.0189166
          86     1.32099     1.40391   0.0187218
          87     1.33555     1.40313   0.0185231
          88     1.33101     1.40231   0.0183307
          89     1.33144     1.40151    0.018142
          90     1.31966      1.4006   0.0179632
          91     1.30571     1.39956   0.0177961
          92     1.30764     1.39856   0.0176307
          93     1.29917     1.39749   0.0174734
          94     1.30281     1.39648   0.0173166
          95     1.30796     1.39555   0.0171593
          96     1.30958     1.39466    0.017004
          97     1.30426     1.39373   0.0168542
          98     1.29492     1.39272   0.0167123
          99       1.316     1.39194   0.0165615
         100     1.31552     1.39118   0.0164135
         101     1.30251      1.3903   0.0162744
         102     1.29888      1.3894   0.0161395
         103     1.29271     1.38847   0.0160101
         104      1.3052     1.38766   0.0158762
         105     1.30268     1.38686   0.0157456
         106     1.31709      1.3862   0.0156108
         107      1.3215     1.38559   0.0154766
         108     1.32527     1.38503   0.0153434
         109     1.31914     1.38443   0.0152145
         110     1.30227     1.38368   0.0150945
         111      1.3062     1.38298   0.0149747
         112     1.32302     1.38245   0.0148505
         113     1.32413     1.38193   0.0147281
         114     1.32028     1.38139   0.0146088
         115     1.32227     1.38088   0.0144908
         116     1.33416     1.38048   0.0143715
         117      1.3243        1.38   0.0142567
         118     1.32602     1.37954   0.0141432
         119     1.32969     1.37912   0.0140306
         120     1.33538     1.37875   0.0139184
         121     1.33498     1.37839    0.013808
         122     1.34549     1.37812   0.0136975
         123     1.35594     1.37794   0.0135873
         124     1.34507     1.37768   0.0134803
         125     1.33428     1.37733    0.013377
         126     1.34675     1.37709    0.013273
         127     1.36337     1.37698   0.0131689
         128     1.35579     1.37681   0.0130671
         129     1.35725     1.37666   0.0129667
         130     1.35192     1.37647   0.0128683
         131     1.35608     1.37632    0.012771
         132     1.37089     1.37628   0.0126743
         133     1.35982     1.37615   0.0125797
         134     1.36504     1.37607   0.0124861
         135     1.36436     1.37598   0.0123939
         136     1.36175     1.37588   0.0123032
         137     1.35772     1.37574   0.0122141
         138     1.35783     1.37561   0.0121263
         139     1.36916     1.37557   0.0120391
         140     1.35507     1.37542    0.011954
         141     1.33179     1.37511   0.0118732
         142      1.3043     1.37461   0.0118001
         143     1.32386     1.37426   0.0117229
         144     1.33649       1.374   0.0116444
         145     1.33197     1.37371   0.0115677
         146     1.32687     1.37339   0.0114929
         147     1.33096      1.3731   0.0114184
         148     1.35285     1.37296   0.0113421
         149     1.34241     1.37276   0.0112678
         150     1.32085     1.37241    0.011198
         151     1.33014     1.37213   0.0111273
         152     1.33868     1.37191   0.0110563
         153      1.3483     1.37176   0.0109851
         154     1.34519     1.37158   0.0109151
         155     1.33377     1.37134   0.0108474
         156     1.29968     1.37088   0.0107876
         157     1.30187     1.37044   0.0107279
         158     1.33816     1.37024   0.0106619
         159     1.37004     1.37023   0.0105949
         160     1.33795     1.37003   0.0105306
         161      1.3171      1.3697   0.0104703
         162     1.30085     1.36928   0.0104143
         163     1.27958     1.36873   0.0103649
         164     1.27327     1.36815    0.010318
         165     1.27825      1.3676   0.0102699
         166     1.29998     1.36719   0.0102161
         167     1.31136     1.36686   0.0101604
         168     1.30915     1.36652   0.0101057
         169     1.29872     1.36612   0.0100539
         170     1.30059     1.36573   0.0100021
         171     1.29776     1.36533  0.00995152
         172     1.31085     1.36502   0.0098987
         173     1.32642     1.36479    0.009844
         174     1.35788     1.36475   0.0097875
         175     1.34569     1.36464  0.00973218
         176     1.34974     1.36456  0.00967725
         177     1.33162     1.36437  0.00962437
         178     1.33052     1.36418  0.00957217
         179     1.34809     1.36409  0.00951912
         180     1.37098     1.36413  0.00946631
         181      1.3816     1.36423  0.00941451
         182     1.36525     1.36423  0.00936278
         183     1.34314     1.36412  0.00931233
         184     1.31784     1.36387  0.00926511
         185     1.28921     1.36346  0.00922382
         186     1.29152     1.36308  0.00918233
         187     1.30613     1.36277  0.00913828
         188     1.31002     1.36249  0.00909397
         189     1.30029     1.36216  0.00905181
         190     1.29536     1.36181    0.009011
         191     1.29313     1.36145  0.00897099
         192     1.31619     1.36122  0.00892736
         193     1.32763     1.36104   0.0088828
         194     1.34429     1.36095  0.00883743
         195     1.35278     1.36091  0.00879221
         196     1.36012     1.36091  0.00874736
         197     1.37052     1.36096  0.00870309
         198     1.34647     1.36088  0.00865944
         199     1.32838     1.36072  0.00861747
         200       1.327     1.36055  0.00857603
         201     1.33296     1.36042  0.00853446
         202     1.33747      1.3603  0.00849297
         203     1.34163     1.36021  0.00845163
         204     1.33612     1.36009  0.00841102
         205     1.33289     1.35996  0.00837104
         206     1.33942     1.35986    0.008331
         207     1.33421     1.35974  0.00829167
         208     1.32208     1.35955  0.00825378
         209     1.32375     1.35938  0.00821607
         210     1.32314     1.35921  0.00817876
         211     1.31763     1.35901  0.00814237
         212     1.32384     1.35885  0.00810565
         213     1.34085     1.35876  0.00806804
         214     1.33327     1.35864  0.00803122
         215       1.332     1.35852  0.00799482
         216     1.32791     1.35838  0.00795906
         217     1.33375     1.35826  0.00792319
         218     1.29656     1.35798   0.0078919
         219     1.29107     1.35768  0.00786178
         220     1.29958     1.35741  0.00783048
         221     1.31121      1.3572  0.00779784
         222     1.30318     1.35696  0.00776651
         223     1.31673     1.35678  0.00773377
         224     1.31145     1.35658   0.0077019
         225     1.30163     1.35633  0.00767154
         226     1.29726     1.35607  0.00764204
         227     1.30267     1.35584    0.007612
         228      1.3308     1.35573   0.0075794
         229     1.34945      1.3557  0.00754635
         230     1.35511      1.3557  0.00751354
         231      1.3753     1.35578   0.0074815
         232     1.36897     1.35584  0.00744947
         233     1.36406     1.35587  0.00741758
         234     1.35219     1.35586  0.00738589
         235     1.34986     1.35583  0.00735451
         236     1.35343     1.35582  0.00732335
         237     1.36043     1.35584  0.00729248
         238     1.37369     1.35592  0.00726222
         239     1.36061     1.35594  0.00723186
         240     1.35148     1.35592  0.00720176
         241     1.33829     1.35584  0.00717224
         242     1.34678     1.35581  0.00714271
         243     1.33799     1.35573  0.00711369
         244     1.36267     1.35576  0.00708459
         245     1.36958     1.35582   0.0070559
         246     1.36776     1.35587  0.00702738
         247     1.34638     1.35583  0.00699904
         248     1.33106     1.35573  0.00697153
         249     1.31236     1.35555   0.0069457
         250      1.3265     1.35544  0.00691889
