#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59077     1.59077           0
           2     1.59023      1.5905 0.000192711
           3     1.59161     1.59087 0.000329541
           4     1.59294     1.59139 0.000511578
           5     1.59355     1.59182  0.00056352
           6     1.59394     1.59217 0.000569324
           7     1.59469     1.59253 0.000590439
           8     1.59546      1.5929 0.000619969
           9     1.59566     1.59321 0.000622143
          10     1.59573     1.59346 0.000609078
          11     1.59592     1.59368 0.000593505
          12     1.59585     1.59386  0.00057086
          13     1.59616     1.59404 0.000553571
          14     1.59639     1.59421 0.000538846
          15     1.59627     1.59434 0.000520118
          16     1.59658     1.59448 0.000506072
          17     1.59675     1.59462 0.000493502
          18     1.59673     1.59473 0.000479795
          19     1.59694     1.59485 0.000468416
          20     1.59666     1.59494 0.000453605
          21     1.59688     1.59503 0.000441288
          22      1.5965      1.5951   0.0004262
          23     1.59688     1.59518 0.000414618
          24     1.59666     1.59524 0.000401941
          25     1.59637     1.59528 0.000388389
          26      1.5966     1.59534 0.000376739
          27      1.5969     1.59539 0.000367217
          28     1.59664     1.59544   0.0003568
          29     1.59644     1.59547 0.000346176
          30     1.59663     1.59551 0.000336775
          31     1.59651     1.59554 0.000327437
          32     1.59666     1.59558 0.000319057
          33     1.59655     1.59561 0.000310756
          34     1.59632     1.59563 0.000302329
          35     1.59679     1.59566 0.000295493
          36     1.59669     1.59569  0.00028867
          37      1.5966     1.59571 0.000281914
          38     1.59648     1.59573 0.000275216
          39     1.59651     1.59575 0.000268867
          40     1.59667     1.59578 0.000263117
          41     1.59636     1.59579 0.000257078
          42      1.5967     1.59581 0.000251871
          43     1.59669     1.59583 0.000246839
          44     1.59682     1.59586 0.000242253
          45     1.59672     1.59588 0.000237621
          46     1.59672     1.59589 0.000233161
          47     1.59662     1.59591 0.000228707
          48     1.59681     1.59593 0.000224704
          49     1.59676     1.59594 0.000220756
          50      1.5967     1.59596  0.00021685
          51     1.59658     1.59597 0.000212941
          52     1.59667     1.59599 0.000209264
          53     1.59663       1.596 0.000205672
          54     1.59625       1.596 0.000201918
          55     1.59669     1.59601 0.000198629
          56     1.59674     1.59603 0.000195505
          57     1.59656     1.59604 0.000192295
          58     1.59659     1.59605 0.000189212
          59     1.59648     1.59605 0.000186148
          60     1.59677     1.59607 0.000183425
          61     1.59683     1.59608 0.000180844
          62     1.59647     1.59608 0.000178037
          63     1.59657     1.59609 0.000175374
          64     1.59684      1.5961  0.00017302
          65     1.59692     1.59612 0.000170811
          66     1.59665     1.59612 0.000168414
          67     1.59651     1.59613    0.000166
          68     1.59652     1.59614 0.000163659
          69     1.59671     1.59614 0.000161495
          70     1.59665     1.59615 0.000159352
          71     1.59685     1.59616 0.000157409
          72     1.59685     1.59617  0.00015551
          73     1.59643     1.59617 0.000153421
          74      1.5968     1.59618 0.000151581
          75     1.59675     1.59619  0.00014975
          76     1.59668      1.5962 0.000147915
          77     1.59672      1.5962 0.000146149
          78     1.59689     1.59621 0.000144538
          79     1.59665     1.59622 0.000142815
          80     1.59695     1.59623 0.000141321
          81     1.59694     1.59624 0.000139854
          82     1.59674     1.59624 0.000138286
          83     1.59688     1.59625 0.000136831
          84     1.59709     1.59626 0.000135567
          85     1.59666     1.59626 0.000134055
          86     1.59686     1.59627 0.000132673
          87     1.59687     1.59628 0.000131328
          88     1.59676     1.59628 0.000129951
          89     1.59678     1.59629 0.000128612
          90     1.59685      1.5963 0.000127333
          91     1.59681      1.5963 0.000126058
          92     1.59687     1.59631 0.000124837
          93     1.59688     1.59631 0.000123644
          94     1.59665     1.59632  0.00012238
          95     1.59681     1.59632 0.000121204
          96      1.5969     1.59633 0.000120093
          97     1.59666     1.59633 0.000118903
          98      1.5968     1.59634 0.000117785
          99     1.59695     1.59634 0.000116759
         100     1.59683     1.59635 0.000115693
         101     1.59669     1.59635 0.000114596
         102     1.59687     1.59636 0.000113586
         103     1.59691     1.59636  0.00011261
         104     1.59635     1.59636 0.000111527
         105     1.59689     1.59637 0.000110578
         106     1.59679     1.59637 0.000109606
         107     1.59648     1.59637 0.000108587
         108     1.59676     1.59637  0.00010764
         109     1.59699     1.59638 0.000106798
         110     1.59675     1.59638  0.00010588
         111     1.59674     1.59639 0.000104976
         112     1.59666     1.59639 0.000104067
         113     1.59681     1.59639 0.000103214
         114     1.59663      1.5964  0.00010233
         115     1.59681      1.5964 0.000101504
         116     1.59664      1.5964  0.00010065
         117     1.59678      1.5964 9.98424e-05
         118     1.59664     1.59641 9.90157e-05
         119     1.59666     1.59641 9.82062e-05
         120     1.59673     1.59641 9.74246e-05
         121      1.5964     1.59641 9.66195e-05
         122      1.5965     1.59641 9.58305e-05
         123     1.59668     1.59641 9.50769e-05
         124     1.59658     1.59642 9.43196e-05
         125     1.59645     1.59642 9.35655e-05
         126     1.59629     1.59641 9.28286e-05
         127     1.59619     1.59641  9.2115e-05
         128     1.59647     1.59641 9.13963e-05
         129     1.59668     1.59642 9.07106e-05
         130     1.59644     1.59642  9.0013e-05
         131     1.59656     1.59642 8.93326e-05
         132     1.59634     1.59642 8.86576e-05
         133     1.59669     1.59642 8.80156e-05
         134     1.59663     1.59642 8.73729e-05
         135     1.59685     1.59642 8.67845e-05
         136     1.59675     1.59643 8.61797e-05
         137     1.59665     1.59643 8.55661e-05
         138      1.5966     1.59643 8.49551e-05
         139     1.59655     1.59643 8.43486e-05
         140     1.59713     1.59643 8.38941e-05
         141     1.59706     1.59644 8.34183e-05
         142     1.59647     1.59644 8.28312e-05
         143     1.59677     1.59644 8.22845e-05
         144     1.59711     1.59645 8.18429e-05
         145     1.59628     1.59644 8.12861e-05
         146     1.59662     1.59645 8.07387e-05
         147     1.59649     1.59645   8.019e-05
         148     1.59658     1.59645  7.9653e-05
         149     1.59669     1.59645 7.91348e-05
         150     1.59676     1.59645 7.86343e-05
         151     1.59671     1.59645 7.81325e-05
         152     1.59645     1.59645 7.76184e-05
         153     1.59664     1.59645 7.71205e-05
         154     1.59653     1.59645 7.66215e-05
         155     1.59707     1.59646 7.62293e-05
         156     1.59667     1.59646 7.57531e-05
         157     1.59664     1.59646 7.52789e-05
         158     1.59653     1.59646 7.48035e-05
         159     1.59677     1.59646 7.43587e-05
         160     1.59703     1.59647 7.39791e-05
         161     1.59673     1.59647 7.35381e-05
         162     1.59691     1.59647 7.31341e-05
         163     1.59668     1.59647 7.26968e-05
         164     1.59695     1.59648 7.23122e-05
         165     1.59676     1.59648 7.18947e-05
         166     1.59652     1.59648 7.14621e-05
         167     1.59673     1.59648 7.10507e-05
         168     1.59681     1.59648 7.06547e-05
         169     1.59691     1.59648 7.02813e-05
         170     1.59674     1.59648 6.98848e-05
         171     1.59653     1.59648 6.94765e-05
         172     1.59662     1.59649 6.90768e-05
         173     1.59661     1.59649 6.86815e-05
         174     1.59656     1.59649  6.8288e-05
         175      1.5968     1.59649 6.79212e-05
         176     1.59685     1.59649  6.7567e-05
         177     1.59656     1.59649 6.71864e-05
         178     1.59665     1.59649 6.68147e-05
         179     1.59644     1.59649  6.6442e-05
         180     1.59648     1.59649 6.60729e-05
         181     1.59659     1.59649 6.57103e-05
         182     1.59673     1.59649 6.53626e-05
         183     1.59691      1.5965 6.50446e-05
         184     1.59694      1.5965  6.4735e-05
         185     1.59687      1.5965 6.44163e-05
         186     1.59675      1.5965 6.40835e-05
         187     1.59666      1.5965 6.37463e-05
         188      1.5967      1.5965 6.34162e-05
         189     1.59695     1.59651 6.31239e-05
         190     1.59677     1.59651 6.28067e-05
         191     1.59677     1.59651 6.24927e-05
         192     1.59668     1.59651 6.21737e-05
         193     1.59673     1.59651 6.18624e-05
         194     1.59652     1.59651 6.15435e-05
         195      1.5968     1.59651 6.12453e-05
         196     1.59661     1.59651  6.0935e-05
