#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     3.41586     3.41586           0
           2     3.44879     3.43233   0.0116432
           3     3.50133     3.45533   0.0203215
           4     3.54977     3.47894   0.0255024
           5     3.54686     3.49252   0.0237459
           6     3.53118     3.49896    0.020644
           7     3.54517     3.50557   0.0187204
           8      3.5701     3.51363    0.018035
           9     3.54988     3.51766   0.0164746
          10     3.55459     3.52135   0.0152355
          11     3.53622      3.5227   0.0139102
          12     3.54447     3.52452   0.0128688
          13     3.55435     3.52681   0.0120817
          14     3.54044     3.52779   0.0112579
          15     3.55425     3.52955   0.0106447
          16     3.57016     3.53209   0.0102774
          17     3.56483     3.53401  0.00985174
          18     3.56648     3.53582  0.00946809
          19     3.52844     3.53543  0.00897774
          20     3.55186     3.53625  0.00856637
          21     3.56617     3.53768  0.00827605
          22       3.587     3.53992  0.00819797
          23     3.61137     3.54302  0.00840954
          24     3.58691     3.54485  0.00825557
          25     3.60268     3.54717  0.00824304
          26     3.59068     3.54884   0.0080941
          27     3.54572     3.54872  0.00779514
          28     3.53101     3.54809  0.00754237
          29     3.55044     3.54817  0.00728272
          30      3.5542     3.54837  0.00704274
          31     3.56732     3.54898    0.006842
          32     3.57635     3.54984  0.00668142
          33     3.58404     3.55088  0.00655883
          34     3.58816     3.55197  0.00645696
          35     3.56411     3.55232  0.00628178
          36     3.53506     3.55184  0.00612555
          37     3.55589     3.55195  0.00596097
          38     3.58616     3.55285   0.0058717
          39     3.57889     3.55352  0.00575899
          40     3.56837     3.55389  0.00562697
          41     3.56695     3.55421  0.00549875
          42     3.57223     3.55464  0.00538454
          43      3.5372     3.55423  0.00527457
          44     3.53111     3.55371   0.0051808
          45     3.53346     3.55326  0.00508518
          46     3.53372     3.55283  0.00499233
          47     3.52403     3.55222  0.00492359
          48     3.52697     3.55169  0.00484903
          49     3.57187      3.5521  0.00476752
          50     3.55837     3.55223  0.00467382
          51     3.53823     3.55196  0.00459023
          52     3.53409     3.55161  0.00451479
          53     3.56244     3.55182  0.00443422
          54      3.5341     3.55149  0.00436422
          55     3.57417      3.5519  0.00430431
          56     3.55994     3.55204  0.00422984
          57      3.5866     3.55265  0.00419885
          58     3.55786     3.55274  0.00412742
          59     3.59078     3.55338  0.00410751
          60     3.55839     3.55347   0.0040399
          61     3.54781     3.55338  0.00397473
          62      3.5745     3.55372  0.00392521
          63     3.58286     3.55418  0.00389006
          64      3.6075     3.55501  0.00391747
          65     3.56456     3.55516  0.00385995
          66     3.57804     3.55551    0.003817
          67     3.58587     3.55596  0.00378684
          68     3.59462     3.55653  0.00377359
          69     3.57505      3.5568  0.00372844
          70     3.55754     3.55681  0.00367519
          71     3.57102     3.55701  0.00362887
          72     3.57508     3.55726  0.00358715
          73     3.56906     3.55742  0.00354165
          74     3.55479     3.55738  0.00349397
          75     3.56198     3.55744  0.00344792
          76     3.56505     3.55754  0.00340401
          77      3.5563     3.55753  0.00335984
          78     3.56758     3.55766  0.00331923
          79     3.56645     3.55777  0.00327908
          80     3.58841     3.55815  0.00326038
          81     3.59351     3.55859  0.00324922
          82     3.58067     3.55886  0.00322073
          83     3.54969     3.55875  0.00318382
          84     3.59239     3.55915  0.00317101
          85     3.57711     3.55936  0.00314074
          86     3.60149     3.55985   0.0031422
          87     3.57376     3.56001  0.00311015
          88     3.58905     3.56034  0.00309227
          89     3.59122     3.56069  0.00307694
          90     3.58163     3.56092  0.00305153
          91     3.56524     3.56097  0.00301837
          92     3.58823     3.56126  0.00300008
          93     3.60588     3.56174  0.00300593
          94     3.60435      3.5622  0.00300794
          95     3.58285     3.56241  0.00298413
          96     3.58202     3.56262  0.00296002
          97     3.60272     3.56303  0.00295824
          98     3.60506     3.56346  0.00295898
          99     3.57623     3.56359  0.00293191
         100     3.56864     3.56364  0.00290302
         101     3.58696     3.56387  0.00288345
         102     3.56724      3.5639  0.00285537
         103     3.56783     3.56394   0.0028279
         104     3.57106     3.56401  0.00280154
         105     3.61349     3.56448   0.0028142
         106     3.61731     3.56498  0.00283145
         107     3.60682     3.56537  0.00283186
         108     3.60573     3.56574   0.0028302
         109     3.61541      3.5662  0.00284068
         110     3.55911     3.56613  0.00281558
         111     3.57202     3.56619  0.00279072
         112     3.57682     3.56628  0.00276741
         113     3.60781     3.56665  0.00276722
         114      3.5838      3.5668  0.00274703
         115     3.58761     3.56698   0.0027291
         116     3.59152     3.56719  0.00271375
         117     3.57533     3.56726  0.00269145
         118     3.57221      3.5673  0.00266897
         119     3.59013      3.5675  0.00265342
         120     3.57541     3.56756  0.00263213
         121     3.58927     3.56774  0.00261648
         122     3.58593     3.56789  0.00259928
         123     3.56774     3.56789  0.00257815
         124     3.54782     3.56773  0.00256243
         125     3.57431     3.56778  0.00254247
         126     3.56559     3.56776  0.00252235
         127     3.56456     3.56774  0.00250262
         128     3.58524     3.56787   0.0024868
         129     3.59105     3.56805    0.002474
         130     3.56829     3.56806  0.00245497
         131     3.57561     3.56811  0.00243691
         132     3.57738     3.56818  0.00241946
         133     3.60913     3.56849  0.00242078
         134     3.62364      3.5689  0.00243745
         135     3.57526     3.56895  0.00241985
         136     3.58946      3.5691  0.00240675
         137     3.55342     3.56899   0.0023919
         138     3.56299     3.56894  0.00237497
         139     3.57125     3.56896  0.00235794
         140     3.58416     3.56907  0.00234359
         141     3.58905     3.56921  0.00233125
         142     3.59146     3.56937  0.00232009
         143     3.56014      3.5693  0.00230476
         144     3.57722     3.56936  0.00228941
         145     3.57253     3.56938  0.00227373
         146     3.56498     3.56935  0.00225836
         147     3.59314     3.56951  0.00224878
         148     3.59431     3.56968  0.00223982
         149      3.5675     3.56966  0.00222484
         150     3.54361     3.56949  0.00221677
         151     3.53842     3.56928  0.00221162
         152     3.50786     3.56888  0.00223368
         153     3.53779     3.56868   0.0022283
         154     3.56423     3.56865  0.00221402
         155     3.57179     3.56867  0.00219983
         156     3.57892     3.56873  0.00218671
         157     3.57297     3.56876  0.00217295
         158     3.56742     3.56875  0.00215921
         159     3.56941     3.56876  0.00214563
         160     3.56265     3.56872  0.00213256
         161     3.55903     3.56866  0.00212017
         162     3.59015     3.56879  0.00211123
         163     3.61628     3.56908  0.00211828
         164     3.59324     3.56923  0.00211048
         165     3.57419     3.56926   0.0020979
         166     3.57961     3.56932  0.00208619
         167     3.60121     3.56951  0.00208242
         168     3.59008     3.56964  0.00207362
         169     3.55224     3.56953   0.0020639
         170     3.56099     3.56948  0.00205237
         171     3.57174      3.5695  0.00204041
         172     3.58793      3.5696  0.00203136
         173     3.59773     3.56977  0.00202612
         174     3.60268     3.56995  0.00202328
         175     3.60218     3.57014  0.00202008
         176     3.58244     3.57021  0.00200981
         177     3.56467     3.57018   0.0019987
