#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      3.0269      3.0269           0
           2      3.2116     3.11925   0.0653034
           3     3.08505     3.10785   0.0445192
           4     2.97378     3.07433   0.0442432
           5      2.7449     3.00845    0.068743
           6       2.626     2.94471   0.0816542
           7     2.52257      2.8844   0.0895303
           8     2.41895     2.82622   0.0953881
           9      2.3157     2.76949    0.100247
          10     2.24728     2.71727    0.102929
          11     2.20583     2.67078    0.103542
          12     2.19913     2.63147    0.102101
          13     2.24269     2.60157   0.0985297
          14     2.25032     2.57648   0.0946323
          15     2.25005     2.55472   0.0907912
          16     2.23034     2.53444   0.0873509
          17     2.23292     2.51671    0.083994
          18     2.20337      2.4993   0.0811115
          19     2.16579     2.48175   0.0787189
          20     2.14683       2.465   0.0765434
          21     2.14084     2.44956   0.0744387
          22     2.08469     2.43298   0.0728793
          23     2.04787     2.41624   0.0716082
          24     2.03655     2.40042   0.0703504
          25     2.03368     2.38575   0.0690488
          26     2.05509     2.37303   0.0675541
          27      2.0601     2.36144   0.0660389
          28     2.03566      2.3498   0.0646972
          29     2.05523     2.33965   0.0632586
          30     2.07264     2.33075    0.061773
          31     2.05711     2.32192   0.0604076
          32      2.0252     2.31265   0.0592273
          33     2.02049     2.30379   0.0580904
          34     2.03201      2.2958   0.0569292
          35     2.04841     2.28873   0.0557397
          36     2.01382     2.28109    0.054712
          37     1.99551     2.27338    0.053775
          38     2.00466      2.2663   0.0528227
          39     2.01559     2.25988    0.051858
          40     2.02794     2.25408   0.0508847
          41     2.05061     2.24912    0.049885
          42     2.08451      2.2452    0.048851
          43     2.07092     2.24114   0.0478827
          44     2.03064     2.23636   0.0470329
          45     2.00883      2.2313   0.0462587
          46     1.99486     2.22616   0.0455378
          47       1.996     2.22127   0.0448314
          48     1.99563     2.21656   0.0441432
          49     1.96171     2.21136   0.0435476
          50     1.95411     2.20622   0.0429796
          51     1.96052      2.2014    0.042406
          52     1.95927     2.19674   0.0418453
          53     1.96738     2.19242    0.041279
          54     1.99352     2.18873   0.0406786
          55     1.98692     2.18506   0.0401041
          56     1.96604     2.18115   0.0395782
          57     1.97475     2.17753   0.0390492
          58     1.97431     2.17403   0.0385328
          59      1.9841     2.17081   0.0380139
          60     1.99107     2.16781   0.0374982
          61     1.97106     2.16459   0.0370219
          62     1.97067     2.16146   0.0365567
          63     1.98154      2.1586   0.0360878
          64     1.97889      2.1558    0.035633
          65     1.96947     2.15293   0.0351999
          66     1.94666      2.1498   0.0348051
          67     1.96901     2.14711     0.03439
          68     1.99886     2.14493   0.0339533
          69     2.01073     2.14298   0.0335169
          70     1.97362     2.14056   0.0331253
          71      1.9635     2.13807   0.0327525
          72     1.96089     2.13561   0.0323899
          73      1.9669      2.1333   0.0320286
          74     1.94691     2.13078   0.0316946
          75     1.94066     2.12824   0.0313732
          76     1.96687     2.12612   0.0310322
          77     1.96988     2.12409   0.0306954
          78      1.9584     2.12197   0.0303753
          79     1.95329     2.11983   0.0300658
          80     1.95046     2.11771   0.0297644
          81     1.93276     2.11543   0.0294844
          82     1.92392     2.11309   0.0292172
          83     1.94141     2.11103   0.0289383
          84     1.95122     2.10912   0.0286562
          85     1.95706     2.10733   0.0283749
          86     1.98148     2.10587   0.0280827
          87     2.00332     2.10469   0.0277846
          88     1.99651     2.10346   0.0274961
          89     1.99717     2.10227    0.027213
          90     1.97948      2.1009   0.0269448
          91     1.95857     2.09934   0.0266941
          92     1.96145     2.09784    0.026446
          93     1.94875     2.09624   0.0262102
          94     1.95421     2.09473   0.0259749
          95     1.96193     2.09333    0.025739
          96     1.96437     2.09199   0.0255059
          97      1.9564     2.09059   0.0252813
          98     1.94238     2.08908   0.0250685
          99       1.974     2.08791   0.0248422
         100     1.97328     2.08677   0.0246202
         101     1.95376     2.08545   0.0244116
         102     1.94831     2.08411   0.0242093
         103     1.93907      2.0827   0.0240152
         104     1.95779      2.0815   0.0238143
         105     1.95401     2.08028   0.0236184
         106     1.97563      2.0793   0.0234162
         107     1.98225     2.07839   0.0232149
         108     1.98791     2.07755   0.0230151
         109     1.97871     2.07664   0.0228218
         110     1.95341     2.07552   0.0226418
         111     1.95931     2.07448    0.022462
         112     1.98453     2.07367   0.0222758
         113     1.98619      2.0729   0.0220921
         114     1.98042     2.07209   0.0219132
         115      1.9834     2.07132   0.0217363
         116     2.00124     2.07071   0.0215573
         117     1.98646     2.06999    0.021385
         118     1.98902     2.06931   0.0212148
         119     1.99454     2.06868   0.0210458
         120     2.00307     2.06813   0.0208776
         121     2.00248     2.06759   0.0207121
         122     2.01824     2.06718   0.0205462
         123     2.03392     2.06691    0.020381
         124     2.01761     2.06652   0.0202205
         125     2.00142       2.066   0.0200654
         126     2.02013     2.06563   0.0199095
         127     2.04505     2.06547   0.0197534
         128     2.03368     2.06522   0.0196006
         129     2.03587     2.06499     0.01945
         130     2.02789     2.06471   0.0193025
         131     2.03411     2.06447   0.0191565
         132     2.05634     2.06441   0.0190115
         133     2.03973     2.06423   0.0188695
         134     2.04756      2.0641   0.0187291
         135     2.04654     2.06397   0.0185908
         136     2.04262     2.06382   0.0184548
         137     2.03658     2.06362   0.0183211
         138     2.03675     2.06342   0.0181894
         139     2.05375     2.06335   0.0180587
         140     2.03261     2.06313    0.017931
         141     1.99769     2.06267   0.0178099
         142     1.95645     2.06192   0.0177001
         143     1.98579     2.06139   0.0175844
         144     2.00473       2.061   0.0174666
         145     1.99796     2.06056   0.0173516
         146      1.9903     2.06008   0.0172394
