#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.43612    -1.43612           0
           2    -1.62137    -1.52875   0.0654961
           3    -1.49344    -1.51698   0.0447091
           4    -1.38084    -1.48294   0.0446452
           5    -1.15135    -1.41662   0.0692407
           6    -1.03206    -1.35253   0.0821746
           7   -0.927882    -1.29187   0.0900863
           8    -0.82349    -1.23332   0.0959831
           9   -0.720044    -1.17629    0.100848
          10    -0.65155    -1.12382    0.103519
          11    -0.60991     -1.0771    0.104118
          12   -0.603277    -1.03761    0.102656
          13   -0.646535    -1.00753   0.0990689
          14   -0.653927   -0.982272   0.0951577
          15   -0.653787   -0.960373   0.0912989
          16   -0.633761   -0.939959   0.0878452
          17   -0.636174    -0.92209   0.0844758
          18   -0.606642   -0.904565   0.0815802
          19   -0.568846   -0.886895   0.0791769
          20   -0.550172   -0.870059   0.0769873
          21    -0.54396   -0.854531   0.0748709
          22   -0.488195   -0.837879    0.073296
          23   -0.450996   -0.821058   0.0720135
          24   -0.439888   -0.805176   0.0707426
          25   -0.437317   -0.790462   0.0694263
          26   -0.458485   -0.777693   0.0679201
          27   -0.463196   -0.766045   0.0663958
          28   -0.439016   -0.754366   0.0650437
          29    -0.45879   -0.744173   0.0635943
          30   -0.476007   -0.735234   0.0620996
          31   -0.460608   -0.726376    0.060725
          32   -0.428541   -0.717068   0.0595363
          33   -0.423936   -0.708185   0.0583911
          34   -0.435691   -0.700171   0.0572211
          35   -0.451623    -0.69307   0.0560251
          36   -0.417125   -0.685404   0.0549907
          37   -0.398913   -0.677661   0.0540469
          38    -0.40818    -0.67057   0.0530878
          39    -0.41908   -0.664121   0.0521167
          40   -0.431274     -0.6583   0.0511379
          41   -0.454258   -0.653324   0.0501322
          42   -0.487808   -0.649383   0.0490932
          43   -0.474229   -0.645309   0.0481202
          44   -0.433812   -0.640503    0.047266
          45   -0.412112   -0.635427   0.0464874
          46   -0.398141   -0.630269   0.0457621
          47   -0.399378   -0.625356   0.0450513
          48   -0.398829   -0.620637   0.0443592
          49   -0.364953   -0.615419   0.0437598
          50   -0.357412   -0.610259   0.0431878
          51    -0.36394   -0.605429   0.0426101
          52     -0.3626   -0.600759   0.0420458
          53   -0.370744   -0.596419   0.0414759
          54   -0.397263   -0.592731   0.0408715
          55   -0.390229   -0.589049   0.0402938
          56   -0.369295   -0.585125   0.0397649
          57   -0.378196   -0.581495   0.0392327
          58   -0.377723   -0.577982   0.0387132
          59   -0.387616   -0.574755   0.0381913
          60   -0.394299   -0.571747    0.037673
          61   -0.374237    -0.56851   0.0371943
          62   -0.374198   -0.565375   0.0367262
          63   -0.384979   -0.562512   0.0362547
          64   -0.382052   -0.559692   0.0357977
          65   -0.372549   -0.556813   0.0353626
          66   -0.350008    -0.55368   0.0349653
          67   -0.372495   -0.550976   0.0345479
          68   -0.402335    -0.54879   0.0341089
          69   -0.414022   -0.546836   0.0336704
          70   -0.376966    -0.54441   0.0332768
          71   -0.366652   -0.541906   0.0329021
          72    -0.36404   -0.539436   0.0325377
          73   -0.370471   -0.537121   0.0321742
          74   -0.350106   -0.534594   0.0318386
          75   -0.343909   -0.532052   0.0315154
          76   -0.370195   -0.529922   0.0311726
          77   -0.373161   -0.527886   0.0308342
          78   -0.361515   -0.525753   0.0305125
          79   -0.356644   -0.523612   0.0302013
          80   -0.353515   -0.521486   0.0298985
          81   -0.335818   -0.519194   0.0296171
          82   -0.327175   -0.516852   0.0293484
          83   -0.344535   -0.514776   0.0290681
          84    -0.35413   -0.512864   0.0287849
          85     -0.3604    -0.51107   0.0285021
          86   -0.384622     -0.5096   0.0282086
          87   -0.406451   -0.508414   0.0279093
          88   -0.399745   -0.507179   0.0276194
          89   -0.400383   -0.505979   0.0273351
          90   -0.382635   -0.504609   0.0270658
          91   -0.361761   -0.503039   0.0268138
          92   -0.364588   -0.501534   0.0265646
          93    -0.35188   -0.499925   0.0263276
          94    -0.35756    -0.49841    0.026091
          95    -0.36512   -0.497007   0.0258541
          96   -0.367464   -0.495658     0.02562
          97   -0.359739   -0.494257   0.0253941
          98   -0.345575    -0.49274   0.0251803
          99   -0.377053   -0.491571   0.0249531
         100   -0.376449    -0.49042   0.0247301
         101   -0.357073     -0.4891   0.0245204
         102   -0.351443    -0.48775   0.0243171
         103   -0.342158   -0.486336   0.0241221
         104   -0.361441   -0.485135     0.02392
         105   -0.357128   -0.483916   0.0237233
         106   -0.378846   -0.482925   0.0235202
         107    -0.38577   -0.482017   0.0233179
         108    -0.39115   -0.481176   0.0231171
         109    -0.38173   -0.480263   0.0229231
         110   -0.356661    -0.47914   0.0227422
         111   -0.362562    -0.47809   0.0225615
         112   -0.387876   -0.477284   0.0223745
         113   -0.389373   -0.476506     0.02219
         114   -0.383785   -0.475693   0.0220102
         115   -0.386588   -0.474918   0.0218325
         116     -0.4046   -0.474312   0.0216527
         117   -0.389674   -0.473588   0.0214797
         118   -0.392388     -0.4729   0.0213087
         119   -0.397881    -0.47227   0.0211389
         120   -0.406335    -0.47172   0.0209699
         121   -0.406073   -0.471178   0.0208036
         122   -0.421733   -0.470772   0.0206371
         123   -0.437232     -0.4705   0.0204711
         124   -0.421032   -0.470101   0.0203099
         125   -0.404967    -0.46958   0.0201541
         126   -0.423841   -0.469217   0.0199974
         127   -0.448862   -0.469057   0.0198406
         128   -0.437213   -0.468808   0.0196871
         129   -0.439195   -0.468578   0.0195359
         130   -0.431447   -0.468293   0.0193877
         131   -0.437554   -0.468058   0.0192411
         132   -0.459991   -0.467997   0.0190954
         133   -0.443038   -0.467809   0.0189528
         134   -0.450929   -0.467683   0.0188118
         135   -0.449689    -0.46755   0.0186729
         136   -0.445871    -0.46739   0.0185363
         137   -0.439932    -0.46719    0.018402
         138   -0.440153   -0.466994   0.0182697
         139   -0.457195   -0.466924   0.0181384
         140   -0.435483   -0.466699   0.0180103
         141   -0.400621    -0.46623   0.0178886
         142   -0.359982   -0.465482   0.0177783
         143   -0.389017   -0.464947    0.017662
         144   -0.407625   -0.464549   0.0175438
         145   -0.401675   -0.464116   0.0174282
         146   -0.393679   -0.463633   0.0173155
         147    -0.39995     -0.4632   0.0172031
