#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     5.12379     5.12379           0
           2     5.17319     5.14849   0.0174648
           3     5.25199     5.18299   0.0304822
           4     5.32465     5.21841   0.0382535
           5     5.32029     5.23878   0.0356189
           6     5.29677     5.24845   0.0309659
           7     5.31776     5.25835   0.0280807
           8     5.35515     5.27045   0.0270525
           9     5.32481     5.27649   0.0247118
          10     5.33189     5.28203   0.0228532
          11     5.30433     5.28406   0.0208654
          12     5.31671     5.28678   0.0193031
          13     5.33153     5.29022   0.0181226
          14     5.31066     5.29168   0.0168868
          15     5.33137     5.29433    0.015967
          16     5.35523     5.29813   0.0154162
          17     5.34725     5.30102   0.0147776
          18     5.34972     5.30373   0.0142021
          19     5.29265     5.30314   0.0134666
          20      5.3278     5.30438   0.0128496
          21     5.34925     5.30651   0.0124141
          22      5.3805     5.30988   0.0122969
          23     5.41705     5.31454   0.0126143
          24     5.38037     5.31728   0.0123834
          25     5.40402     5.32075   0.0123646
