#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0476405  -0.0476405           0
           2  -0.0973952  -0.0725179   0.0175909
           3   -0.176092   -0.107043   0.0305314
           4   -0.248591    -0.14243   0.0382562
           5   -0.243772   -0.162698   0.0355712
           6   -0.221166   -0.172443   0.0309486
           7   -0.241359   -0.182288   0.0280497
           8   -0.279026    -0.19438   0.0270246
           9   -0.248763   -0.200423   0.0246881
          10   -0.255645   -0.205945   0.0228286
          11   -0.228638   -0.208008   0.0208462
          12   -0.240692   -0.210732   0.0192862
          13   -0.255552   -0.214179   0.0181082
          14   -0.234468   -0.215629   0.0168726
          15   -0.255245    -0.21827   0.0159531
          16   -0.279386   -0.222089   0.0154066
          17   -0.271077   -0.224971   0.0147673
          18   -0.273697   -0.227678   0.0141929
          19   -0.216353   -0.227082   0.0134584
          20    -0.25198   -0.228327   0.0128429
          21   -0.273159   -0.230462   0.0124075
          22   -0.304466   -0.233826   0.0122911
          23   -0.340903   -0.238481   0.0126076
          24   -0.304722   -0.241241   0.0123807
          25   -0.327905   -0.244708   0.0123612
