#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     3.41586     3.41586           0
           2     3.44879     3.43233   0.0116432
           3     3.50133     3.45533   0.0203215
           4     3.54977     3.47894   0.0255024
           5     3.54686     3.49252   0.0237459
           6     3.53118     3.49896    0.020644
           7     3.54517     3.50557   0.0187204
           8      3.5701     3.51363    0.018035
           9     3.54988     3.51766   0.0164746
          10     3.55459     3.52135   0.0152355
          11     3.53622      3.5227   0.0139102
          12     3.54447     3.52452   0.0128688
          13     3.55435     3.52681   0.0120817
          14     3.54044     3.52779   0.0112579
          15     3.55425     3.52955   0.0106447
          16     3.57016     3.53209   0.0102774
          17     3.56483     3.53401  0.00985174
          18     3.56648     3.53582  0.00946809
          19     3.52844     3.53543  0.00897774
          20     3.55186     3.53625  0.00856637
          21     3.56617     3.53768  0.00827605
          22       3.587     3.53992  0.00819797
          23     3.61137     3.54302  0.00840954
          24     3.58691     3.54485  0.00825557
          25     3.60268     3.54717  0.00824304
