#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     5.07615     5.07615           0
           2     5.07579     5.07597  0.00012611
           3      5.0759     5.07595 8.60698e-05
           4     5.07606     5.07598 6.89699e-05
           5     5.07652     5.07608 0.000111536
           6     5.07561       5.076 0.000117935
           7      5.0764     5.07606 0.000113711
           8     5.07613     5.07607 9.98096e-05
           9     5.07605     5.07607 8.87408e-05
          10     5.07624     5.07608 8.16211e-05
          11     5.07569     5.07605 8.16293e-05
          12     5.07601     5.07605 7.48792e-05
          13     5.07597     5.07604 6.93194e-05
          14     5.07619     5.07605 6.51817e-05
          15     5.07612     5.07606 6.10128e-05
          16     5.07585     5.07604 5.85662e-05
          17     5.07617     5.07605 5.56189e-05
          18     5.07602     5.07605 5.25483e-05
          19      5.0763     5.07606 5.14239e-05
          20     5.07581     5.07605 5.03262e-05
          21     5.07609     5.07605 4.79697e-05
          22     5.07604     5.07605 4.57933e-05
          23     5.07615     5.07606 4.39958e-05
          24     5.07565     5.07604 4.53499e-05
          25     5.07612     5.07604 4.36491e-05
          26     5.07606     5.07604 4.19769e-05
          27      5.0765     5.07606 4.36539e-05
          28     5.07591     5.07605 4.24351e-05
          29     5.07616     5.07606 4.11385e-05
          30     5.07619     5.07606 4.00094e-05
          31     5.07571     5.07605 4.02818e-05
          32     5.07644     5.07606 4.07826e-05
          33     5.07531     5.07604 4.55069e-05
          34     5.07618     5.07604 4.43409e-05
          35      5.0761     5.07605 4.30983e-05
          36     5.07597     5.07604 4.19487e-05
          37     5.07587     5.07604 4.10663e-05
          38     5.07619     5.07604 4.01784e-05
          39     5.07588     5.07604 3.93668e-05
          40     5.07624     5.07604 3.87114e-05
          41     5.07594     5.07604  3.7851e-05
          42     5.07625     5.07605  3.7288e-05
          43     5.07613     5.07605 3.64742e-05
          44     5.07649     5.07606 3.70089e-05
          45     5.07584     5.07605 3.65027e-05
          46     5.07658     5.07607 3.74914e-05
          47     5.07587     5.07606 3.69297e-05
          48     5.07589     5.07606 3.63279e-05
          49     5.07598     5.07606 3.56206e-05
          50     5.07643     5.07606 3.56887e-05
          51     5.07615     5.07606 3.50254e-05
          52     5.07632     5.07607 3.46859e-05
          53     5.07642     5.07608 3.46707e-05
          54     5.07551     5.07607 3.55589e-05
          55     5.07654     5.07607 3.59482e-05
          56     5.07573     5.07607 3.58178e-05
          57     5.07636     5.07607 3.55635e-05
          58     5.07598     5.07607 3.49903e-05
          59     5.07614     5.07607 3.44165e-05
          60     5.07666     5.07608 3.51838e-05
          61       5.076     5.07608 3.46331e-05
          62     5.07637     5.07609 3.43937e-05
          63     5.07571     5.07608 3.43691e-05
          64     5.07642     5.07609 3.42443e-05
          65     5.07601     5.07608 3.37364e-05
          66     5.07606     5.07608 3.32274e-05
          67     5.07619     5.07609 3.27678e-05
          68     5.07631     5.07609 3.24469e-05
          69     5.07603     5.07609 3.19897e-05
          70     5.07608     5.07609 3.15329e-05
          71     5.07637     5.07609 3.13387e-05
          72     5.07566     5.07609 3.14787e-05
          73     5.07696      5.0761 3.32558e-05
          74      5.0755     5.07609 3.37663e-05
          75     5.07611     5.07609 3.33175e-05
          76     5.07593     5.07609 3.29426e-05
          77     5.07634     5.07609 3.26729e-05
          78     5.07558     5.07608 3.29166e-05
          79     5.07625     5.07609   3.257e-05
          80     5.07555     5.07608 3.28411e-05
          81     5.07688     5.07609 3.38816e-05
          82      5.0753     5.07608 3.47975e-05
          83     5.07589     5.07608 3.44512e-05
          84     5.07603     5.07608 3.40455e-05
          85     5.07628     5.07608 3.37275e-05
          86     5.07587     5.07608 3.34268e-05
          87     5.07647     5.07608 3.33447e-05
          88     5.07571     5.07608 3.32379e-05
          89     5.07613     5.07608 3.28697e-05
          90     5.07595     5.07608 3.25361e-05
          91     5.07666     5.07608 3.28124e-05
          92     5.07572     5.07608 3.26891e-05
          93     5.07582     5.07608 3.24539e-05
          94     5.07609     5.07608 3.21089e-05
          95     5.07632     5.07608 3.18725e-05
          96     5.07578     5.07608 3.16922e-05
          97     5.07611     5.07608 3.13671e-05
          98     5.07608     5.07608 3.10471e-05
          99     5.07629     5.07608 3.08084e-05
         100     5.07602     5.07608 3.05057e-05
         101     5.07558     5.07607 3.06062e-05
         102     5.07637     5.07608 3.04448e-05
         103     5.07596     5.07608  3.0171e-05
         104     5.07561     5.07607 3.02094e-05
         105     5.07576     5.07607 3.00699e-05
         106     5.07619     5.07607 2.98086e-05
         107     5.07603     5.07607 2.95319e-05
         108     5.07603     5.07607 2.92604e-05
         109      5.0763     5.07607 2.90666e-05
         110     5.07626     5.07607 2.88538e-05
         111       5.076     5.07607 2.86016e-05
         112     5.07604     5.07607 2.83475e-05
         113     5.07691     5.07608 2.90531e-05
         114     5.07563     5.07607 2.90662e-05
         115     5.07625     5.07608 2.88523e-05
         116     5.07611     5.07608 2.86054e-05
         117     5.07634     5.07608 2.84523e-05
         118     5.07597     5.07608 2.82266e-05
         119     5.07588     5.07608 2.80369e-05
         120     5.07588     5.07607 2.78489e-05
         121     5.07604     5.07607 2.76199e-05
         122     5.07607     5.07607 2.73935e-05
         123     5.07624     5.07608 2.72046e-05
         124     5.07605     5.07608 2.69863e-05
         125     5.07631     5.07608 2.68362e-05
         126     5.07566     5.07607 2.68268e-05
         127     5.07558     5.07607 2.68908e-05
         128     5.07635     5.07607 2.67722e-05
         129     5.07629     5.07607 2.66187e-05
         130     5.07601     5.07607 2.64182e-05
         131     5.07623     5.07607 2.62424e-05
         132     5.07573     5.07607 2.61736e-05
         133     5.07593     5.07607 2.59977e-05
         134     5.07683     5.07608 2.64165e-05
         135     5.07601     5.07608  2.6225e-05
         136     5.07617     5.07608 2.60412e-05
         137     5.07609     5.07608 2.58511e-05
         138     5.07584     5.07608 2.57213e-05
         139     5.07592     5.07607 2.55598e-05
         140     5.07622     5.07608 2.53981e-05
         141     5.07604     5.07607 2.52191e-05
         142      5.0764     5.07608  2.5148e-05
         143     5.07556     5.07607 2.52336e-05
         144     5.07611     5.07607 2.50598e-05
         145     5.07599     5.07607 2.48938e-05
         146     5.07561     5.07607 2.49286e-05
         147     5.07608     5.07607 2.47592e-05
         148     5.07618     5.07607 2.46038e-05
         149      5.0761     5.07607 2.44393e-05
         150      5.0761     5.07607  2.4277e-05
         151     5.07639     5.07607 2.42061e-05
         152     5.07633     5.07607 2.41038e-05
         153     5.07589     5.07607 2.39761e-05
         154     5.07599     5.07607 2.38265e-05
         155     5.07597     5.07607 2.36822e-05
         156     5.07619     5.07607 2.35414e-05
         157     5.07606     5.07607 2.33916e-05
         158     5.07602     5.07607 2.32457e-05
         159     5.07636     5.07607  2.3169e-05
         160     5.07594     5.07607 2.30395e-05
         161     5.07622     5.07607  2.2914e-05
         162     5.07587     5.07607 2.28081e-05
         163     5.07611     5.07607  2.2669e-05
         164     5.07639     5.07608 2.26153e-05
         165     5.07604     5.07608  2.2479e-05
         166     5.07571     5.07607  2.2453e-05
         167     5.07606     5.07607 2.23186e-05
