#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.01823     2.01823           0
           2     2.05515     2.03669   0.0130509
           3     2.08479     2.05272   0.0157181
           4     2.14327     2.07536   0.0228755
           5     2.14216     2.08872   0.0218562
           6     2.09959     2.09053   0.0182885
           7     2.07167     2.08784   0.0158731
           8     2.04443     2.08241   0.0147872
           9     2.02527     2.07606   0.0144431
          10     1.99818     2.06827    0.014952
          11     2.01468      2.0634   0.0143647
          12     2.02013     2.05979   0.0136126
          13     2.04009     2.05828   0.0126497
          14     2.05314     2.05791   0.0117514
          15     2.06739     2.05854    0.010985
          16     2.06946     2.05923   0.0103196
          17     2.04126     2.05817  0.00976654
          18     2.03518     2.05689  0.00930709
          19     2.06111     2.05711   0.0088199
          20     2.09246     2.05888  0.00855412
          21     2.11004     2.06132  0.00848666
          22     2.12928     2.06441  0.00864491
          23     2.13157     2.06733   0.0087483
          24     2.11456     2.06929  0.00860228
          25     2.06808     2.06925  0.00825832
          26     2.04467      2.0683   0.0079946
          27     2.02923     2.06685   0.0078284
          28     2.04049     2.06591  0.00760523
          29     2.07597     2.06626  0.00735089
          30     2.12458      2.0682  0.00735845
          31     2.10447     2.06937  0.00721349
          32     2.02477     2.06798  0.00712148
          33     1.94679     2.06431  0.00779519
          34     1.92788     2.06029  0.00853643
          35     1.93084      2.0566   0.0090584
          36     1.95694     2.05383  0.00922003
          37     1.97015     2.05157  0.00924407
          38     1.97746     2.04962  0.00920422
          39     2.00216      2.0484   0.0090483
          40     2.03052     2.04795  0.00883313
          41     2.04991       2.048  0.00861782
          42     2.05912     2.04826   0.0084167
          43      2.0469     2.04823  0.00822102
          44     2.02269     2.04765  0.00805465
          45     2.03322     2.04733  0.00788205
          46     2.03343     2.04703  0.00771649
          47     2.02614     2.04658  0.00756509
          48     2.03052     2.04625  0.00741488
          49     2.01453      2.0456  0.00729176
          50      2.0385     2.04546  0.00714731
          51      2.0326     2.04521  0.00701161
          52     2.03033     2.04492  0.00688261
          53     2.01535     2.04436  0.00677533
          54      2.0159     2.04384  0.00667033
          55     2.02664     2.04352  0.00655637
          56     2.03249     2.04333  0.00644226
          57     2.03677     2.04321  0.00633026
          58     2.06279     2.04355  0.00623011
          59     2.03398     2.04339  0.00612663
          60      2.0121     2.04287  0.00604666
          61     2.02383     2.04255  0.00595559
          62     2.04567      2.0426  0.00585974
          63     2.06619     2.04298  0.00577867
          64     2.03518     2.04286  0.00568966
          65     2.02684     2.04261  0.00560746
          66     1.99881     2.04195  0.00556164
          67     1.99588     2.04126  0.00552096
          68     1.99474     2.04057    0.005482
          69     1.98308     2.03974  0.00546551
          70     1.95992      2.0386   0.0055051
          71     1.94726     2.03731  0.00557585
          72     1.92226     2.03572  0.00572283
          73     1.93042     2.03427   0.0058234
