#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.421697   -0.421697           0
           2   -0.458532   -0.440114   0.0130229
           3   -0.488358   -0.456196    0.015741
           4   -0.546557   -0.478786   0.0228498
           5   -0.545342   -0.492097   0.0218152
           6    -0.50278   -0.493877   0.0182519
           7   -0.474939   -0.491172   0.0158437
           8   -0.447583   -0.485723   0.0147704
           9   -0.428386   -0.479352    0.014438
          10   -0.401255   -0.471543    0.014958
          11   -0.418118   -0.466686   0.0143651
          12   -0.423274   -0.463068   0.0136159
          13   -0.443664   -0.461576   0.0126501
          14   -0.456504   -0.461213   0.0117517
          15   -0.470724   -0.461847   0.0109853
          16   -0.472315   -0.462502   0.0103182
          17   -0.444476   -0.461441  0.00976558
          18   -0.438482   -0.460166  0.00930597
          19   -0.464295   -0.460383  0.00881872
          20   -0.496013   -0.462165  0.00855583
          21   -0.513278   -0.464599  0.00848756
          22   -0.532436   -0.467682  0.00864375
          23   -0.534552   -0.470589  0.00874324
          24     -0.5176   -0.472548  0.00859555
          25   -0.471085    -0.47249  0.00825193
          26   -0.447781   -0.471539  0.00798908
          27   -0.432392   -0.470089  0.00782365
          28   -0.443774    -0.46915  0.00760048
          29   -0.479144   -0.469494   0.0073462
          30   -0.528135   -0.471449  0.00735678
          31   -0.507165   -0.472601  0.00720912
          32   -0.427334   -0.471186  0.00712127
          33     -0.3497   -0.467505   0.0077992
          34   -0.330987    -0.46349  0.00854107
          35   -0.334028   -0.459791  0.00906267
          36   -0.359923   -0.457017  0.00922574
          37   -0.373717   -0.454765  0.00924701
          38   -0.380743   -0.452817  0.00920656
          39    -0.40552   -0.451605  0.00905002
          40   -0.433635   -0.451155  0.00883491
          41   -0.453224   -0.451206  0.00861957
          42   -0.462414   -0.451473  0.00841847
          43   -0.449901   -0.451436  0.00822277
          44   -0.425929   -0.450857   0.0080563
          45   -0.436441   -0.450536  0.00788364
          46   -0.436885   -0.450239  0.00771784
          47   -0.429362   -0.449795   0.0075664
          48   -0.433893   -0.449464  0.00741602
          49    -0.41767   -0.448815    0.007293
          50   -0.442171   -0.448682  0.00714835
          51   -0.435871   -0.448431   0.0070126
          52   -0.433546   -0.448145  0.00688358
          53   -0.418475   -0.447585  0.00677643
          54   -0.419056   -0.447057   0.0066715
          55   -0.429868   -0.446744  0.00655752
          56   -0.435744   -0.446548  0.00644336
          57   -0.439956   -0.446432  0.00633136
          58   -0.465669   -0.446764  0.00623088
          59   -0.437144   -0.446601   0.0061274
          60   -0.415314   -0.446079  0.00604742
          61   -0.427235    -0.44577  0.00595617
          62    -0.44896   -0.445822  0.00586033
          63   -0.469436   -0.446197  0.00577928
          64   -0.438461   -0.446076  0.00569024
          65     -0.4298   -0.445825  0.00560821
          66   -0.401969   -0.445161  0.00556246
          67   -0.399229   -0.444475  0.00552152
          68   -0.397775   -0.443788  0.00548287
          69   -0.386427   -0.442957  0.00546606
          70   -0.363149   -0.441817   0.0055056
          71   -0.350263   -0.440528  0.00557702
          72   -0.325514    -0.43893  0.00572376
          73    -0.33385   -0.437491  0.00582354
          74   -0.350969   -0.436321  0.00586104
          75   -0.354611   -0.435232  0.00588328
          76   -0.345025   -0.434045  0.00592439
          77   -0.346587   -0.432909  0.00595534
          78   -0.329373   -0.431582   0.0060251
          79   -0.342205   -0.430451  0.00605412
          80   -0.342441    -0.42935  0.00607758
          81   -0.351679   -0.428391  0.00607772
          82   -0.344933   -0.427374  0.00608823
          83   -0.318433   -0.426061  0.00615473
          84   -0.311488   -0.424697  0.00623076
          85   -0.315957   -0.423418  0.00628742
          86   -0.326831   -0.422295  0.00631382
          87   -0.358646   -0.421563  0.00628349
          88   -0.369714   -0.420974  0.00623965
          89   -0.383433   -0.420552  0.00618378
          90   -0.382257   -0.420127   0.0061297
          91   -0.377532   -0.419659  0.00608018
          92   -0.349686   -0.418898  0.00606148
          93   -0.371017   -0.418383  0.00601812
          94   -0.356473   -0.417725  0.00599003
          95   -0.351798   -0.417031  0.00596704
          96   -0.332751   -0.416153  0.00596912
          97   -0.335135   -0.415318  0.00596573
          98   -0.345011     -0.4146  0.00594784
