#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.34549     1.34549           0
           2      1.3701     1.35779   0.0087006
           3     1.38986     1.36848   0.0104787
           4     1.42885     1.38357   0.0152503
           5     1.42811     1.39248   0.0145708
           6     1.39973     1.39369   0.0121923
           7     1.38111     1.39189   0.0105821
           8     1.36295     1.38827  0.00985813
           9     1.35018     1.38404  0.00962871
          10     1.33212     1.37885  0.00996798
          11     1.34312      1.3756  0.00957644
          12     1.34675      1.3732  0.00907509
          13     1.36006     1.37219   0.0084331
          14     1.36876     1.37194  0.00783429
          15     1.37826     1.37236  0.00732331
          16     1.37964     1.37282  0.00687973
          17     1.36084     1.37211  0.00651103
          18     1.35679     1.37126  0.00620473
          19     1.37407     1.37141  0.00587993
          20     1.39497     1.37259  0.00570275
          21      1.4067     1.37421  0.00565777
          22     1.41952     1.37627  0.00576327
          23     1.42104     1.37822   0.0058322
          24      1.4097     1.37953  0.00573485
          25     1.37872      1.3795  0.00550555
          26     1.36311     1.37887  0.00532974
          27     1.35282      1.3779  0.00521893
          28     1.36033     1.37727  0.00507016
          29     1.38398     1.37751  0.00490059
          30     1.41639      1.3788  0.00490563
          31     1.40298     1.37958    0.004809
          32     1.34984     1.37865  0.00474765
          33     1.29786      1.3762   0.0051968
          34     1.28525     1.37353  0.00569095
          35     1.28723     1.37106  0.00603893
          36     1.30463     1.36922  0.00614669
          37     1.31343     1.36771  0.00616271
          38     1.31831     1.36641  0.00613615
          39     1.33477      1.3656   0.0060322
          40     1.35368      1.3653  0.00588875
          41     1.36661     1.36533  0.00574521
          42     1.37275     1.36551  0.00561113
          43      1.3646     1.36549  0.00548068
          44     1.34846      1.3651  0.00536977
          45     1.35548     1.36489   0.0052547
          46     1.35562     1.36469  0.00514433
          47     1.35076     1.36439  0.00504339
          48     1.35368     1.36417  0.00494326
          49     1.34302     1.36373  0.00486117
          50       1.359     1.36364  0.00476487
          51     1.35506     1.36347  0.00467441
          52     1.35355     1.36328  0.00458841
          53     1.34357     1.36291  0.00451689
          54     1.34394     1.36256  0.00444689
          55     1.35109     1.36235  0.00437092
          56     1.35499     1.36222  0.00429484
          57     1.35785     1.36214  0.00422017
          58     1.37519     1.36237  0.00415341
          59     1.35598     1.36226  0.00408442
          60      1.3414     1.36191  0.00403111
          61     1.34922      1.3617  0.00397039
          62     1.36378     1.36174  0.00390649
          63     1.37746     1.36199  0.00385245
          64     1.35678      1.3619  0.00379311
          65     1.35123     1.36174  0.00373831
          66     1.33254      1.3613  0.00370776
          67     1.33059     1.36084  0.00368064
          68     1.32982     1.36038  0.00365466
          69     1.32205     1.35983  0.00364367
          70     1.30661     1.35907  0.00367006
          71     1.29817     1.35821  0.00371724
          72      1.2815     1.35714  0.00381522
          73     1.28694     1.35618  0.00388226
          74     1.29849      1.3554   0.0039073
          75     1.30095     1.35468  0.00392209
          76     1.29475     1.35389  0.00394895
          77     1.29547     1.35313  0.00396988
          78     1.28401     1.35224  0.00401666
          79     1.29276     1.35149  0.00403576
          80     1.29269     1.35076   0.0040517
          81     1.29886     1.35012  0.00405201
          82     1.29453     1.34944  0.00405891
          83     1.27684     1.34856  0.00410316
          84     1.27223     1.34765  0.00415373
          85     1.27493      1.3468  0.00419206
          86     1.28232     1.34605  0.00420982
          87     1.30345     1.34556  0.00418981
          88     1.31086     1.34516  0.00416071
          89     1.31992     1.34488  0.00412362
          90     1.31926      1.3446  0.00408762
          91     1.31612     1.34428  0.00405466
          92      1.2975     1.34377  0.00404234
          93     1.31176     1.34343  0.00401351
          94     1.30219     1.34299  0.00399471
          95     1.29905     1.34253  0.00397936
          96     1.28637     1.34194  0.00398067
          97     1.28786     1.34139  0.00397848
          98     1.29462     1.34091   0.0039664
          99     1.28347     1.34033  0.00396854
         100      1.2613     1.33954  0.00400677
         101     1.25168     1.33867  0.00406042
         102      1.2645     1.33794   0.0040852
         103       1.286     1.33744  0.00407654
         104     1.30068     1.33708  0.00405264
         105     1.30258     1.33676  0.00402735
         106     1.29178     1.33633  0.00401164
         107      1.3123     1.33611  0.00398043
         108     1.33428     1.33609  0.00394361
         109     1.33999     1.33613  0.00390759
         110     1.32862     1.33606  0.00387267
         111     1.32855     1.33599  0.00383837
         112     1.33462     1.33598  0.00380412
         113     1.33389     1.33596   0.0037705
         114     1.32309     1.33585  0.00373911
         115     1.33016      1.3358  0.00370693
         116     1.31553     1.33562  0.00367908
         117     1.31061     1.33541  0.00365385
         118     1.30634     1.33516  0.00363118
         119     1.29777     1.33485  0.00361424
         120     1.30335     1.33459  0.00359363
         121     1.30651     1.33435  0.00357142
         122     1.29575     1.33404  0.00355614
         123     1.28879     1.33367   0.0035462
         124     1.28892     1.33331  0.00353592
         125     1.30713      1.3331  0.00351383
         126     1.31122     1.33292  0.00349023
         127     1.31571     1.33279  0.00346538
         128     1.33609     1.33282   0.0034384
         129     1.32691     1.33277  0.00341205
         130     1.31324     1.33262  0.00338911
         131     1.31533     1.33249  0.00336581
         132     1.31508     1.33236  0.00334289
         133     1.29329     1.33206  0.00333064
         134     1.29589     1.33179  0.00331671
         135     1.30378     1.33158  0.00329862
         136     1.31086     1.33143  0.00327788
         137     1.34562     1.33154  0.00325559
         138     1.35506     1.33171  0.00323646
         139     1.34981     1.33184   0.0032158
         140     1.34561     1.33193  0.00319433
         141     1.34047     1.33199  0.00317225
         142     1.35867     1.33218  0.00315547
         143     1.37782      1.3325   0.0031495
         144     1.38187     1.33284  0.00314623
         145     1.37269     1.33312  0.00313651
         146     1.34448      1.3332  0.00311599
         147     1.34658     1.33329  0.00309613
         148     1.34712     1.33338  0.00307661
         149     1.34703     1.33347  0.00305733
         150     1.32804     1.33344  0.00303716
         151     1.32556     1.33339   0.0030175
         152     1.32491     1.33333  0.00299816
         153     1.32389     1.33327   0.0029792
         154     1.34484     1.33334   0.0029608
         155     1.34653     1.33343  0.00294292
         156     1.34812     1.33352  0.00292556
         157      1.3478     1.33361  0.00290834
         158     1.35023     1.33372  0.00289184
         159     1.34496     1.33379  0.00287451
         160     1.35575     1.33393  0.00285982
         161     1.33835     1.33395  0.00284219
         162     1.32864     1.33392  0.00282484
         163     1.31304     1.33379  0.00281041
         164     1.32776     1.33376  0.00279351
         165     1.32414      1.3337  0.00277719
         166     1.33252     1.33369  0.00276047
         167     1.31864      1.3336  0.00274541
         168     1.32056     1.33352  0.00273017
         169     1.34191     1.33357  0.00271446
         170     1.34471     1.33364  0.00269928
         171     1.34223     1.33369  0.00268397
         172     1.35478     1.33381  0.00267116
         173     1.34844      1.3339  0.00265706
         174     1.34593     1.33396  0.00264269
         175     1.32773     1.33393  0.00262783
         176     1.32308     1.33387  0.00261362
         177     1.32149      1.3338  0.00259979
         178     1.31517     1.33369  0.00258729
         179     1.31844     1.33361  0.00257424
         180     1.29458     1.33339  0.00256905
         181     1.30926     1.33326  0.00255831
         182     1.33696     1.33328  0.00254434
         183     1.34041     1.33332  0.00253073
         184     1.34095     1.33336  0.00251732
         185     1.33676     1.33338  0.00250378
         186     1.32828     1.33335  0.00249047
         187     1.32024     1.33328  0.00247814
         188     1.30431     1.33312  0.00246974
         189     1.29725     1.33294  0.00246396
         190     1.29254     1.33272  0.00246015
         191     1.30105     1.33256  0.00245285
         192     1.30939     1.33244  0.00244304
         193     1.31804     1.33236  0.00243152
         194     1.31183     1.33226  0.00242129
         195     1.30855     1.33213  0.00241192
         196     1.31862     1.33207   0.0024006
         197     1.33759     1.33209  0.00238858
         198     1.33447     1.33211  0.00237655
         199     1.34241     1.33216  0.00236517
         200     1.34468     1.33222  0.00235417
         201     1.35725     1.33234  0.00234575
         202      1.3516     1.33244  0.00233607
         203      1.3618     1.33258  0.00232904
         204     1.35832     1.33271  0.00232104
         205     1.32686     1.33268  0.00230989
         206      1.2907     1.33248  0.00230765
         207     1.28952     1.33227  0.00230582
         208     1.32505     1.33224  0.00229499
         209     1.31721     1.33216  0.00228514
         210     1.34743     1.33224  0.00227541
         211     1.34814     1.33231  0.00226588
         212     1.35169      1.3324  0.00225703
         213       1.335     1.33242  0.00224647
         214     1.32785     1.33239  0.00223607
         215     1.32539     1.33236  0.00222591
         216     1.32153     1.33231  0.00221617
         217     1.31844     1.33225  0.00220688
         218      1.3217      1.3322  0.00219728
         219     1.32489     1.33217   0.0021875
         220     1.29143     1.33198  0.00218538
         221     1.28902     1.33179  0.00218412
         222     1.31064     1.33169  0.00217636
         223     1.33706     1.33171  0.00216673
         224     1.36118     1.33185  0.00216105
         225     1.38033     1.33206  0.00216216
         226     1.39494     1.33234  0.00217042
         227     1.38026     1.33255   0.0021711
         228     1.35218     1.33264  0.00216328
         229     1.33377     1.33264  0.00215384
         230     1.30894     1.33254  0.00214694
         231     1.28113     1.33232  0.00214915
         232     1.25902       1.332  0.00216299
         233     1.26108      1.3317  0.00217501
         234     1.26916     1.33143  0.00218208
         235     1.28368     1.33123  0.00218223
         236      1.3075     1.33113   0.0021753
         237     1.32389     1.33109  0.00216634
         238     1.33474     1.33111  0.00215729
         239     1.30865     1.33102  0.00215031
         240     1.29633     1.33087   0.0021462
         241     1.28969      1.3307  0.00214409
         242     1.29295     1.33054  0.00214089
         243      1.3202      1.3305  0.00213251
         244     1.32407     1.33048  0.00212393
         245     1.31255      1.3304  0.00211652
         246     1.29948     1.33028  0.00211165
         247     1.30514     1.33018  0.00210555
         248     1.29252     1.33002  0.00210253
         249     1.29414     1.32988  0.00209901
         250     1.28547      1.3297  0.00209812
