#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59654     1.59654           0
           2     1.59661     1.59658 2.79833e-05
           3     1.59643     1.59653 4.40444e-05
           4     1.59671     1.59657 5.20953e-05
           5     1.59682     1.59662 6.03602e-05
           6     1.59681     1.59665 5.79121e-05
           7     1.59673     1.59666 5.06072e-05
           8     1.59685     1.59669  4.9252e-05
           9     1.59688     1.59671 4.83187e-05
          10     1.59692     1.59673 4.79608e-05
          11     1.59656     1.59671 4.60494e-05
          12     1.59686     1.59673 4.37124e-05
          13     1.59642      1.5967 4.61665e-05
          14     1.59663      1.5967 4.31308e-05
          15     1.59666      1.5967 4.03219e-05
          16     1.59715     1.59672 4.67072e-05
          17     1.59678     1.59673 4.40729e-05
          18      1.5967     1.59673 4.16563e-05
          19     1.59682     1.59673 3.97411e-05
          20     1.59645     1.59672 4.02183e-05
          21     1.59677     1.59672 3.83745e-05
          22     1.59685     1.59672  3.7064e-05
          23     1.59701     1.59674 3.75378e-05
          24     1.59696     1.59675 3.70607e-05
          25     1.59699     1.59676 3.68573e-05
          26     1.59689     1.59676 3.57919e-05
          27     1.59683     1.59676 3.45688e-05
          28     1.59671     1.59676 3.33794e-05
          29     1.59683     1.59676 3.23014e-05
          30     1.59645     1.59675 3.29112e-05
          31     1.59731     1.59677 3.63697e-05
          32     1.59743     1.59679 4.06731e-05
          33     1.59709      1.5968 4.04612e-05
          34     1.59689      1.5968 3.93561e-05
          35     1.59682      1.5968 3.82332e-05
          36     1.59702     1.59681 3.76352e-05
          37     1.59643      1.5968 3.80082e-05
          38     1.59671      1.5968 3.70736e-05
          39     1.59664     1.59679 3.63557e-05
          40     1.59688      1.5968 3.55177e-05
          41     1.59669     1.59679 3.47494e-05
          42     1.59671     1.59679  3.3979e-05
          43       1.597      1.5968 3.35407e-05
          44     1.59676      1.5968 3.27896e-05
          45     1.59678     1.59679 3.20635e-05
          46     1.59655     1.59679 3.18188e-05
          47     1.59678     1.59679 3.11423e-05
          48     1.59663     1.59679 3.06749e-05
          49     1.59686     1.59679 3.00873e-05
          50     1.59633     1.59678 3.08373e-05
          51     1.59673     1.59678 3.02502e-05
          52     1.59679     1.59678 2.96689e-05
          53     1.59687     1.59678 2.91651e-05
          54     1.59685     1.59678 2.86518e-05
          55     1.59677     1.59678 2.81311e-05
          56     1.59674     1.59678 2.76369e-05
          57     1.59682     1.59678 2.71604e-05
          58     1.59712     1.59679 2.73146e-05
          59     1.59683     1.59679 2.68634e-05
          60     1.59679     1.59679 2.64157e-05
          61     1.59659     1.59678 2.61745e-05
          62     1.59671     1.59678 2.57829e-05
          63     1.59675     1.59678 2.53788e-05
          64     1.59672     1.59678 2.50029e-05
          65     1.59704     1.59678 2.49351e-05
          66     1.59684     1.59679 2.45712e-05
          67     1.59665     1.59678 2.42836e-05
          68     1.59696     1.59679 2.40654e-05
          69     1.59665     1.59678 2.37934e-05
          70     1.59677     1.59678 2.34542e-05
          71       1.597     1.59679 2.33148e-05
          72     1.59674     1.59679 2.29997e-05
          73     1.59657     1.59678 2.28827e-05
          74     1.59676     1.59678 2.25752e-05
          75     1.59681     1.59678 2.22769e-05
          76      1.5971     1.59679 2.23694e-05
          77     1.59662     1.59679 2.21868e-05
          78     1.59665     1.59678 2.19729e-05
          79     1.59694     1.59679 2.17826e-05
          80     1.59659     1.59678 2.16446e-05
          81     1.59662     1.59678 2.14734e-05
          82     1.59685     1.59678 2.12302e-05
          83     1.59683     1.59678 2.09818e-05
          84     1.59685     1.59678 2.07489e-05
          85     1.59643     1.59678 2.09092e-05
          86     1.59665     1.59678 2.07192e-05
          87     1.59653     1.59678 2.06747e-05
          88     1.59657     1.59677 2.05701e-05
          89     1.59645     1.59677   2.065e-05
          90     1.59663     1.59677 2.04812e-05
          91     1.59665     1.59677 2.02963e-05
          92     1.59657     1.59676 2.01881e-05
          93     1.59662     1.59676 2.00299e-05
          94     1.59682     1.59676 1.98249e-05
          95     1.59677     1.59676 1.96163e-05
          96     1.59681     1.59676 1.94179e-05
          97     1.59666     1.59676 1.92465e-05
          98     1.59693     1.59676 1.91225e-05
          99     1.59662     1.59676  1.8985e-05
         100     1.59675     1.59676 1.87954e-05
         101     1.59673     1.59676 1.86128e-05
         102     1.59635     1.59676 1.88615e-05
         103     1.59655     1.59676 1.87842e-05
         104     1.59668     1.59676 1.86169e-05
         105     1.59678     1.59676 1.84415e-05
         106     1.59674     1.59676  1.8268e-05
         107     1.59665     1.59675 1.81239e-05
         108     1.59636     1.59675 1.83303e-05
         109     1.59723     1.59676  1.8681e-05
         110      1.5963     1.59675   1.897e-05
         111     1.59661     1.59675  1.8841e-05
         112     1.59679     1.59675  1.8677e-05
         113     1.59687     1.59675 1.85425e-05
         114     1.59647     1.59675 1.85411e-05
         115     1.59686     1.59675 1.84026e-05
         116     1.59676     1.59675 1.82443e-05
         117     1.59663     1.59675  1.8118e-05
         118       1.597     1.59675 1.80932e-05
         119     1.59664     1.59675 1.79669e-05
         120     1.59661     1.59675 1.78578e-05
         121     1.59695     1.59675 1.77858e-05
         122     1.59678     1.59675 1.76419e-05
         123     1.59685     1.59675 1.75155e-05
         124     1.59673     1.59675 1.73752e-05
         125     1.59655     1.59675 1.73108e-05
         126     1.59702     1.59675 1.73047e-05
         127     1.59635     1.59675 1.74514e-05
         128     1.59701     1.59675 1.74315e-05
         129     1.59652     1.59675  1.7387e-05
         130     1.59652     1.59675  1.7339e-05
         131     1.59661     1.59675 1.72364e-05
         132     1.59678     1.59675 1.71073e-05
         133     1.59672     1.59675 1.69795e-05
         134     1.59674     1.59675 1.68528e-05
         135     1.59666     1.59675 1.67405e-05
         136     1.59661     1.59675 1.66472e-05
