#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.00747     3.00747           0
           2     3.23405     3.12076   0.0801078
           3     3.10488     3.11546   0.0535798
           4     2.95535     3.07543   0.0530709
           5     2.79995     3.02034   0.0650468
           6     2.66048     2.96036   0.0770451
           7      2.5222     2.89777   0.0878607
           8     2.44908     2.84168   0.0930734
           9     2.42328     2.79519   0.0936253
          10     2.50351     2.76602   0.0886901
          11     2.56877     2.74809   0.0824203
          12     2.60697     2.73633   0.0763863
          13     2.60977     2.72659   0.0711281
          14     2.51599     2.71155   0.0676196
          15     2.42976     2.69277   0.0656693
          16     2.32465     2.66976   0.0654713
          17     2.28398     2.64707   0.0654347
          18     2.26297     2.62573    0.065186
          19     2.24415     2.60564    0.064775
          20     2.22236     2.58648   0.0643088
          21        2.18     2.56712   0.0640933
          22     2.17991     2.54952   0.0635506
          23      2.1757     2.53327   0.0628316
          24     2.17912     2.51851   0.0619222
          25      2.1606      2.5042   0.0610779
          26     2.16451     2.49113   0.0601098
          27     2.13076     2.47778   0.0593469
          28     2.13203     2.46544    0.058498
          29     2.09657     2.45272   0.0578471
          30     2.09914     2.44093   0.0571069
          31     2.08597     2.42948    0.056401
          32     2.09992     2.41918   0.0555708
          33     2.10025     2.40952   0.0547207
          34     2.05792     2.39918   0.0540796
          35      2.0498     2.38919   0.0534478
          36     2.05169     2.37982   0.0527789
          37     2.04676     2.37082   0.0521144
          38     2.03126     2.36188   0.0515034
          39     2.04467     2.35375    0.050821
          40     2.03932     2.34589   0.0501547
          41     2.03563     2.33832    0.049499
          42     2.02319     2.33082   0.0488858
          43     2.05049      2.3243   0.0481817
          44     2.04995     2.31806   0.0474884
          45      2.0382     2.31184   0.0468385
          46     2.02906      2.3057    0.046222
          47     2.03213     2.29987   0.0456035
          48     2.01234     2.29388   0.0450452
          49     2.04179     2.28874   0.0444187
          50     2.05629     2.28409   0.0437729
          51     2.07329     2.27996   0.0431094
          52     2.05785     2.27569   0.0424914
          53     2.02693     2.27099   0.0419481
          54     1.97675     2.26554   0.0415237
          55     1.97032     2.26018   0.0411142
          56     1.96383     2.25488   0.0407191
          57     1.97496     2.24997   0.0402998
          58     1.98479      2.2454   0.0398635
          59     1.97617     2.24084   0.0394481
          60     1.98269     2.23654   0.0390246
          61     2.00604     2.23276   0.0385673
          62       2.033     2.22953   0.0380796
          63     2.02232     2.22625    0.037617
