#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.41679    -1.41679           0
           2    -1.64361     -1.5302   0.0801908
           3    -1.51304    -1.52448   0.0536642
           4    -1.36287    -1.48407    0.053331
           5    -1.20614    -1.42849   0.0655154
           6    -1.06608    -1.36809   0.0775948
           7   -0.927403    -1.30513   0.0884346
           8   -0.853866    -1.24872   0.0936582
           9   -0.828472    -1.20203   0.0941752
          10   -0.908535    -1.17268   0.0892138
          11   -0.973539    -1.15458     0.08292
          12    -1.01114    -1.14262   0.0768666
          13    -1.01398    -1.13273   0.0715879
          14   -0.919342    -1.11749   0.0680777
          15   -0.833224    -1.09854   0.0661243
          16   -0.728228    -1.07539   0.0659176
          17   -0.687689    -1.05258   0.0658672
          18   -0.666746    -1.03115   0.0656032
          19   -0.647647    -1.01097   0.0651815
          20   -0.626046   -0.991719   0.0647014
          21   -0.583726   -0.972291   0.0644714
          22   -0.583444   -0.954616   0.0639177
          23    -0.57939   -0.938302   0.0631864
          24   -0.582728   -0.923486   0.0622664
          25    -0.56401   -0.909107   0.0614135
          26   -0.567963   -0.895986   0.0604369
          27   -0.534369   -0.882593    0.059664
          28   -0.535416   -0.870194   0.0588074
          29   -0.499664   -0.857417    0.058151
          30   -0.502759   -0.845595   0.0574018
          31   -0.489355   -0.834103   0.0566887
          32   -0.503073   -0.823759   0.0558531
          33    -0.50386   -0.814065   0.0549954
          34    -0.46116   -0.803685   0.0543485
          35   -0.453306   -0.793674   0.0537098
          36   -0.454984   -0.784266   0.0530354
          37   -0.450025   -0.775233   0.0523657
          38   -0.434648    -0.76627    0.051749
          39   -0.448183   -0.758114   0.0510608
          40   -0.442635   -0.750227   0.0503897
          41   -0.438801   -0.742631   0.0497299
          42   -0.426955   -0.735115   0.0491106
          43   -0.454097    -0.72858   0.0484013
          44   -0.453349   -0.722325   0.0477038
          45   -0.441717   -0.716089   0.0470495
          46   -0.432444   -0.709923    0.046429
          47   -0.435622   -0.704087   0.0458065
          48   -0.415745   -0.698079   0.0452444
          49    -0.44545   -0.692924   0.0446138
          50   -0.459952   -0.688264   0.0439642
          51   -0.476741   -0.684117   0.0432973
          52   -0.461308   -0.679832   0.0426762
          53   -0.430036   -0.675119   0.0421304
          54   -0.380121   -0.669656   0.0417029
          55    -0.37371   -0.664275   0.0412903
          56   -0.367474   -0.658975   0.0408917
          57   -0.378207   -0.654049   0.0404699
          58   -0.387826   -0.649459   0.0400316
          59   -0.379912   -0.644891    0.039613
          60   -0.386072   -0.640577   0.0391869
          61   -0.409492   -0.636789   0.0387272
          62   -0.436456   -0.633558   0.0382371
          63   -0.425531   -0.630256   0.0377725
          64   -0.392594   -0.626542   0.0373644
          65   -0.353434    -0.62234    0.037025
          66   -0.356775   -0.618317    0.036682
          67   -0.367548   -0.614574    0.036325
          68   -0.368778   -0.610959   0.0359702
          69   -0.372781   -0.607507   0.0356141
          70   -0.363575   -0.604023   0.0352754
          71   -0.344552   -0.600368   0.0349674
          72   -0.358727   -0.597012   0.0346424
          73   -0.409104   -0.594438   0.0342633
          74   -0.436116   -0.592298   0.0338671
          75   -0.440286   -0.590272   0.0334761
          76   -0.428576   -0.588144   0.0331032
          77   -0.437021   -0.586181   0.0327314
          78   -0.417543   -0.584019   0.0323831
          79   -0.433448   -0.582113   0.0320292
          80    -0.46685   -0.580673   0.0316612
          81   -0.426441   -0.578768   0.0313275
          82    -0.43142   -0.576972    0.030997
          83   -0.408669   -0.574944   0.0306898
          84    -0.42535   -0.573163   0.0303761
          85   -0.448835     -0.5717   0.0300539
          86   -0.456896   -0.570365   0.0297341
          87   -0.433368   -0.568791    0.029434
          88   -0.459703   -0.567551   0.0291256
