#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00498     2.00498           0
           2     2.15603      2.0805   0.0534052
           3     2.06992     2.07697   0.0357199
           4     1.97023     2.05029   0.0353806
           5     1.86663     2.01356   0.0433645
           6     1.77365     1.97357   0.0513634
           7     1.68146     1.93184   0.0585738
           8     1.63272     1.89445    0.062049
           9     1.61552     1.86346   0.0624168
          10       1.669     1.84401   0.0591267
          11     1.71251     1.83206   0.0549468
          12     1.73798     1.82422   0.0509242
          13     1.73984     1.81773   0.0474187
          14     1.67733      1.8077   0.0450797
          15     1.61984     1.79518   0.0437795
          16     1.54977     1.77984   0.0436475
          17     1.52265     1.76471   0.0436231
          18     1.50864     1.75048   0.0434573
          19      1.4961      1.7371   0.0431834
          20     1.48157     1.72432   0.0428725
          21     1.45333     1.71142   0.0427289
          22     1.45328     1.69968   0.0423671
          23     1.45046     1.68885   0.0418877
          24     1.45274     1.67901   0.0412815
          25      1.4404     1.66946   0.0407186
          26     1.44301     1.66075   0.0400732
          27      1.4205     1.65186   0.0395646
          28     1.42135     1.64362   0.0389986
          29     1.39771     1.63514   0.0385647
          30     1.39943     1.62729   0.0380712
          31     1.39065     1.61965   0.0376006
          32     1.39995     1.61279   0.0370472
          33     1.40017     1.60634   0.0364805
          34     1.37195     1.59945   0.0360531
          35     1.36653      1.5928   0.0356319
          36      1.3678     1.58655   0.0351859
          37      1.3645     1.58054    0.034743
          38     1.35417     1.57459   0.0343356
          39     1.36311     1.56916   0.0338807
          40     1.35954     1.56392   0.0334365
          41     1.35709     1.55888   0.0329993
          42     1.34879     1.55388   0.0325905
          43     1.36699     1.54953   0.0321211
          44     1.36663     1.54537   0.0316589
          45      1.3588     1.54123   0.0312257
          46     1.35271     1.53713   0.0308146
          47     1.35475     1.53325   0.0304024
          48     1.34156     1.52926   0.0300301
          49     1.36119     1.52583   0.0296125
          50     1.37086     1.52273    0.029182
          51      1.3822     1.51997   0.0287396
          52      1.3719     1.51712   0.0283276
          53     1.35129       1.514   0.0279654
          54     1.31784     1.51036   0.0276824
          55     1.31355     1.50678   0.0274094
          56     1.30922     1.50326   0.0271461
          57     1.31664     1.49998   0.0268665
          58      1.3232     1.49693   0.0265757
          59     1.31745     1.49389   0.0262988
          60      1.3218     1.49102   0.0260164
          61     1.33736      1.4885   0.0257116
          62     1.35533     1.48636   0.0253864
          63     1.34822     1.48416    0.025078
          64     1.32641      1.4817    0.024807
          65     1.30016     1.47891   0.0245821
          66      1.3021     1.47623   0.0243551
          67     1.30947     1.47374   0.0241184
          68      1.3102     1.47133   0.0238834
          69     1.31305     1.46904   0.0236471
          70     1.30675     1.46672   0.0234227
          71     1.29417     1.46429   0.0232185
          72     1.30343     1.46206   0.0230033
          73     1.33696     1.46034   0.0227519
          74     1.35518     1.45892   0.0224888
          75      1.3579     1.45757   0.0222293
          76     1.34999     1.45616   0.0219818
          77     1.35573     1.45486    0.021735
          78     1.34261     1.45342   0.0215039
          79     1.35331     1.45215    0.021269
          80     1.37553     1.45119   0.0210247
          81     1.34856     1.44992   0.0208033
          82     1.35202     1.44873   0.0205838
          83     1.33686     1.44738   0.0203799
          84     1.34781      1.4462   0.0201717
          85     1.36351     1.44522   0.0199578
          86     1.36901     1.44434   0.0197454
          87     1.35334     1.44329   0.0195462
          88     1.37079     1.44247   0.0193414
          89     1.36002     1.44154   0.0191463
          90     1.36023     1.44064   0.0189548
          91     1.35357     1.43968   0.0187707
          92     1.36968     1.43892   0.0185821
          93     1.35573     1.43803   0.0184038
          94     1.35652     1.43716   0.0182284
          95     1.34209     1.43616    0.018064
          96     1.35689     1.43533   0.0178947
          97     1.35652     1.43452   0.0177286
          98     1.36241     1.43378    0.017563
          99     1.37385     1.43318    0.017396
         100     1.36398     1.43249   0.0172358
         101     1.35069     1.43168   0.0170842
         102     1.32846     1.43067   0.0169466
         103      1.3405     1.42979   0.0168047
         104     1.35708     1.42909   0.0166576
         105     1.38172     1.42864   0.0165051
         106     1.39825     1.42835   0.0163519
         107     1.37947      1.4279   0.0162054
         108     1.35646     1.42723   0.0160689
         109     1.33866     1.42642    0.015942
