#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59067     1.59067           0
           2     1.59044     1.59056 8.29374e-05
           3     1.59184     1.59099 0.000353663
           4     1.59248     1.59136 0.000418915
           5     1.59381     1.59185 0.000552395
           6     1.59439     1.59227 0.000601325
           7     1.59479     1.59263 0.000613662
           8     1.59521     1.59296 0.000615862
           9      1.5948     1.59316 0.000580617
          10     1.59497     1.59334 0.000550021
          11     1.59523     1.59351 0.000526045
          12     1.59583     1.59371 0.000516292
          13     1.59579     1.59387 0.000500737
          14     1.59665     1.59407 0.000502775
          15     1.59654     1.59423 0.000495589
          16     1.59642     1.59437 0.000483203
          17     1.59629     1.59448 0.000467869
          18     1.59622     1.59458 0.000451744
          19      1.5965     1.59468 0.000439161
          20     1.59631     1.59476 0.000424717
          21     1.59627     1.59483 0.000410572
          22     1.59647     1.59491 0.000398603
          23     1.59631     1.59497 0.000385888
          24     1.59639     1.59503 0.000374317
          25     1.59658     1.59509 0.000364497
          26     1.59655     1.59515 0.000354784
          27     1.59639     1.59519  0.00034461
          28     1.59661     1.59524 0.000336019
          29      1.5969      1.5953 0.000329283
          30     1.59639     1.59534 0.000320291
          31     1.59661     1.59538 0.000312606
          32     1.59685     1.59542 0.000306187
          33     1.59639     1.59545 0.000298312
          34     1.59676     1.59549 0.000292023
          35      1.5965     1.59552 0.000285088
          36     1.59671     1.59555  0.00027908
          37     1.59673     1.59558 0.000273351
          38     1.59661     1.59561 0.000267482
          39     1.59649     1.59563  0.00026157
          40     1.59668     1.59566 0.000256338
          41     1.59683     1.59569 0.000251665
          42     1.59624      1.5957 0.000246012
          43     1.59639     1.59572 0.000240817
          44      1.5966     1.59574 0.000236171
          45     1.59649     1.59575 0.000231507
          46     1.59661     1.59577 0.000227227
          47     1.59651     1.59579 0.000222926
          48      1.5966     1.59581 0.000218916
          49     1.59634     1.59582  0.00021472
          50     1.59634     1.59583 0.000210678
          51     1.59655     1.59584 0.000207029
          52     1.59654     1.59585 0.000203483
          53      1.5969     1.59587 0.000200595
          54     1.59663     1.59589 0.000197372
          55     1.59661      1.5959 0.000194218
          56     1.59636     1.59591  0.00019092
          57     1.59676     1.59592  0.00018815
