#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.00747     3.00747           0
           2     3.23405     3.12076   0.0801078
           3     3.10488     3.11546   0.0535798
           4     2.95535     3.07543   0.0530709
           5     2.79995     3.02034   0.0650468
           6     2.66048     2.96036   0.0770451
           7      2.5222     2.89777   0.0878607
           8     2.44908     2.84168   0.0930734
           9     2.42328     2.79519   0.0936253
          10     2.50351     2.76602   0.0886901
          11     2.56877     2.74809   0.0824203
          12     2.60697     2.73633   0.0763863
          13     2.60977     2.72659   0.0711281
          14     2.51599     2.71155   0.0676196
          15     2.42976     2.69277   0.0656693
          16     2.32465     2.66976   0.0654713
          17     2.28398     2.64707   0.0654347
          18     2.26297     2.62573    0.065186
          19     2.24415     2.60564    0.064775
          20     2.22236     2.58648   0.0643088
          21        2.18     2.56712   0.0640933
          22     2.17991     2.54952   0.0635506
          23      2.1757     2.53327   0.0628316
          24     2.17912     2.51851   0.0619222
          25      2.1606      2.5042   0.0610779
