#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.41679    -1.41679           0
           2    -1.64361     -1.5302   0.0801908
           3    -1.51304    -1.52448   0.0536642
           4    -1.36287    -1.48407    0.053331
           5    -1.20614    -1.42849   0.0655154
           6    -1.06608    -1.36809   0.0775948
           7   -0.927403    -1.30513   0.0884346
           8   -0.853866    -1.24872   0.0936582
           9   -0.828472    -1.20203   0.0941752
          10   -0.908535    -1.17268   0.0892138
          11   -0.973539    -1.15458     0.08292
          12    -1.01114    -1.14262   0.0768666
          13    -1.01398    -1.13273   0.0715879
          14   -0.919342    -1.11749   0.0680777
          15   -0.833224    -1.09854   0.0661243
          16   -0.728228    -1.07539   0.0659176
          17   -0.687689    -1.05258   0.0658672
          18   -0.666746    -1.03115   0.0656032
          19   -0.647647    -1.01097   0.0651815
          20   -0.626046   -0.991719   0.0647014
          21   -0.583726   -0.972291   0.0644714
          22   -0.583444   -0.954616   0.0639177
          23    -0.57939   -0.938302   0.0631864
          24   -0.582728   -0.923486   0.0622664
          25    -0.56401   -0.909107   0.0614135
