#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00498     2.00498           0
           2     2.15603      2.0805   0.0534052
           3     2.06992     2.07697   0.0357199
           4     1.97023     2.05029   0.0353806
           5     1.86663     2.01356   0.0433645
           6     1.77365     1.97357   0.0513634
           7     1.68146     1.93184   0.0585738
           8     1.63272     1.89445    0.062049
           9     1.61552     1.86346   0.0624168
          10       1.669     1.84401   0.0591267
          11     1.71251     1.83206   0.0549468
          12     1.73798     1.82422   0.0509242
          13     1.73984     1.81773   0.0474187
          14     1.67733      1.8077   0.0450797
          15     1.61984     1.79518   0.0437795
          16     1.54977     1.77984   0.0436475
          17     1.52265     1.76471   0.0436231
          18     1.50864     1.75048   0.0434573
          19      1.4961      1.7371   0.0431834
          20     1.48157     1.72432   0.0428725
          21     1.45333     1.71142   0.0427289
          22     1.45328     1.69968   0.0423671
          23     1.45046     1.68885   0.0418877
          24     1.45274     1.67901   0.0412815
          25      1.4404     1.66946   0.0407186
