#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.9731      1.9731           0
           2     1.99844     1.98577  0.00895856
           3     2.07173     2.01442   0.0241471
           4     2.16226     2.05138   0.0367762
           5     2.21981     2.08507   0.0421116
           6     2.22868       2.109    0.041339
           7     2.23977     2.12769   0.0394289
           8     2.24737     2.14265   0.0372306
           9     2.22768     2.15209   0.0342717
          10     2.21038     2.15792   0.0313362
          11     2.20492     2.16219   0.0287772
          12     2.22875     2.16774   0.0269083
          13     2.23853     2.17319   0.0253834
          14     2.24359     2.17821   0.0240633
          15     2.24423     2.18262    0.022858
          16     2.24238     2.18635   0.0217324
          17     2.26718     2.19111   0.0209676
          18      2.2657     2.19525   0.0202082
          19     2.27026      2.1992   0.0195264
          20     2.28163     2.20332   0.0189801
          21     2.29225     2.20755   0.0185427
          22     2.31735     2.21254   0.0183592
          23     2.31441     2.21697   0.0180873
          24     2.29749     2.22033    0.017642
          25     2.27759     2.22262   0.0170843
          26     2.29265     2.22531   0.0166382
          27     2.25688     2.22648    0.016063
          28     2.26809     2.22797   0.0155579
          29     2.24819     2.22866   0.0150371
          30     2.23692     2.22894   0.0145384
          31     2.23624     2.22918   0.0140713
          32     2.22489     2.22904   0.0136322
          33     2.28519     2.23074   0.0133249
          34     2.28586     2.23236   0.0130312
          35     2.27546      2.2336   0.0127169
          36     2.25086     2.23407   0.0123727
          37     2.27251     2.23511   0.0120818
          38     2.28891     2.23653   0.0118465
          39      2.2892     2.23788   0.0116195
          40     2.27386     2.23878   0.0113638
          41     2.27629     2.23969   0.0111234
          42     2.29511     2.24101   0.0109365
          43     2.33199     2.24313   0.0108849
          44      2.3321     2.24515   0.0108237
          45     2.31616     2.24673   0.0106976
          46     2.28144     2.24748   0.0104916
          47     2.29327     2.24846   0.0103135
          48     2.30211     2.24958    0.010159
          49     2.33069     2.25123   0.0100857
          50     2.34049     2.25302   0.0100407
          51      2.3299     2.25452  0.00995634
          52     2.32302     2.25584  0.00985162
          53     2.29266     2.25654   0.0096902
          54     2.29117     2.25718  0.00953195
          55      2.2962     2.25789  0.00938501
          56     2.30451     2.25872  0.00925429
          57     2.31545     2.25971  0.00914529
          58     2.31762     2.26071  0.00904195
          59      2.2954      2.2613  0.00890779
          60     2.25298     2.26116   0.0087604
          61     2.25799     2.26111  0.00861695
          62     2.25656     2.26104  0.00847828
          63     2.29335     2.26155   0.0083592
          64     2.30595     2.26224  0.00825732
          65     2.33136     2.26331  0.00819846
          66     2.35473     2.26469  0.00819042
          67     2.34812     2.26594  0.00816229
          68     2.29187     2.26632  0.00805115
          69     2.26096     2.26624  0.00793484
          70     2.28529     2.26651  0.00782616
          71     2.27845     2.26668  0.00771773
          72     2.27801     2.26684  0.00761215
          73     2.27421     2.26694  0.00750854
          74     2.28458     2.26718  0.00741086
          75     2.29352     2.26753  0.00732036
          76      2.2975     2.26792  0.00723466
          77     2.28474     2.26814    0.007144
          78     2.28036      2.2683  0.00705413
          79     2.28804     2.26855  0.00696926
          80     2.29012     2.26882  0.00688736
          81      2.2801     2.26896  0.00680374
          82     2.25936     2.26884  0.00672177
          83     2.24045      2.2685  0.00664949
          84     2.26042      2.2684  0.00657102
          85     2.27496     2.26848  0.00649417
          86     2.27427     2.26855    0.006419
          87     2.27153     2.26858  0.00634531
          88     2.26657     2.26856  0.00627325
          89     2.25834     2.26844  0.00620381
          90     2.27252     2.26849  0.00613505
          91     2.34338     2.26931  0.00612257
          92     2.34778     2.27016  0.00611515
          93     2.30089     2.27049  0.00605832
          94     2.27839     2.27058  0.00599445
          95     2.29993     2.27089   0.0059393
          96     2.32414     2.27144  0.00590328
          97     2.32396     2.27198   0.0058672
          98     2.30009     2.27227  0.00581433
          99     2.29185     2.27247  0.00575897
         100     2.26711     2.27241  0.00570163
         101     2.26786     2.27237  0.00564535
         102     2.24383     2.27209  0.00559694
         103     2.24563     2.27183  0.00554849
         104     2.30573     2.27216   0.0055047
         105     2.32605     2.27267  0.00547615
         106     2.35672     2.27347  0.00548159
         107     2.32884     2.27398  0.00545473
         108     2.33366     2.27454  0.00543214
         109     2.31111     2.27487  0.00539266
         110     2.28208     2.27494  0.00534403
         111     2.24743     2.27469  0.00530163
         112     2.25053     2.27447  0.00525868
         113     2.22073       2.274  0.00523361
         114     2.23243     2.27363  0.00520039
         115     2.26015     2.27352  0.00515649
         116     2.28573     2.27362  0.00511311
         117     2.27744     2.27365  0.00506951
         118     2.28431     2.27374  0.00502736
         119      2.3035     2.27399  0.00499132
         120      2.2934     2.27416  0.00495235
         121     2.28942     2.27428  0.00491303
         122     2.28631     2.27438  0.00487375
         123     2.30528     2.27463  0.00484059
         124     2.28126     2.27468  0.00480185
         125     2.31358       2.275   0.0047735
         126      2.3361     2.27548  0.00476019
         127     2.35218     2.27608  0.00476087
         128     2.34618     2.27663  0.00475506
         129      2.3245       2.277  0.00473266
         130     2.31742     2.27731  0.00470645
         131     2.28998     2.27741  0.00467152
         132     2.29488     2.27754    0.004638
         133      2.2869     2.27761  0.00460366
         134     2.30003     2.27778  0.00457234
         135     2.28153     2.27781  0.00453856
         136     2.26821     2.27774  0.00450574
         137     2.24136     2.27747  0.00448067
         138     2.27957     2.27749  0.00444822
         139     2.28066     2.27751  0.00441628
         140     2.30955     2.27774  0.00439066
         141     2.31307     2.27799  0.00436666
         142     2.29077     2.27808  0.00433684
         143     2.27313     2.27805  0.00430665
         144     2.26494     2.27795  0.00427771
         145      2.2647     2.27786  0.00424918
         146     2.26998     2.27781  0.00422042
         147     2.29683     2.27794  0.00419369
         148     2.33378     2.27832   0.0041823
         149     2.32791     2.27865  0.00416746
         150     2.30534     2.27883  0.00414347
         151     2.27115     2.27878  0.00411634
         152     2.28587     2.27882  0.00408953
         153     2.29061      2.2789  0.00406352
         154     2.29108     2.27898  0.00403791
         155      2.2822       2.279  0.00401191
         156     2.29373     2.27909   0.0039873
         157     2.24866      2.2789  0.00396662
         158       2.259     2.27877  0.00394351
         159     2.29521     2.27888  0.00392006
         160     2.30254     2.27903  0.00389835
