#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.040443   -0.040443           0
           2  -0.0660569  -0.0532499  0.00905588
           3   -0.139583  -0.0820277   0.0242602
           4   -0.230142   -0.119056     0.03687
           5    -0.28745   -0.152735   0.0421595
           6   -0.296151   -0.176638   0.0413574
           7   -0.307163   -0.195284   0.0394293
           8   -0.314862   -0.210231   0.0372261
           9    -0.29494   -0.219644   0.0342591
          10   -0.277765   -0.225456   0.0313223
          11   -0.272571   -0.229739   0.0287662
          12   -0.296272   -0.235283    0.026898
          13   -0.306188   -0.240737   0.0253759
          14    -0.31117   -0.245768   0.0240569
          15   -0.311744   -0.250167   0.0228516
          16    -0.30982   -0.253895   0.0217254
          17   -0.334866   -0.258658   0.0209631
          18   -0.333338   -0.262807   0.0202048
          19   -0.337716    -0.26675   0.0195223
          20   -0.349126   -0.270868   0.0189757
          21   -0.359892   -0.275108   0.0185396
          22   -0.384969   -0.280101   0.0183571
          23   -0.381727    -0.28452   0.0180829
          24   -0.365195   -0.287881   0.0176391
          25   -0.344687   -0.290153   0.0170793
          26   -0.360358   -0.292854   0.0166345
          27   -0.324482   -0.294025   0.0160596
          28   -0.335563   -0.295509   0.0155544
          29   -0.315737   -0.296206   0.0150336
          30   -0.304394   -0.296479    0.014535
          31   -0.303501   -0.296706   0.0140679
          32   -0.292526   -0.296575   0.0136289
          33   -0.352818   -0.298279    0.013322
          34   -0.353433   -0.299901   0.0130286
          35   -0.342757   -0.301126   0.0127137
          36   -0.318325   -0.301604   0.0123696
          37   -0.340336    -0.30265   0.0120795
          38   -0.356468   -0.304067   0.0118443
          39   -0.357115   -0.305427   0.0116185
          40   -0.341243   -0.306322   0.0113624
          41   -0.343833   -0.307237   0.0111221
          42   -0.363185   -0.308569   0.0109368
          43   -0.399593   -0.310686   0.0108853
          44   -0.399576   -0.312706   0.0108238
          45     -0.3837   -0.314284   0.0106976
          46   -0.348937   -0.315037   0.0104916
          47   -0.361087   -0.316017    0.010314
          48   -0.369694   -0.317135   0.0101595
          49   -0.398398   -0.318794   0.0100867
          50   -0.408196   -0.320582   0.0100422
          51   -0.397432   -0.322089  0.00995767
          52   -0.390408   -0.323402  0.00985246
          53   -0.360378     -0.3241  0.00969124
          54   -0.358654    -0.32474  0.00953287
          55   -0.363881   -0.325452  0.00938607
          56   -0.372013   -0.326283  0.00925522
          57   -0.382739   -0.327274  0.00914569
          58   -0.385582   -0.328279  0.00904309
          59   -0.362863   -0.328865  0.00890879
          60   -0.320491   -0.328726  0.00876141
          61   -0.325483   -0.328672  0.00861794
          62   -0.324367   -0.328603  0.00847922
          63   -0.361068   -0.329118  0.00836027
          64   -0.373737   -0.329815  0.00825866
