#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.3154      1.3154           0
           2     1.33229     1.32385  0.00597237
           3     1.38116     1.34295   0.0160981
           4     1.44151     1.36759   0.0245175
           5     1.47988     1.39005   0.0280744
           6     1.48579       1.406   0.0275593
           7     1.49318     1.41846    0.026286
           8     1.49825     1.42843   0.0248204
           9     1.48512     1.43473   0.0228478
          10     1.47359     1.43861   0.0208908
          11     1.46994     1.44146   0.0191848
          12     1.48583     1.44516   0.0179389
          13     1.49235     1.44879   0.0169223
          14     1.49573     1.45214   0.0160422
          15     1.49615     1.45508   0.0152386
          16     1.49492     1.45757   0.0144883
          17     1.51145     1.46074   0.0139784
          18     1.51047      1.4635   0.0134721
          19     1.51351     1.46613   0.0130176
          20     1.52109     1.46888   0.0126534
          21     1.52817      1.4717   0.0123618
          22      1.5449     1.47503   0.0122394
          23     1.54294     1.47798   0.0120582
          24     1.53166     1.48022   0.0117613
          25     1.51839     1.48175   0.0113896
          26     1.52844     1.48354   0.0110922
          27     1.50459     1.48432   0.0107087
          28     1.51206     1.48531    0.010372
          29      1.4988     1.48578   0.0100247
          30     1.49128     1.48596  0.00969224
          31     1.49082     1.48612  0.00938086
          32     1.48326     1.48603  0.00908813
          33     1.52346     1.48716  0.00888325
          34      1.5239     1.48824  0.00868745
          35     1.51697     1.48906  0.00847793
          36     1.50057     1.48938  0.00824846
          37     1.51501     1.49008  0.00805455
          38     1.52594     1.49102  0.00789769
          39     1.52613     1.49192  0.00774634
          40     1.51591     1.49252  0.00757586
          41     1.51753     1.49313   0.0074156
          42     1.53007     1.49401  0.00729102
          43     1.55466     1.49542   0.0072566
          44     1.55473     1.49677   0.0072158
          45     1.54411     1.49782  0.00713172
          46     1.52096     1.49832   0.0069944
          47     1.52885     1.49897  0.00687567
          48     1.53474     1.49972  0.00677269
          49     1.55379     1.50082  0.00672378
          50     1.56033     1.50201   0.0066938
          51     1.55326     1.50302  0.00663756
          52     1.54868     1.50389  0.00656775
          53     1.52844     1.50436  0.00646013
          54     1.52745     1.50478  0.00635464
          55      1.5308     1.50526  0.00625668
          56     1.53634     1.50581  0.00616952
          57     1.54363     1.50648  0.00609686
          58     1.54508     1.50714  0.00602797
          59     1.53027     1.50753  0.00593852
          60     1.50199     1.50744  0.00584027
          61     1.50532     1.50741  0.00574463
          62     1.50437     1.50736  0.00565218
          63      1.5289      1.5077   0.0055728
          64      1.5373     1.50816  0.00550488
          65     1.55424     1.50887  0.00546564
          66     1.56982     1.50979  0.00546028
          67     1.56542     1.51062  0.00544152
          68     1.52791     1.51088  0.00536744
          69     1.50731     1.51083   0.0052899
          70     1.52353     1.51101  0.00521744
          71     1.51896     1.51112  0.00514516
          72     1.51868     1.51123  0.00507476
          73     1.51614     1.51129  0.00500569
          74     1.52306     1.51145  0.00494057
          75     1.52901     1.51169  0.00488024
          76     1.53167     1.51195  0.00482311
          77     1.52316     1.51209  0.00476267
          78     1.52024      1.5122  0.00470275
          79     1.52536     1.51237  0.00464617
          80     1.52675     1.51255  0.00459157
          81     1.52007     1.51264  0.00453583
          82     1.50624     1.51256  0.00448118
          83     1.49363     1.51233  0.00443299
          84     1.50694     1.51227  0.00438068
          85     1.51664     1.51232  0.00432945
          86     1.51618     1.51236  0.00427934
          87     1.51435     1.51239  0.00423021
          88     1.51104     1.51237  0.00418217
