#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.93266     1.93266           0
           2     1.93238     1.93252 9.73257e-05
           3     1.93215      1.9324 0.000119267
           4     1.93212     1.93233 0.000107546
           5     1.93236     1.93233 8.62693e-05
           6     1.93253     1.93237 7.76432e-05
           7     1.93261      1.9324 7.36862e-05
           8     1.93251     1.93241 6.56716e-05
           9     1.93274     1.93245  6.7501e-05
          10     1.93261     1.93247 6.26821e-05
          11     1.93235     1.93246 5.79224e-05
          12     1.93248     1.93246 5.31237e-05
          13     1.93234     1.93245 4.97537e-05
          14     1.93242     1.93245  4.6243e-05
          15     1.93248     1.93245  4.3221e-05
          16     1.93256     1.93246 4.10606e-05
          17     1.93231     1.93245 3.95276e-05
          18     1.93237     1.93244 3.75935e-05
          19     1.93254     1.93245  3.5984e-05
          20      1.9325     1.93245 3.42963e-05
          21     1.93236     1.93245 3.29283e-05
          22     1.93238     1.93244 3.15848e-05
          23     1.93268     1.93245 3.18761e-05
          24     1.93229     1.93245 3.12609e-05
          25      1.9329     1.93246 3.48533e-05
          26      1.9323     1.93246 3.41189e-05
          27      1.9324     1.93246 3.29266e-05
          28     1.93253     1.93246 3.18432e-05
          29     1.93246     1.93246 3.07452e-05
          30     1.93253     1.93246 2.98143e-05
          31     1.93274     1.93247 3.01384e-05
          32     1.93237     1.93247 2.93704e-05
          33     1.93237     1.93246 2.86127e-05
          34     1.93242     1.93246 2.77964e-05
          35      1.9327     1.93247 2.78199e-05
          36     1.93254     1.93247 2.71077e-05
          37     1.93218     1.93246 2.75094e-05
          38     1.93244     1.93246 2.67905e-05
          39     1.93208     1.93245 2.78032e-05
          40     1.93262     1.93246 2.74235e-05
          41     1.93246     1.93246 2.67547e-05
          42     1.93192     1.93244 2.89712e-05
          43      1.9324     1.93244 2.83201e-05
          44     1.93252     1.93245  2.7733e-05
          45     1.93246     1.93245 2.71187e-05
          46      1.9325     1.93245 2.65559e-05
          47     1.93219     1.93244 2.65575e-05
          48     1.93242     1.93244 2.60095e-05
          49     1.93229     1.93244 2.56552e-05
          50     1.93229     1.93243  2.5307e-05
          51     1.93246     1.93244 2.48174e-05
          52     1.93261     1.93244 2.45728e-05
          53     1.93228     1.93244 2.42864e-05
          54     1.93251     1.93244 2.38795e-05
          55     1.93232     1.93244  2.3542e-05
          56      1.9325     1.93244 2.31511e-05
          57     1.93271     1.93244 2.32442e-05
          58     1.93204     1.93243 2.38495e-05
          59     1.93253     1.93244  2.3506e-05
          60     1.93249     1.93244 2.31295e-05
          61      1.9325     1.93244 2.27759e-05
          62     1.93219     1.93243 2.27503e-05
          63     1.93228     1.93243 2.25229e-05
          64     1.93221     1.93243 2.24386e-05
          65     1.93224     1.93243  2.2277e-05
          66      1.9325     1.93243 2.19693e-05
          67     1.93283     1.93243 2.24419e-05
          68     1.93272     1.93244  2.2506e-05
          69      1.9324     1.93244 2.21857e-05
          70     1.93222     1.93243 2.20848e-05
          71     1.93238     1.93243 2.17876e-05
          72     1.93279     1.93244 2.20586e-05
          73     1.93251     1.93244 2.17761e-05
          74     1.93221     1.93244 2.16974e-05
          75     1.93261     1.93244 2.15328e-05
          76     1.93223     1.93243 2.14288e-05
          77     1.93263     1.93244 2.12985e-05
          78     1.93247     1.93244 2.10287e-05
          79     1.93233     1.93244 2.08033e-05
          80      1.9324     1.93244 2.05489e-05
          81     1.93284     1.93244  2.0887e-05
          82      1.9326     1.93244   2.072e-05
          83     1.93254     1.93244  2.0502e-05
          84      1.9324     1.93244 2.02651e-05
          85      1.9326     1.93245 2.01092e-05
          86     1.93241     1.93244 1.98805e-05
          87     1.93231     1.93244 1.97085e-05
          88      1.9327     1.93245 1.96943e-05
          89     1.93258     1.93245 1.95336e-05
          90     1.93215     1.93244 1.95872e-05
          91     1.93233     1.93244 1.94111e-05
          92     1.93251     1.93244 1.92125e-05
          93     1.93263     1.93245 1.91156e-05
          94     1.93255     1.93245 1.89451e-05
          95     1.93224     1.93244 1.88764e-05
          96     1.93232     1.93244 1.87222e-05
          97     1.93257     1.93244 1.85742e-05
          98     1.93266     1.93245 1.85084e-05
          99     1.93246     1.93245 1.83216e-05
         100     1.93235     1.93245 1.81617e-05
         101     1.93225     1.93244 1.80803e-05
         102     1.93235     1.93244 1.79249e-05
         103     1.93224     1.93244 1.78597e-05
         104     1.93197     1.93244  1.8261e-05
         105     1.93218     1.93243 1.82479e-05
         106     1.93221     1.93243 1.81987e-05
         107     1.93259     1.93243 1.80872e-05
         108     1.93233     1.93243 1.79466e-05
         109     1.93248     1.93243 1.77867e-05
         110     1.93262     1.93243 1.77036e-05
         111     1.93218     1.93243 1.76896e-05
         112     1.93257     1.93243 1.75774e-05
         113     1.93237     1.93243 1.74305e-05
         114     1.93221     1.93243 1.73874e-05
         115     1.93223     1.93243 1.73219e-05
         116     1.93223     1.93243  1.7255e-05
         117     1.93268     1.93243 1.72413e-05
         118     1.93217     1.93243 1.72367e-05
         119     1.93254     1.93243  1.7116e-05
         120     1.93237     1.93243 1.69808e-05
         121     1.93244     1.93243 1.68406e-05
         122     1.93219     1.93243 1.68111e-05
         123     1.93238     1.93243 1.66786e-05
         124     1.93205     1.93242 1.68118e-05
         125     1.93208     1.93242 1.69025e-05
         126     1.93223     1.93242 1.68349e-05
         127     1.93208     1.93242 1.69098e-05
         128     1.93253     1.93242 1.68006e-05
         129     1.93238     1.93242 1.66725e-05
         130     1.93255     1.93242 1.65741e-05
         131     1.93222     1.93242 1.65153e-05
         132     1.93234     1.93242 1.63993e-05
         133     1.93214     1.93241 1.64083e-05
         134     1.93255     1.93241 1.63178e-05
         135     1.93267     1.93242 1.63045e-05
         136     1.93222     1.93241 1.62453e-05
         137     1.93234     1.93241 1.61357e-05
         138     1.93225     1.93241 1.60646e-05
         139     1.93247     1.93241 1.59547e-05
         140     1.93254     1.93241 1.58677e-05
         141     1.93245     1.93241 1.57568e-05
         142     1.93252     1.93242 1.56626e-05
         143     1.93253     1.93242 1.55719e-05
         144     1.93247     1.93242 1.54689e-05
         145     1.93244     1.93242 1.53628e-05
         146     1.93234     1.93242 1.52656e-05
         147     1.93219     1.93241 1.52359e-05
         148     1.93222     1.93241 1.51911e-05
         149     1.93264     1.93241  1.5165e-05
         150     1.93263     1.93242 1.51336e-05
         151     1.93241     1.93242 1.50334e-05
         152     1.93233     1.93242 1.49455e-05
         153     1.93214     1.93241 1.49599e-05
         154     1.93266     1.93242 1.49467e-05
         155     1.93214     1.93241  1.4954e-05
         156     1.93253     1.93241 1.48753e-05
         157     1.93252     1.93242 1.47954e-05
         158      1.9323     1.93241 1.47211e-05
         159     1.93231     1.93241 1.46438e-05
         160     1.93221     1.93241 1.46095e-05
         161     1.93218     1.93241 1.45889e-05
         162     1.93212     1.93241 1.46082e-05
         163     1.93245     1.93241 1.45205e-05
         164     1.93235     1.93241 1.44359e-05
         165     1.93196     1.93241 1.46039e-05
         166     1.93253     1.93241 1.45352e-05
         167     1.93197      1.9324 1.46853e-05
         168     1.93205      1.9324 1.47489e-05
         169       1.932      1.9324  1.4851e-05
         170      1.9322      1.9324 1.48082e-05
         171     1.93226      1.9324 1.47427e-05
         172     1.93198      1.9324 1.48523e-05
         173     1.93215     1.93239  1.4834e-05
         174     1.93205     1.93239 1.48836e-05
         175     1.93202     1.93239  1.4949e-05
         176     1.93197     1.93239  1.5052e-05
         177     1.93218     1.93239 1.50119e-05
         178       1.932     1.93238 1.50837e-05
         179     1.93193     1.93238  1.5215e-05
         180     1.93179     1.93238 1.54862e-05
         181     1.93218     1.93238 1.54398e-05
         182     1.93251     1.93238 1.53728e-05
         183     1.93195     1.93238  1.5467e-05
         184     1.93214     1.93237 1.54366e-05
         185     1.93227     1.93237 1.53637e-05
         186     1.93264     1.93238 1.53466e-05
         187     1.93187     1.93237 1.54986e-05
         188     1.93233     1.93237 1.54181e-05
         189     1.93252     1.93237 1.53555e-05
         190      1.9326     1.93237 1.53192e-05
         191      1.9322     1.93237 1.52676e-05
         192     1.93244     1.93237 1.51918e-05
         193     1.93234     1.93237 1.51141e-05
         194     1.93241     1.93237 1.50373e-05
         195     1.93279     1.93238 1.51145e-05
         196     1.93225     1.93238 1.50518e-05
         197     1.93219     1.93237 1.50049e-05
         198     1.93208     1.93237 1.50027e-05
         199     1.93254     1.93237 1.49506e-05
         200     1.93196     1.93237 1.50173e-05
         201     1.93232     1.93237 1.49448e-05
         202     1.93213     1.93237 1.49205e-05
         203     1.93277     1.93237 1.49785e-05
         204     1.93271     1.93237 1.49959e-05
         205     1.93234     1.93237 1.49237e-05
         206     1.93249     1.93237 1.48615e-05
         207      1.9324     1.93237 1.47903e-05
         208     1.93221     1.93237 1.47414e-05
         209     1.93232     1.93237 1.46731e-05
         210     1.93246     1.93237 1.46092e-05
         211     1.93203     1.93237 1.46293e-05
         212     1.93245     1.93237 1.45653e-05
         213     1.93255     1.93237 1.45219e-05
         214     1.93251     1.93237  1.4469e-05
         215     1.93199     1.93237 1.45119e-05
         216     1.93244     1.93237 1.44483e-05
         217     1.93226     1.93237 1.43906e-05
         218     1.93235     1.93237 1.43248e-05
         219     1.93237     1.93237 1.42594e-05
         220     1.93237     1.93237 1.41946e-05
         221     1.93241     1.93237 1.41315e-05
         222     1.93255     1.93237 1.40904e-05
         223     1.93258     1.93237 1.40586e-05
         224     1.93195     1.93237  1.4122e-05
         225      1.9324     1.93237 1.40599e-05
         226     1.93245     1.93237 1.40019e-05
         227     1.93282     1.93237 1.40763e-05
         228     1.93176     1.93237 1.42676e-05
         229     1.93233     1.93237 1.42066e-05
         230      1.9324     1.93237 1.41455e-05
         231     1.93256     1.93237 1.41067e-05
         232     1.93234     1.93237 1.40466e-05
         233     1.93246     1.93237 1.39913e-05
         234      1.9325     1.93237 1.39419e-05
         235     1.93248     1.93237 1.38898e-05
         236     1.93239     1.93237 1.38311e-05
         237     1.93252     1.93237 1.37867e-05
         238     1.93257     1.93238 1.37537e-05
         239     1.93233     1.93237 1.36972e-05
         240      1.9324     1.93238 1.36405e-05
         241     1.93235     1.93237 1.35844e-05
         242     1.93248     1.93238 1.35346e-05
         243     1.93258     1.93238 1.35055e-05
         244      1.9323     1.93238 1.34535e-05
         245     1.93244     1.93238 1.34016e-05
         246     1.93214     1.93238 1.33803e-05
         247     1.93249     1.93238 1.33344e-05
         248     1.93244     1.93238 1.32834e-05
         249     1.93263     1.93238 1.32691e-05
         250     1.93228     1.93238 1.32214e-05
