#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.15297     2.15297           0
           2     2.18325     2.16811   0.0107069
           3     2.25318     2.19647    0.024229
           4     2.30821      2.2244   0.0302576
           5     2.38655     2.25683   0.0377792
           6      2.4282     2.28539   0.0408776
           7     2.43469     2.30672   0.0402188
           8     2.43794     2.32312   0.0383907
           9     2.47522     2.34002   0.0376614
          10     2.48606     2.35463   0.0366173
          11     2.47572     2.36563    0.034904
          12     2.43061     2.37105   0.0324126
          13     2.41903     2.37474   0.0301287
          14     2.42266     2.37816   0.0281704
          15     2.42796     2.38148   0.0264872
          16     2.42738     2.38435   0.0249866
          17     2.42147     2.38653   0.0236121
          18      2.4118     2.38794    0.022342
          19     2.41294     2.38925   0.0212048
          20     2.41327     2.39045   0.0201785
          21     2.43268     2.39247   0.0193176
          22     2.40236     2.39291   0.0184447
          23     2.37828     2.39228   0.0176537
          24     2.35328     2.39065   0.0169928
          25     2.35887     2.38938   0.0163606
