#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0412531  -0.0412531           0
           2  -0.0718623  -0.0565577    0.010822
           3   -0.141875  -0.0849969   0.0243155
           4   -0.196776   -0.112942   0.0303028
           5   -0.275078   -0.145369   0.0378009
           6   -0.316812   -0.173943   0.0408984
           7   -0.323225   -0.195269   0.0402335
           8   -0.326305   -0.211648    0.038394
           9   -0.363966   -0.228573   0.0376739
          10   -0.374005   -0.243116   0.0366061
          11   -0.364109   -0.254115   0.0348917
          12   -0.318876   -0.259512   0.0323988
          13   -0.307356   -0.263192   0.0301148
          14   -0.311201   -0.266621   0.0281584
          15   -0.316018   -0.269914    0.026473
          16   -0.315696   -0.272776   0.0249726
          17   -0.309894   -0.274959   0.0235989
          18   -0.300279   -0.276366   0.0223297
          19   -0.301189   -0.277672   0.0211926
          20   -0.301762   -0.278877   0.0201672
          21   -0.321018   -0.280884   0.0193064
          22   -0.290398   -0.281316   0.0184337
          23    -0.26643   -0.280669   0.0176436
          24   -0.241862   -0.279052   0.0169824
          25   -0.246921   -0.277767   0.0163517
