#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.43531     1.43531           0
           2      1.4555     1.44541  0.00713792
           3     1.50212     1.46431   0.0161527
           4     1.53881     1.48293   0.0201718
           5     1.59103     1.50455   0.0251861
           6      1.6188     1.52359   0.0272518
           7     1.62312     1.53781   0.0268125
           8     1.62529     1.54875   0.0255938
           9     1.65015     1.56001   0.0251076
          10     1.65737     1.56975   0.0244116
          11     1.65048     1.57709   0.0232693
          12     1.62041      1.5807   0.0216084
          13     1.61268     1.58316   0.0200858
          14      1.6151     1.58544   0.0187803
          15     1.61864     1.58765   0.0176582
          16     1.61825     1.58957   0.0166578
          17     1.61431     1.59102   0.0157414
          18     1.60786     1.59196   0.0148946
          19     1.60863     1.59284   0.0141365
          20     1.60885     1.59364   0.0134523
          21     1.62179     1.59498   0.0128784
          22     1.60157     1.59528   0.0122965
          23     1.58552     1.59485   0.0117692
          24     1.56885     1.59377   0.0113285
          25     1.57258     1.59292    0.010907
