#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.11171     2.11171           0
           2     2.11139     2.11155 0.000115112
           3      2.1113     2.11147 0.000101723
           4     2.11143     2.11146 7.66778e-05
           5     2.11147     2.11146  6.1368e-05
           6     2.11139     2.11145 5.22449e-05
           7     2.11146     2.11145 4.48087e-05
           8     2.11163     2.11147 4.46152e-05
           9     2.11125     2.11145 4.59549e-05
          10     2.11205     2.11151 7.06896e-05
          11     2.11161     2.11152 6.47974e-05
          12     2.11174     2.11154 6.18765e-05
          13     2.11167     2.11155  5.7984e-05
          14     2.11145     2.11154  5.4217e-05
          15     2.11194     2.11157 5.67449e-05
          16     2.11169     2.11157 5.36766e-05
          17     2.11158     2.11157 5.05197e-05
          18     2.11152     2.11157 4.78113e-05
          19     2.11175     2.11158 4.62003e-05
          20     2.11151     2.11158 4.40226e-05
          21     2.11166     2.11158 4.21054e-05
          22     2.11196      2.1116 4.35686e-05
          23     2.11185     2.11161 4.30601e-05
          24     2.11142      2.1116 4.19835e-05
          25     2.11195     2.11162 4.25723e-05
