#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.36       -0.36           0
           2        -0.6       -0.48   0.0848528
           3       -0.68   -0.546667   0.0785045
           4       -0.52       -0.54   0.0591608
           5       -0.44       -0.52   0.0505964
           6       -0.44   -0.506667   0.0438854
           7       -0.52   -0.508571   0.0376573
           8        -0.6       -0.52    0.034641
           9       -0.44   -0.511111   0.0319121
          10       -0.36      -0.496   0.0320998
          11       -0.36   -0.483636   0.0314727
          12        -0.6   -0.493333   0.0303071
          13       -0.44   -0.489231   0.0282521
          14       -0.44   -0.485714    0.026452
          15       -0.36   -0.477333   0.0259823
          16        -0.6      -0.485   0.0254644
          17       -0.52   -0.487059   0.0240496
          18       -0.44   -0.484444   0.0228552
          19       -0.44   -0.482105   0.0217717
          20       -0.52      -0.484   0.0207654
          21       -0.52   -0.485714   0.0198472
          22       -0.52   -0.487273   0.0190061
          23       -0.44   -0.485217   0.0182906
          24       -0.52   -0.486667   0.0175858
          25       -0.68     -0.4944   0.0185047
          26       -0.44   -0.492308   0.0179109
          27       -0.44    -0.49037    0.017352
          28       -0.36   -0.485714   0.0173457
          29       -0.44   -0.484138   0.0168191
          30       -0.44   -0.482667   0.0163227
          31       -0.44    -0.48129   0.0158541
          32       -0.68     -0.4875     0.01653
          33       -0.52   -0.488485   0.0160584
          34        -0.6   -0.491765   0.0159176
          35       -0.44   -0.490286   0.0155313
          36       -0.68   -0.495556   0.0159689
          37       -0.44   -0.494054   0.0156078
          38       -0.28   -0.488421   0.0161816
          39       -0.52   -0.489231    0.015787
          40       -0.68      -0.494   0.0160966
          41        -0.6   -0.496585   0.0159103
          42        -0.6   -0.499048   0.0157208
          43        -0.6   -0.501395   0.0155295
          44       -0.36   -0.498182   0.0155055
          45       -0.44   -0.496889   0.0152147
          46       -0.44   -0.495652   0.0149342
          47       -0.36   -0.492766   0.0148927
          48       -0.52   -0.493333   0.0145933
          49       -0.44   -0.492245    0.014336
          50       -0.36     -0.4896   0.0142911
          51       -0.36   -0.487059   0.0142351
          52       -0.44   -0.486154     0.01399
          53       -0.36   -0.483774   0.0139271
          54       -0.36   -0.481481   0.0138565
          55       -0.36   -0.479273   0.0137795
          56       -0.52       -0.48   0.0135526
          57       -0.28   -0.476491   0.0137616
          58        -0.6   -0.478621   0.0136881
