#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.52       -0.52           0
           2       -0.52       -0.52           0
           3       -0.36   -0.466667   0.0435465
           4       -0.36       -0.44        0.04
           5       -0.52      -0.456   0.0350542
           6       -0.36       -0.44   0.0326599
           7       -0.36   -0.428571    0.029927
           8       -0.52       -0.44   0.0282843
           9       -0.28   -0.422222   0.0302164
          10       -0.36      -0.416    0.027828
          11       -0.52   -0.425455   0.0268563
          12       -0.68   -0.446667   0.0319142
          13       -0.36       -0.44   0.0301476
          14       -0.52   -0.445714   0.0285306
          15        -0.6      -0.456   0.0284222
          16        -0.6      -0.465   0.0280346
          17        -0.6   -0.472941   0.0274872
          18       -0.68   -0.484444   0.0282649
          19        -0.6   -0.490526   0.0274238
          20       -0.44      -0.488   0.0261687
          21       -0.28   -0.478095   0.0267314
          22       -0.52       -0.48   0.0255841
          23       -0.36   -0.474783   0.0249981
          24       -0.44   -0.473333   0.0239985
          25       -0.36     -0.4688   0.0234628
          26       -0.44   -0.467692   0.0225865
          27        -0.6   -0.472593   0.0222752
          28       -0.36   -0.468571   0.0218396
          29       -0.44   -0.467586   0.0211087
          30       -0.36      -0.464   0.0207075
          31       -0.52   -0.465806   0.0201181
          32       -0.44      -0.465   0.0195056
          33       -0.52   -0.466667   0.0189856
          34       -0.68   -0.472941   0.0194364
          35       -0.52   -0.474286   0.0189275
          36       -0.52   -0.475556   0.0184443
          37       -0.36   -0.472432   0.0182083
          38       -0.52   -0.473684   0.0177721
          39       -0.28   -0.468718   0.0179969
          40       -0.28      -0.464   0.0181549
          41        -0.2   -0.457561   0.0188193
          42       -0.36   -0.455238   0.0185141
          43        -0.2   -0.449302   0.0190112
          44       -0.44   -0.449091   0.0185803
          45       -0.52   -0.450667   0.0182341
          46       -0.44   -0.450435   0.0178392
          47       -0.28   -0.446809   0.0178244
          48       -0.68   -0.451667    0.018103
          49       -0.68   -0.456327   0.0183235
          50       -0.36     -0.4544    0.018058
          51       -0.52   -0.455686   0.0177497
          52       -0.44   -0.455385   0.0174109
          53       -0.28   -0.452075   0.0173941
          54        -0.2   -0.447407   0.0176872
          55       -0.52   -0.448727   0.0174148
          56       -0.44   -0.448571   0.0171045
          57       -0.44   -0.448421   0.0168051
          58       -0.36   -0.446897   0.0165844
          59       -0.44    -0.44678   0.0163037
          60       -0.44   -0.446667   0.0160324
          61       -0.28   -0.443934   0.0160007
          62       -0.36   -0.442581   0.0157998
          63       -0.52    -0.44381   0.0155967
          64       -0.28    -0.44125   0.0155616
          65       -0.36       -0.44   0.0153723
          66       -0.52   -0.441212   0.0151871
