#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     68.8448     68.8448           0
           2     69.7339     69.2893    0.314357
           3     73.4447     70.6745     1.15021
           4     74.1843     71.5519     1.14962
           5       70.99     71.4395    0.925171
           6     76.4748     72.2788     1.08688
           7     78.7521     73.2035     1.26527
           8     84.4291     74.6067     1.71713
           9     74.6824     74.6151     1.52636
          10     81.6205     75.3157     1.52604
          11     77.5671     75.5203     1.40097
          12     77.1745     75.6582     1.29098
          13     79.9063      75.985     1.23234
          14     72.8598     75.7617     1.16436
          15     82.2858     76.1967     1.16514
          16     77.2983     76.2655     1.09435
          17     80.1048     76.4914     1.05302
          18     82.7517     76.8392     1.05039
          19     72.1106     76.5903     1.02416
          20     81.3102     76.8263    0.999774
