#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.408369    0.408369           0
           2    0.426594    0.417482  0.00644328
           3    0.388788    0.407917  0.00891279
           4    0.406719    0.407618  0.00668962
           5    0.417192    0.409532  0.00561909
           6    0.409706    0.409561  0.00468265
           7    0.397006    0.407768  0.00434366
           8    0.399056    0.406679  0.00393484
           9    0.386509    0.404438   0.0040863
          10    0.379761     0.40197  0.00435958
          11    0.372134    0.399258   0.0047324
          12    0.410318    0.400179  0.00442689
          13     0.35827    0.396956  0.00512754
          14    0.400973    0.397243  0.00476931
          15    0.386749    0.396543  0.00450237
          16    0.396304    0.396528  0.00422099
          17    0.406998    0.397144  0.00401738
          18    0.394759    0.397011  0.00379638
          19    0.391266    0.396709  0.00360859
          20    0.365254    0.395136  0.00375529
