#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.946888   -0.946888           0
           2   -0.951596   -0.949242  0.00166453
           3   -0.952464   -0.950316  0.00141435
           4   -0.948908   -0.949964   0.0011037
           5    -0.95026   -0.950023 0.000884543
           6   -0.953752   -0.950645 0.000930159
           7   -0.960184   -0.952007  0.00149247
           8    -0.95018   -0.951779  0.00132328
           9   -0.956772   -0.952334   0.0012873
          10    -0.95978   -0.953078  0.00135694
          11   -0.952748   -0.953048  0.00123392
          12   -0.954388    -0.95316  0.00113613
          13   -0.966608   -0.954194  0.00144487
          14   -0.946988    -0.95368  0.00143042
          15   -0.959196   -0.954047  0.00138152
          16   -0.958688   -0.954337  0.00132527
          17   -0.956944   -0.954491  0.00125615
          18   -0.959568   -0.954773  0.00121762
          19   -0.954104   -0.954738  0.00115405
          20   -0.962148   -0.955108  0.00115429
