#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.1349     15.1349           0
           2     13.8764     14.5057    0.444958
           3       15.44     14.8171    0.390714
           4     14.3791     14.7076    0.307999
           5     14.7642     14.7189    0.246608
           6     16.7193     15.0523    0.367234
           7     14.2932     14.9439    0.330397
           8     15.2108     14.9772    0.290777
           9     15.8149     15.0703    0.272959
          10     14.3895     15.0022    0.254011
          11     14.8448     14.9879    0.231322
          12      14.645     14.9593    0.213803
          13     14.6457     14.9352    0.198713
          14      13.575     14.8381    0.206912
          15     14.9941     14.8485     0.19338
          16     16.0655     14.9245    0.195683
          17     18.1476     15.1141    0.260289
          18     13.4289     15.0205    0.262127
          19     16.5252     15.0997    0.260019
          20     13.9495     15.0422    0.253299
