#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.369378    0.369378           0
           2    0.367643    0.368511 0.000613685
           3    0.371702    0.369574 0.000960021
           4     0.37555    0.371068  0.00148059
           5    0.375236    0.371902  0.00139963
           6    0.378064    0.372929  0.00149648
           7    0.369317    0.372413  0.00136874
           8    0.374041    0.372616  0.00121269
           9    0.376197    0.373014  0.00114134
          10     0.37101    0.372814  0.00104467
          11    0.371978    0.372738 0.000952455
          12    0.356433    0.371379  0.00156674
          13    0.374607    0.371627  0.00146576
          14      0.3753     0.37189  0.00138434
          15    0.369527    0.371732  0.00130098
          16    0.371089    0.371692  0.00122029
          17    0.373839    0.371818  0.00115502
          18    0.367081    0.371555  0.00112044
          19    0.373718    0.371669  0.00106723
          20    0.371314    0.371651  0.00101402
