#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.062834    0.062834           0
           2    0.070966      0.0669   0.0028751
           3    0.058416    0.064072  0.00300093
           4    0.054242   0.0616145   0.0030976
           5     0.05779   0.0608496  0.00257078
           6    0.052262   0.0594183  0.00250931
           7    0.064302    0.060116  0.00224573
           8    0.069606   0.0613023  0.00225667
           9    0.070166   0.0622871  0.00221042
          10    0.048458   0.0609042  0.00238303
          11    0.054238   0.0602982  0.00224212
          12    0.059936    0.060268  0.00205548
          13     0.06657   0.0607528  0.00195369
          14     0.07305   0.0616311  0.00200189
          15    0.055886   0.0612481  0.00190472
          16    0.063232   0.0613721   0.0017897
          17    0.057902    0.061168  0.00169603
          18    0.062664   0.0612511  0.00160384
          19    0.062246   0.0613035  0.00152028
          20    0.058768   0.0611767  0.00144954
