#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.056824    0.056824           0
           2    0.064366    0.060595   0.0026665
           3    0.051696   0.0576287  0.00300436
           4     0.04996   0.0557115  0.00279891
           5     0.04922   0.0544132  0.00252233
           6     0.04942    0.053581  0.00223501
           7    0.051242   0.0532469  0.00194054
           8    0.064636   0.0546705   0.0021579
           9     0.06955   0.0563238  0.00247161
          10    0.042932   0.0549846  0.00256169
          11    0.049376   0.0544747  0.00237901
          12    0.056236   0.0546215  0.00218528
          13    0.061436   0.0551457   0.0020791
          14    0.063584   0.0557484  0.00201607
          15     0.05441   0.0556592  0.00188364
          16    0.058898   0.0558616  0.00177675
          17    0.058432   0.0560128  0.00167866
          18    0.059486   0.0562058  0.00159645
          19    0.058796   0.0563421  0.00151824
          20    0.050884   0.0560692  0.00146665
