#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.505464   -0.505464           0
           2   -0.502224   -0.503844  0.00114551
           3   -0.506352    -0.50468  0.00102427
           4    -0.50532    -0.50484   0.0007806
           5   -0.505888    -0.50505 0.000652013
           6   -0.503988   -0.504873 0.000566843
           7   -0.504976   -0.504887 0.000486057
           8   -0.504752   -0.504871 0.000425595
           9   -0.503716   -0.504742 0.000397168
          10   -0.503464   -0.504614  0.00037746
          11   -0.503444   -0.504508 0.000357828
          12   -0.505796   -0.504615  0.00034373
          13   -0.506188   -0.504736 0.000337907
          14   -0.501672   -0.504517 0.000378072
          15   -0.504164   -0.504494 0.000353601
          16   -0.504792   -0.504513 0.000331991
          17   -0.504704   -0.504524 0.000312653
          18   -0.504476   -0.504521 0.000295295
          19   -0.504852   -0.504539 0.000280266
          20   -0.502556   -0.504439 0.000283241
