#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.3681      1.3681           0
           2     1.33785     1.35298    0.010695
           3     1.35269     1.35288  0.00713044
           4     1.29975      1.3396   0.0126852
           5     1.34611      1.3409   0.0102147
           6     1.35962     1.34402   0.0089761
           7     1.34149     1.34366  0.00770108
           8     1.35806     1.34546  0.00694553
           9     1.35774     1.34682  0.00630651
          10     1.33044     1.34519  0.00588488
          11     1.40163     1.35032   0.0072496
          12     1.33821     1.34931  0.00671534
          13     1.34481     1.34896  0.00620768
          14     1.32631     1.34734  0.00597133
          15     1.33258     1.34636  0.00565377
          16     1.40025     1.34973   0.0062234
          17     1.38552     1.35183  0.00620317
          18     1.30802      1.3494  0.00631803
          19     1.37319     1.35065  0.00610828
          20     1.34021     1.35013  0.00582514
