#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.5043      0.5043           0
           2    0.438172    0.471236   0.0233798
           3     0.49737    0.479947   0.0171328
           4    0.473104    0.478237   0.0129347
           5      0.4827    0.479129   0.0103785
           6    0.483792    0.479906  0.00867781
           7    0.478244    0.479669  0.00744137
           8    0.419072    0.472094  0.00962282
           9    0.407734    0.464943   0.0108913
          10     0.42617    0.461066   0.0104696
          11    0.422594    0.457568   0.0100851
          12    0.444416    0.456472  0.00930405
          13    0.440492    0.455243  0.00866918
          14    0.408098    0.451876  0.00867939
          15    0.358036     0.44562    0.010107
          16     0.40105    0.442834  0.00985166
          17      0.4546    0.443526  0.00929643
          18    0.457944    0.444327   0.0088144
          19     0.45092    0.444674  0.00835732
          20    0.488884    0.446885  0.00822659
