#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.371198    0.371198           0
           2    0.372453    0.371826 0.000443692
           3    0.369848    0.371167 0.000614097
           4    0.357469    0.367742  0.00300118
           5    0.363469    0.366887  0.00251971
           6    0.360132    0.365762  0.00233782
           7    0.365956    0.365789  0.00200401
           8    0.364863    0.365674  0.00175685
           9    0.376131    0.366835  0.00190754
          10    0.366498    0.366802  0.00171708
          11    0.374412    0.367494  0.00169463
          12    0.365779    0.367351  0.00155943
          13    0.374844    0.367927  0.00154231
          14    0.357822    0.367205  0.00159212
          15    0.375533     0.36776  0.00157981
          16    0.371389    0.367987  0.00149727
          17    0.365628    0.367848  0.00141561
          18    0.369833    0.367959  0.00134125
          19    0.372347     0.36819   0.0012904
          20    0.371398     0.36835  0.00123581
