#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      4.0026      4.0026           0
           2     4.14585     4.07423   0.0506436
           3     4.01596      4.0548   0.0373009
           4     3.84564     4.00251     0.05323
           5     3.94276     3.99056    0.043905
           6      3.9516     3.98407   0.0370645
           7     4.10164     4.00086   0.0353709
           8     3.92954     3.99195   0.0320534
           9     4.05457     3.99891   0.0292374
          10     4.07255     4.00627   0.0272254
          11     3.99896     4.00561   0.0247585
          12     3.89258     3.99619   0.0244214
          13     4.06566     4.00153   0.0231202
          14     3.84759     3.99054   0.0239412
          15     3.82886     3.97976   0.0246522
          16     3.94609     3.97765   0.0232011
          17     4.05987     3.98249   0.0223347
          18     3.85856      3.9756   0.0221296
          19     4.04122     3.97906   0.0212326
          20     4.03131     3.98167   0.0203311
