#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.665888   -0.665888           0
           2   -0.663884   -0.664886 0.000708521
           3   -0.664908   -0.664893 0.000472385
           4   -0.664004   -0.664671  0.00040323
           5   -0.664512   -0.664639 0.000323836
           6   -0.663548   -0.664457 0.000316842
           7    -0.66562   -0.664623 0.000312093
           8   -0.663384   -0.664469 0.000309153
           9   -0.662748   -0.664277 0.000328635
          10     -0.6658    -0.66443 0.000329161
          11     -0.6641     -0.6644 0.000300598
          12   -0.664872   -0.664439 0.000278114
          13   -0.666212   -0.664575 0.000288228
          14   -0.662024   -0.664393 0.000320111
          15   -0.664116   -0.664375 0.000299303
          16   -0.663132   -0.664297 0.000290499
          17   -0.664936   -0.664335 0.000275832
          18   -0.663872   -0.664309 0.000261702
          19    -0.66476   -0.664333 0.000249003
          20    -0.66308    -0.66427 0.000244303
