#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.647352   -0.647352           0
           2   -0.645108    -0.64623 0.000793374
           3   -0.645808   -0.646089 0.000541242
           4   -0.646652    -0.64623 0.000423817
           5   -0.647004   -0.646385 0.000366235
           6   -0.645872   -0.646299  0.00031501
           7     -0.6492   -0.646714 0.000469133
           8   -0.646052   -0.646631  0.00041772
           9   -0.644648   -0.646411 0.000425466
          10   -0.647308     -0.6465 0.000392268
          11   -0.646976   -0.646544 0.000358982
          12   -0.646164   -0.646512 0.000330458
          13     -0.6472   -0.646565 0.000309247
          14   -0.645132   -0.646463 0.000303623
          15   -0.646048   -0.646435 0.000284637
          16   -0.645208   -0.646358 0.000276984
          17   -0.646968   -0.646394 0.000263003
          18   -0.648252   -0.646497 0.000267881
          19   -0.646404   -0.646492 0.000253827
          20   -0.644044    -0.64637 0.000269043
