#   N_BLOCK:  ACCEPTANCE:
           1    0.400282
           2    0.401641
           3    0.401678
           4    0.401722
           5    0.401921
           6    0.402355
           7    0.402266
           8    0.402315
           9    0.402405
          10    0.402299
          11    0.402424
          12    0.402454
          13    0.402391
          14    0.402388
          15    0.402423
          16    0.402442
          17    0.402516
          18    0.402475
          19    0.402479
          20    0.402508
