#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.249603    0.249603           0
           2     0.24934    0.249471 9.28218e-05
           3    0.245068    0.248004  0.00120003
           4    0.245391    0.247351  0.00106296
           5     0.24781    0.247443 0.000854334
           6    0.248836    0.247675 0.000742854
           7     0.24423    0.247183 0.000782936
           8    0.251851    0.247766  0.00087594
           9    0.245437    0.247507 0.000815966
          10    0.246535     0.24741 0.000740144
          11    0.248173     0.24748   0.0006761
          12    0.256767    0.248253 0.000966025
          13    0.250057    0.248392 0.000901624
          14    0.251478    0.248613 0.000863742
          15     0.25003    0.248707 0.000811308
          16    0.247175    0.248611 0.000766231
          17    0.245136    0.248407 0.000747937
          18    0.246927    0.248325 0.000710891
          19    0.247959    0.248305 0.000673737
          20     0.24948    0.248364 0.000642606
