#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.90859     1.90859           0
           2     1.87082      1.8897   0.0133543
           3     1.89652     1.89198  0.00909433
           4     1.90722     1.89579  0.00757766
           5     1.89108     1.89485   0.0061204
           6     1.84098     1.88587  0.00965333
           7     1.86537     1.88294    0.008707
           8     1.90644     1.88588  0.00809902
           9     1.88473     1.88575  0.00720012
          10     1.87724      1.8849  0.00653021
          11     1.92278     1.88834  0.00678403
          12     1.88397     1.88798  0.00622848
          13     1.89977     1.88889  0.00581506
          14      1.9469     1.89303  0.00671585
          15     1.89329     1.89305  0.00626815
          16     1.89003     1.89286  0.00587924
          17     1.89589     1.89304  0.00553611
          18     1.90906     1.89393  0.00529964
          19     1.95543     1.89716  0.00592732
          20     1.91656     1.89813  0.00570972
