#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.041574    0.041574           0
           2    0.034538    0.038056   0.0024876
           3     0.04406   0.0400573   0.0023282
           4    0.044002   0.0410435  0.00194382
           5    0.038252   0.0404852  0.00163327
           6     0.04067    0.040516  0.00136135
           7     0.04098   0.0405823  0.00116848
           8    0.040852    0.040616  0.00102291
           9    0.042134   0.0407847 0.000923051
          10    0.030684   0.0397746  0.00126821
          11     0.03771   0.0395869  0.00116672
          12    0.030264     0.03881  0.00130273
          13    0.044494   0.0392472  0.00127378
          14    0.039316   0.0392521  0.00118281
          15    0.040628   0.0393439   0.0011075
          16    0.034204   0.0390226  0.00108387
          17    0.033922   0.0387226  0.00106083
          18    0.037452    0.038652  0.00100424
          19    0.040784   0.0387642 0.000957637
          20    0.032822   0.0384671 0.000954733
