#   N_BLOCK:  ACCEPTANCE:
           1    0.501675
           2    0.502814
           3     0.50263
           4    0.502235
           5    0.502329
           6    0.502306
           7    0.502093
           8    0.502108
           9    0.502065
          10    0.502065
          11    0.502103
          12    0.502177
          13    0.502206
          14    0.502281
          15    0.502275
          16    0.502182
          17    0.502165
          18    0.502151
          19    0.502018
          20    0.502081
