#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        3.06        3.06           0
           2     3.05989     3.05994 3.89358e-05
           3     3.05956     3.05982 0.000107969
           4     3.05901     3.05961 0.000192441
           5     3.05824     3.05934 0.000290104
           6     3.05725     3.05899  0.00039957
           7     3.05603     3.05857  0.00051993
           8     3.05459     3.05807 0.000650573
           9     3.05292      3.0575 0.000791088
          10     3.05101     3.05685 0.000941211
          11     3.04886     3.05612  0.00110079
          12     3.04646     3.05532  0.00126975
          13     3.04381     3.05443  0.00144805
          14      3.0409     3.05347   0.0016357
          15     3.03772     3.05242  0.00183282
          16     3.03426     3.05128  0.00203959
          17     3.03051     3.05006  0.00225614
          18     3.02646     3.04875  0.00248266
          19      3.0221     3.04735  0.00271943
          20     3.01742     3.04585   0.0029668
          21     3.01239     3.04426  0.00322513
          22     3.00701     3.04256  0.00349477
          23     3.00126     3.04077  0.00377612
          24     2.99513     3.03887  0.00406961
          25     2.98859     3.03686  0.00437568
          26     2.98162     3.03473  0.00469479
          27     2.97422     3.03249  0.00502741
          28     2.96636     3.03013  0.00537405
          29     2.95802     3.02764  0.00573521
          30     2.94918     3.02503  0.00611137
          31     2.93982     3.02228  0.00650306
          32     2.92991     3.01939  0.00691081
          33     2.91944     3.01636   0.0073352
          34     2.90837     3.01319  0.00777679
          35     2.89669     3.00986  0.00823618
          36     2.88436     3.00637  0.00871392
          37     2.87138     3.00272  0.00921054
          38     2.85772     2.99891  0.00972654
          39     2.84335     2.99492   0.0102624
          40     2.82827     2.99075   0.0108185
          41     2.81244      2.9864   0.0113954
          42     2.79584     2.98187   0.0119934
          43     2.77847     2.97714   0.0126127
          44     2.76032     2.97221   0.0132538
          45     2.74136     2.96708   0.0139167
          46      2.7216     2.96174   0.0146015
          47     2.70102     2.95619   0.0153084
          48     2.67963     2.95043   0.0160371
          49     2.65745     2.94445   0.0167876
          50     2.63447     2.93825   0.0175593
          51     2.61072     2.93183   0.0183519
          52     2.58621     2.92519   0.0191649
          53     2.56097     2.91831   0.0199974
          54     2.53504     2.91122   0.0208486
          55     2.50846     2.90389   0.0217175
          56     2.48127     2.89635    0.022603
          57     2.45351     2.88858   0.0235037
          58     2.42525     2.88059   0.0244183
          59     2.39655     2.87238   0.0253452
          60     2.36746     2.86397   0.0262828
          61     2.33805     2.85535   0.0272293
          62     2.30839     2.84653   0.0281831
          63     2.27854     2.83751   0.0291421
          64     2.24859     2.82831   0.0301045
          65     2.21859     2.81893   0.0310684
          66     2.18862     2.80938   0.0320318
          67     2.15875     2.79967   0.0329929
          68     2.12905      2.7898   0.0339497
          69     2.09957      2.7798   0.0349003
          70     2.07038     2.76967    0.035843
          71     2.04155     2.75941    0.036776
          72     2.01313     2.74905   0.0376976
          73     1.98519     2.73858   0.0386061
          74     1.95777     2.72803   0.0395001
          75     1.93093      2.7174   0.0403779
          76     1.90473     2.70671   0.0412382
          77     1.87923     2.69596   0.0420796
          78     1.85446     2.68517   0.0429008
          79     1.83049     2.67436   0.0437006
          80     1.80737     2.66352   0.0444779
          81     1.78513     2.65267   0.0452314
          82     1.76385     2.64184   0.0459602
          83     1.74355     2.63101   0.0466634
          84     1.72428     2.62022   0.0473399
          85      1.7061     2.60946    0.047989
          86     1.68903     2.59876   0.0486098
          87     1.67313     2.58812   0.0492017
          88     1.65841     2.57756   0.0497639
          89      1.6449     2.56708    0.050296
          90     1.63264     2.55669   0.0507975
          91     1.62163     2.54642   0.0512681
          92     1.61188     2.53626   0.0517073
          93     1.60339     2.52623   0.0521152
          94     1.59616     2.51634   0.0524917
          95     1.59015     2.50659   0.0528367
