#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        1.65        1.65           0
           2     1.64994     1.64997 2.10089e-05
           3     1.64976      1.6499 5.82563e-05
           4     1.64947     1.64979 0.000103812
           5     1.64905     1.64964 0.000156425
           6     1.64852     1.64946 0.000215294
           7     1.64787     1.64923 0.000279872
           8     1.64709     1.64896 0.000349763
           9      1.6462     1.64866 0.000424675
          10     1.64519     1.64831 0.000504384
          11     1.64405     1.64792 0.000588724
          12     1.64279     1.64749 0.000677569
          13      1.6414     1.64702 0.000770825
          14     1.63988     1.64651 0.000868429
          15     1.63823     1.64596 0.000970338
          16     1.63645     1.64537  0.00107653
          17     1.63453     1.64473    0.001187
          18     1.63248     1.64405  0.00130173
          19     1.63028     1.64332  0.00142072
          20     1.62794     1.64255  0.00154398
          21     1.62545     1.64174  0.00167161
          22     1.62281     1.64088  0.00180359
          23     1.62001     1.63997  0.00193997
          24     1.61706     1.63902  0.00208082
          25     1.61395     1.63801   0.0022262
          26     1.61066     1.63696  0.00237621
          27      1.6072     1.63586  0.00253096
          28     1.60357     1.63471  0.00269053
          29     1.59975      1.6335  0.00285503
          30     1.59575     1.63224  0.00302456
          31     1.59155     1.63093  0.00319923
          32     1.58715     1.62956  0.00337915
          33     1.58255     1.62814  0.00356442
          34     1.57774     1.62666  0.00375516
          35     1.57272     1.62511  0.00395148
          36     1.56747     1.62351  0.00415349
          37       1.562     1.62185  0.00436133
          38     1.55629     1.62013  0.00457509
          39     1.55034     1.61834  0.00479491
          40     1.54416     1.61648  0.00502087
          41     1.53772     1.61456  0.00525305
          42     1.53103     1.61257  0.00549157
          43     1.52408     1.61051  0.00573654
          44     1.51686     1.60839  0.00598804
          45     1.50937     1.60618  0.00624618
          46      1.5016     1.60391  0.00651104
          47     1.49355     1.60156  0.00678269
          48     1.48522     1.59914  0.00706122
          49     1.47659     1.59664  0.00734667
          50     1.46768     1.59406  0.00763907
          51     1.45847      1.5914  0.00793843
          52     1.44897     1.58866  0.00824477
          53     1.43918     1.58584  0.00855805
          54     1.42909     1.58294  0.00887826
          55      1.4187     1.57995  0.00920533
          56     1.40802     1.57688  0.00953919
          57     1.39706     1.57373  0.00987976
          58      1.3858     1.57049   0.0102269
          59     1.37427     1.56716   0.0105805
          60     1.36247     1.56375   0.0109404
          61      1.3504     1.56025   0.0113063
          62     1.33807     1.55667   0.0116781
          63     1.32549       1.553   0.0120554
          64     1.31268     1.54924   0.0124381
          65     1.29964      1.5454   0.0128259
          66      1.2864     1.54148   0.0132183
          67     1.27296     1.53747    0.013615
          68     1.25935     1.53338   0.0140157
          69     1.24558     1.52921   0.0144198
          70     1.23167     1.52496   0.0148271
          71     1.21765     1.52063   0.0152369
          72     1.20352     1.51623   0.0156489
          73     1.18931     1.51175   0.0160626
          74     1.17505      1.5072   0.0164773
          75     1.16076     1.50258   0.0168927
          76     1.14645     1.49789   0.0173081
          77     1.13216     1.49314   0.0177231
          78      1.1179     1.48833   0.0181371
          79     1.10369     1.48346   0.0185495
          80     1.08957     1.47854   0.0189599
          81     1.07554     1.47357   0.0193676
          82     1.06163     1.46854   0.0197722
          83     1.04787     1.46347   0.0201731
          84     1.03427     1.45836   0.0205699
          85     1.02085     1.45322    0.020962
          86     1.00762     1.44804    0.021349
          87     0.99462     1.44282   0.0217304
          88     0.98185     1.43759   0.0221059
          89    0.969333     1.43232   0.0224749
          90    0.957085     1.42704    0.022837
          91    0.945121     1.42175    0.023192
          92    0.933454     1.41644   0.0235394
          93    0.922098     1.41112   0.0238789
          94    0.911066     1.40581   0.0242102
          95     0.90037     1.40048    0.024533
          96    0.890023     1.39517    0.024847
          97    0.880034     1.38986    0.025152
          98    0.870415     1.38456   0.0254477
          99    0.861173     1.37927   0.0257339
         100     0.85232       1.374   0.0260105
         101    0.843862     1.36875   0.0262773
         102    0.835807     1.36353    0.026534
         103    0.828163     1.35833   0.0267806
         104    0.820936     1.35316    0.027017
         105    0.814131     1.34803   0.0272431
         106    0.807751     1.34293   0.0274588
         107    0.801799     1.33787   0.0276639
         108    0.796279     1.33286   0.0278586
         109    0.791191     1.32789   0.0280427
         110    0.786534     1.32297   0.0282163
         111    0.782307      1.3181   0.0283794
         112    0.778507     1.31328   0.0285321
         113     0.77513     1.30852   0.0286743
         114    0.772169     1.30381   0.0288061
         115    0.769616     1.29917   0.0289277
         116    0.767464     1.29458   0.0290392
         117    0.765704     1.29006   0.0291407
         118    0.764323     1.28561   0.0292324
         119    0.763307     1.28122   0.0293144
         120    0.762642      1.2769   0.0293869
         121    0.762313     1.27264   0.0294502
         122    0.762304     1.26846   0.0295044
         123    0.762596     1.26435   0.0295497
         124    0.763171     1.26031   0.0295866
         125    0.764011     1.25634   0.0296151
         126    0.765094     1.25244   0.0296355
         127    0.766401     1.24861   0.0296483
         128    0.767911     1.24485   0.0296535
         129    0.769603     1.24117   0.0296516
         130    0.771456     1.23756   0.0296429
         131    0.773451     1.23401   0.0296275
         132    0.775567     1.23054    0.029606
