#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1           0
           3         1.1         1.1           0
           4         1.1         1.1           0
           5         1.1         1.1           0
           6         1.1         1.1           0
           7         1.1         1.1 5.63211e-09
           8         1.1         1.1 5.26836e-09
           9         1.1         1.1 4.96705e-09
          10         1.1         1.1 9.42432e-09
          11         1.1         1.1 8.98574e-09
          12         1.1         1.1 8.60319e-09
          13         1.1         1.1 8.26568e-09
          14         1.1         1.1 7.96501e-09
          15         1.1         1.1   6.664e-09
          16         1.1         1.1 6.45239e-09
          17         1.1         1.1 6.25974e-09
          18         1.1         1.1           0
          19         1.1         1.1           0
          20         1.1         1.1           0
          21         1.1         1.1           0
          22         1.1         1.1 5.50262e-09
          23         1.1         1.1 6.21421e-09
          24         1.1         1.1 6.08337e-09
          25         1.1         1.1 5.96046e-09
          26         1.1         1.1 5.84472e-09
          27         1.1         1.1 4.96705e-09
          28         1.1         1.1  6.8979e-09
          29         1.1         1.1 6.77792e-09
          30         1.1         1.1   6.664e-09
          31         1.1         1.1 6.55564e-09
          32         1.1         1.1 6.45239e-09
          33         1.1         1.1 6.35388e-09
          34         1.1         1.1 6.25974e-09
          35         1.1         1.1 6.16967e-09
          36         1.1         1.1 6.08337e-09
          37         1.1         1.1  6.0006e-09
          38         1.1         1.1 5.92112e-09
          39         1.1         1.1 7.15829e-09
          40         1.1         1.1 7.06824e-09
          41         1.1         1.1 6.98151e-09
          42         1.1         1.1  6.8979e-09
          43         1.1         1.1 6.81722e-09
          44         1.1         1.1  6.7393e-09
          45         1.1         1.1   6.664e-09
          46         1.1         1.1 6.59117e-09
          47         1.1         1.1 6.52067e-09
          48         1.1         1.1 6.45239e-09
          49         1.1         1.1 6.38621e-09
          50         1.1         1.1 6.32203e-09
          51         1.1         1.1 6.25974e-09
          52         1.1         1.1 6.19926e-09
          53         1.1         1.1  6.1405e-09
          54         1.1         1.1 6.08337e-09
          55         1.1         1.1 5.68308e-09
          56         1.1         1.1 5.63211e-09
          57         1.1         1.1 5.22194e-09
          58         1.1         1.1 5.17673e-09
          59         1.1         1.1 4.75193e-09
          60         1.1         1.1 4.71216e-09
          61         1.1         1.1 3.30458e-09
          62         1.1         1.1 3.27782e-09
          63         1.1         1.1           0
          64         1.1         1.1           0
          65         1.1         1.1           0
          66         1.1         1.1 3.66841e-09
          67         1.1         1.1 3.64093e-09
          68         1.1         1.1  4.4263e-09
          69         1.1         1.1 4.74618e-09
          70         1.1         1.1 4.71216e-09
          71         1.1         1.1 5.30533e-09
          72         1.1         1.1 5.55333e-09
          73         1.1         1.1 5.51517e-09
          74         1.1         1.1  6.0006e-09
          75         1.1         1.1 6.20385e-09
          76         1.1         1.1  6.1629e-09
          77         1.1         1.1 6.57689e-09
          78         1.1         1.1 6.53459e-09
          79         1.1         1.1 6.70605e-09
          80         1.1         1.1 7.26193e-09
          81         1.1         1.1 7.21696e-09
          82         1.1         1.1 7.17282e-09
          83         1.1         1.1 7.31469e-09
          84         1.1         1.1 7.62591e-09
          85         1.1         1.1 7.58092e-09
          86         1.1         1.1 7.53672e-09
          87         1.1         1.1 7.66169e-09
          88         1.1         1.1 7.94235e-09
          89         1.1         1.1  7.8976e-09
          90         1.1         1.1  7.8536e-09
          91         1.1         1.1 7.81033e-09
          92         1.1         1.1 8.22063e-09
          93         1.1         1.1 8.17632e-09
          94         1.1         1.1 8.13271e-09
          95         1.1         1.1 8.08979e-09
          96         1.1         1.1 8.04755e-09
          97         1.1         1.1 8.42394e-09
          98         1.1         1.1 8.38085e-09
          99         1.1         1.1 8.33841e-09
         100         1.1         1.1 8.29662e-09
