       BLOCK    DISTANCE ACTUAL_GOFR    AVE_GOFR       ERROR
           1   0.0128248           0           0           0
           1   0.0384745           0           0           0
           1   0.0641241           0           0           0
           1   0.0897737           0           0           0
           1    0.115423           0           0           0
           1    0.141073           0           0           0
           1    0.166723           0           0           0
           1    0.192372           0           0           0
           1    0.218022           0           0           0
           1    0.243672           0           0           0
           1    0.269321           0           0           0
           1    0.294971           0           0           0
           1     0.32062           0           0           0
           1     0.34627           0           0           0
           1     0.37192           0           0           0
           1    0.397569           0           0           0
           1    0.423219           0           0           0
           1    0.448869           0           0           0
           1    0.474518           0           0           0
           1    0.500168           0           0           0
           1    0.525818           0           0           0
           1    0.551467           0           0           0
           1    0.577117           0           0           0
           1    0.602767           0           0           0
           1    0.628416           0           0           0
           1    0.654066           0           0           0
           1    0.679715           0           0           0
           1    0.705365           0           0           0
           1    0.731015           0           0           0
           1    0.756664           0           0           0
           1    0.782314           0           0           0
           1    0.807964           0           0           0
           1    0.833613           0           0           0
           1    0.859263           0           0           0
           1    0.884913  0.00227429  0.00227429           0
           1    0.910562   0.0248403   0.0248403           0
           1    0.936212    0.158291    0.158291           0
           1    0.961861    0.557871    0.557871           0
           1    0.987511     1.20355     1.20355           0
           1     1.01316     1.85238     1.85238           0
           1     1.03881     2.34807     2.34807           0
           1     1.06446     2.57079     2.57079           0
           1     1.09011     2.58055     2.58055           0
           1     1.11576     2.38132     2.38132           0
           1     1.14141     2.16215     2.16215           0
           1     1.16706     1.96247     1.96247           0
           1     1.19271     1.72026     1.72026           0
           1     1.21836     1.54187     1.54187           0
           1     1.24401     1.40868     1.40868           0
           1     1.26966     1.24145     1.24145           0
           1     1.29531     1.12643     1.12643           0
           1     1.32096     1.03397     1.03397           0
           1     1.34661    0.934748    0.934748           0
           1     1.37226    0.856846    0.856846           0
           1     1.39791    0.808552    0.808552           0
           1     1.42355    0.769004    0.769004           0
           1      1.4492    0.729352    0.729352           0
           1     1.47485    0.715766    0.715766           0
           1      1.5005    0.704557    0.704557           0
           1     1.52615    0.684417    0.684417           0
           1      1.5518    0.694521    0.694521           0
           1     1.57745    0.689447    0.689447           0
           1      1.6031    0.707768    0.707768           0
           1     1.62875    0.679425    0.679425           0
           1      1.6544    0.715102    0.715102           0
           1     1.68005    0.729848    0.729848           0
           1      1.7057    0.743341    0.743341           0
           1     1.73135    0.769851    0.769851           0
           1       1.757    0.812433    0.812433           0
           1     1.78265    0.835758    0.835758           0
           1      1.8083    0.901173    0.901173           0
           1     1.83395     0.94637     0.94637           0
           1      1.8596    0.976831    0.976831           0
           1     1.88525     1.00193     1.00193           0
           1      1.9109     1.04393     1.04393           0
           1     1.93655     1.08735     1.08735           0
           1      1.9622     1.10904     1.10904           0
           1     1.98785      1.1424      1.1424           0
           1      2.0135      1.1828      1.1828           0
           1     2.03915     1.22118     1.22118           0
           1      2.0648     1.22163     1.22163           0
           1     2.09045     1.23827     1.23827           0
           1      2.1161     1.22418     1.22418           0
           1     2.14174     1.20123     1.20123           0
           1     2.16739     1.17791     1.17791           0
           1     2.19304     1.16602     1.16602           0
           1     2.21869     1.11855     1.11855           0
           1     2.24434     1.08962     1.08962           0
           1     2.26999     1.06266     1.06266           0
           1     2.29564     1.04487     1.04487           0
           1     2.32129     1.01575     1.01575           0
           1     2.34694     0.97541     0.97541           0
           1     2.37259    0.956677    0.956677           0
           1     2.39824    0.937782    0.937782           0
           1     2.42389    0.921188    0.921188           0
           1     2.44954    0.911089    0.911089           0
           1     2.47519    0.900726    0.900726           0
           1     2.50084    0.893097    0.893097           0
           1     2.52649    0.888934    0.888934           0
           1     2.55214    0.895091    0.895091           0
           2   0.0128248           0           0           0
           2   0.0384745           0           0           0
           2   0.0641241           0           0           0
           2   0.0897737           0           0           0
           2    0.115423           0           0           0
           2    0.141073           0           0           0
           2    0.166723           0           0           0
           2    0.192372           0           0           0
           2    0.218022           0           0           0
           2    0.243672           0           0           0
           2    0.269321           0           0           0
           2    0.294971           0           0           0
           2     0.32062           0           0           0
           2     0.34627           0           0           0
           2     0.37192           0           0           0
           2    0.397569           0           0           0
           2    0.423219           0           0           0
           2    0.448869           0           0           0
           2    0.474518           0           0           0
           2    0.500168           0           0           0
           2    0.525818           0           0           0
           2    0.551467           0           0           0
           2    0.577117           0           0           0
           2    0.602767           0           0           0
           2    0.628416           0           0           0
           2    0.654066           0           0           0
           2    0.679715           0           0           0
           2    0.705365           0           0           0
           2    0.731015           0           0           0
           2    0.756664           0           0           0
           2    0.782314           0           0           0
           2    0.807964           0           0           0
           2    0.833613           0           0           0
           2    0.859263  0.00025288  0.00012644 8.94065e-05
           2    0.884913  0.00108212  0.00167821 0.000421495
           2    0.910562   0.0232293   0.0240348 0.000569567
           2    0.936212    0.176152    0.167222  0.00631482
           2    0.961861    0.580055    0.568963  0.00784317
           2    0.987511     1.22122     1.21239   0.0062486
           2     1.01316     1.85858     1.85548  0.00219146
           2     1.03881     2.28094      2.3145   0.0237351
           2     1.06446     2.53901      2.5549   0.0112353
           2     1.09011     2.51588     2.54822   0.0228657
           2     1.11576     2.37677     2.37904  0.00160711
           2     1.14141     2.21042     2.18628   0.0170681
           2     1.16706     1.99773      1.9801   0.0124673
           2     1.19271      1.7518     1.73603   0.0111516
           2     1.21836     1.57269     1.55728   0.0108991
           2     1.24401     1.42304     1.41586  0.00507949
           2     1.26966     1.27041     1.25593   0.0102378
           2     1.29531     1.13139     1.12891  0.00175238
           2     1.32096     1.03943      1.0367  0.00192945
           2     1.34661    0.981963    0.958355    0.016693
           2     1.37226    0.890445    0.873646   0.0118788
           2     1.39791    0.810147    0.809349   0.0005639
           2     1.42355    0.752207    0.760605  0.00593879
           2      1.4492     0.72808    0.728716  0.00044973
           2     1.47485    0.712716    0.714241  0.00107856
           2      1.5005    0.685534    0.695046  0.00672563
           2     1.52615    0.699889    0.692153  0.00547021
           2      1.5518    0.676801    0.685661  0.00626512
           2     1.57745    0.670913     0.68018  0.00655282
           2      1.6031    0.653103    0.680435   0.0193269
           2     1.62875    0.670416    0.674921  0.00318526
           2      1.6544    0.678116    0.696609   0.0130763
           2     1.68005    0.707957    0.718902  0.00773975
           2      1.7057    0.743568    0.743455 8.02886e-05
           2     1.73135    0.767987    0.768919 0.000658994
           2       1.757    0.800253    0.806343  0.00430654
           2     1.78265     0.82995    0.832854   0.0020534
           2      1.8083    0.873127     0.88715  0.00991569
           2     1.83395    0.938995    0.942682  0.00260748
           2      1.8596    0.966526    0.971678  0.00364327
           2     1.88525     1.02237     1.01215  0.00722535
           2      1.9109     1.06729     1.05561  0.00825788
