#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.63558     1.63558           0
           2     1.63762      1.6366 0.000723344
           3      1.6284     1.63387  0.00228217
           4     1.64764     1.63731  0.00343879
           5     1.63367     1.63658  0.00282717
           6     1.63756     1.63675  0.00236068
           7     1.63529     1.63654  0.00203258
           8     1.63205     1.63598  0.00185442
           9     1.64324     1.63678  0.00181528
          10     1.64604     1.63771  0.00185477
          11     1.63963     1.63788  0.00169431
          12     1.62821     1.63708  0.00173423
          13      1.6241     1.63608  0.00186625
          14      1.6431     1.63658  0.00179906
          15     1.64847     1.63737  0.00184539
          16     1.64107      1.6376  0.00174444
          17     1.63478     1.63744  0.00164969
          18     1.63611     1.63737  0.00155968
          19     1.64656     1.63785  0.00155087
          20     1.64101     1.63801  0.00148135
          21     1.65779     1.63895  0.00168404
          22     1.62639     1.63838  0.00170152
          23     1.63684     1.63831  0.00162885
          24     1.64369     1.63854  0.00157632
          25     1.63865     1.63854  0.00151327
          26      1.6392     1.63857  0.00145528
          27     1.64078     1.63865   0.0014037
          28     1.63244     1.63843  0.00137097
          29      1.6565     1.63905  0.00145849
          30     1.64933     1.63939  0.00144954
          31     1.64256     1.63949  0.00140637
          32     1.62679      1.6391  0.00141734
          33     1.63456     1.63896  0.00138105
          34     1.63652     1.63889   0.0013423
          35     1.64123     1.63895  0.00130562
          36     1.64792      1.6392   0.0012929
          37     1.63026     1.63896  0.00128033
          38     1.63946     1.63898   0.0012467
          39     1.63406     1.63885  0.00122109
          40     1.62816     1.63858  0.00121947
          41     1.65457     1.63897  0.00125053
          42     1.62442     1.63863  0.00126783
          43     1.63225     1.63848  0.00124699
          44      1.6183     1.63802  0.00130025
          45     1.64347     1.63814  0.00127697
          46     1.63919     1.63816  0.00124942
          47     1.64315     1.63827  0.00122733
          48     1.65281     1.63857  0.00123859
          49     1.63853     1.63857  0.00121331
          50     1.65136     1.63883  0.00121571
          51     1.64323     1.63891  0.00119494
          52     1.62346     1.63862  0.00120833
          53     1.61823     1.63823  0.00124525
          54     1.64361     1.63833  0.00122617
          55     1.61819     1.63796  0.00125736
          56     1.64701     1.63813  0.00124524
          57     1.64114     1.63818  0.00122451
          58      1.6432     1.63827  0.00120646
          59     1.64296     1.63834  0.00118863
          60     1.61965     1.63803  0.00120899
          61     1.62487     1.63782  0.00120828
          62     1.63691      1.6378  0.00118888
          63     1.63979     1.63783  0.00117043
          64     1.63735     1.63783  0.00115216
          65     1.63377     1.63776  0.00113613
          66     1.62949     1.63764  0.00112581
          67     1.63453     1.63759  0.00110996
          68     1.64166     1.63765  0.00109524
          69     1.64169     1.63771  0.00108093
          70     1.64229     1.63778  0.00106746
          71     1.63034     1.63767  0.00105756
          72     1.62771     1.63753  0.00105188
          73     1.64586     1.63765  0.00104363
          74     1.64066     1.63769  0.00103033
          75     1.62734     1.63755  0.00102579
          76     1.62542     1.63739  0.00102463
          77     1.63564     1.63737  0.00101158
          78     1.63859     1.63738 0.000998731
          79     1.64791     1.63752 0.000994932
          80     1.63849     1.63753  0.00098257
          81     1.64162     1.63758 0.000971736
          82     1.63413     1.63754 0.000960796
          83      1.6237     1.63737 0.000963583
          84     1.65412     1.63757 0.000972517
          85     1.65366     1.63776 0.000979334
          86     1.63624     1.63774 0.000968106
          87     1.64162     1.63779 0.000958006
          88     1.64378     1.63785 0.000949534
          89     1.64308     1.63791 0.000940679
          90     1.63771     1.63791  0.00093023
          91     1.64724     1.63801 0.000925646
          92     1.61936     1.63781 0.000937518
          93     1.63269     1.63776 0.000929052
          94     1.63208     1.63769 0.000921126
          95     1.62778     1.63759 0.000917329
          96     1.62173     1.63743 0.000922532
          97     1.63531      1.6374 0.000913279
          98      1.6452     1.63748 0.000907415
          99     1.62959      1.6374 0.000901741
         100     1.63563     1.63739 0.000892898
