#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45743    -5.45743           0
           2    -5.46052    -5.45898  0.00108911
           3    -5.45023    -5.45606  0.00248881
           4    -5.47027    -5.45961  0.00359859
           5    -5.45525    -5.45874  0.00298284
           6     -5.4591     -5.4588  0.00248629
           7    -5.45676    -5.45851  0.00214815
           8      -5.453    -5.45782  0.00198682
           9    -5.46448    -5.45856  0.00189896
          10    -5.46855    -5.45956  0.00195428
          11    -5.46073    -5.45966  0.00177951
          12    -5.44977    -5.45884  0.00181219
          13    -5.44555    -5.45782  0.00193967
          14    -5.46515    -5.45834  0.00187058
          15    -5.47071    -5.45917  0.00191902
          16    -5.46309    -5.45941  0.00181471
          17    -5.45661    -5.45925  0.00171544
          18    -5.45763    -5.45916  0.00162248
          19    -5.46934    -5.45969  0.00162313
          20    -5.46256    -5.45984  0.00154828
          21    -5.48104    -5.46085  0.00177347
          22     -5.4478    -5.46025  0.00178921
          23    -5.45906     -5.4602  0.00171217
          24    -5.46689    -5.46048  0.00166337
          25    -5.46058    -5.46048  0.00159684
          26    -5.46082     -5.4605  0.00153547
          27    -5.46321     -5.4606  0.00148188
          28    -5.45374    -5.46035  0.00144908
          29    -5.47853    -5.46098  0.00152872
          30    -5.47316    -5.46139  0.00153071
          31    -5.46428    -5.46148  0.00148417
          32     -5.4486    -5.46108  0.00149139
          33    -5.45535     -5.4609  0.00145625
          34    -5.45804    -5.46082  0.00141585
          35    -5.46341    -5.46089  0.00137733
          36    -5.46987    -5.46114  0.00136144
          37     -5.4519    -5.46089  0.00134736
          38    -5.46138    -5.46091  0.00131196
          39    -5.45596    -5.46078  0.00128443
          40    -5.45016    -5.46051  0.00127946
          41    -5.47702    -5.46092  0.00131005
          42    -5.44609    -5.46056  0.00132556
          43     -5.4537     -5.4604   0.0013043
          44    -5.43941    -5.45993   0.0013591
          45     -5.4654    -5.46005  0.00133434
          46    -5.46115    -5.46007  0.00130555
          47    -5.46532    -5.46018  0.00128254
          48    -5.47433    -5.46048  0.00128924
          49     -5.4599    -5.46047  0.00126298
          50    -5.47372    -5.46073  0.00126522
          51    -5.46514    -5.46082  0.00124336
          52    -5.44553    -5.46052  0.00125371
          53    -5.44015    -5.46014  0.00128761
          54    -5.46547    -5.46024  0.00126754
          55    -5.43918    -5.45986  0.00130103
          56    -5.46913    -5.46002   0.0012883
          57    -5.46282    -5.46007  0.00126664
          58    -5.46541    -5.46016  0.00124814
          59    -5.46571    -5.46026  0.00123052
          60     -5.4402    -5.45992  0.00125457
          61    -5.44594    -5.45969  0.00125478
          62    -5.45835    -5.45967  0.00123473
          63     -5.4621    -5.45971  0.00121573
          64    -5.45905     -5.4597  0.00119678
          65    -5.45539    -5.45963   0.0011802
          66    -5.45107     -5.4595  0.00116944
          67     -5.4561    -5.45945  0.00115308
          68    -5.46277     -5.4595  0.00113716
          69    -5.46406    -5.45957  0.00112259
          70    -5.46289    -5.45961  0.00110756
          71    -5.45199    -5.45951  0.00109715
          72    -5.44959    -5.45937  0.00109052
          73    -5.46857     -5.4595  0.00108283
          74    -5.46223    -5.45953  0.00106883
          75    -5.44889    -5.45939  0.00106395
          76    -5.44785    -5.45924  0.00106074
          77    -5.45689    -5.45921   0.0010474
          78    -5.45981    -5.45922    0.001034
          79    -5.46918    -5.45934  0.00102858
          80    -5.45932    -5.45934  0.00101572
          81    -5.46231    -5.45938  0.00100385
          82    -5.45479    -5.45932 0.000993162
          83    -5.44556    -5.45916 0.000994933
          84    -5.47615    -5.45936  0.00100345
          85     -5.4759    -5.45955  0.00101034
          86    -5.45701    -5.45952 0.000999029
          87    -5.46281    -5.45956  0.00098826
          88    -5.46484    -5.45962 0.000978849
          89    -5.46497    -5.45968 0.000969692
          90    -5.45913    -5.45968 0.000958937
          91    -5.46933    -5.45978 0.000954254
          92    -5.44061    -5.45957 0.000966361
          93    -5.45445    -5.45952 0.000957537
          94     -5.4532    -5.45945 0.000949708
          95    -5.44856    -5.45934 0.000946602
          96    -5.44368    -5.45917 0.000950686
          97    -5.45684    -5.45915 0.000941191
          98      -5.467    -5.45923 0.000934989
          99    -5.45098    -5.45915 0.000929249
         100    -5.45632    -5.45912 0.000920385
