#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.38443     1.38443           0
           2      1.4056     1.39502  0.00748247
           3     1.45005     1.41336   0.0157865
           4      1.3352     1.39382   0.0206526
           5     1.45616     1.40629   0.0199331
           6     1.43357     1.41084   0.0171217
           7     1.41765     1.41181   0.0147034
           8     1.47158     1.41928   0.0146414
           9     1.41231     1.41851    0.013035
          10     1.33517     1.41017   0.0141471
          11     1.40793     1.40997   0.0128625
          12     1.43664     1.41219    0.011981
          13      1.4405     1.41437   0.0112555
          14     1.42164     1.41489   0.0104635
          15     1.35995     1.41122   0.0103872
          16     1.44837     1.41355  0.00999404
          17     1.42985      1.4145  0.00945205
          18     1.39343     1.41333  0.00899915
          19     1.39257     1.41224  0.00859164
          20     1.40715     1.41199  0.00816583
          21      1.2938     1.40636  0.00952093
          22     1.45436     1.40854  0.00933487
          23     1.43071      1.4095  0.00897862
          24     1.34301     1.40673   0.0090219
          25     1.43873     1.40801  0.00875133
          26     1.38924     1.40729  0.00844446
          27     1.39043     1.40667  0.00815476
          28     1.48458     1.40945  0.00832476
          29     1.38234     1.40852  0.00809001
          30       1.323     1.40566  0.00830733
          31     1.39843     1.40543  0.00804263
          32     1.47952     1.40775  0.00811767
          33      1.4512     1.40906  0.00797776
          34     1.42999     1.40968  0.00776684
          35     1.39959     1.40939  0.00755028
          36     1.37797     1.40852  0.00739082
          37     1.42716     1.40902  0.00720821
          38      1.3952     1.40866  0.00702769
          39     1.37265     1.40773  0.00690786
          40     1.42328     1.40812  0.00674608
          41     1.35322     1.40678  0.00671315
          42     1.46531     1.40818  0.00669636
          43     1.44285     1.40898  0.00658899
          44     1.55136     1.41222  0.00719006
          45     1.38358     1.41158  0.00705839
          46     1.44204     1.41225  0.00693592
          47     1.39312     1.41184  0.00680027
          48     1.33052     1.41014   0.0068664
          49     1.42399     1.41043  0.00673208
          50      1.3464     1.40915  0.00671812
          51     1.42937     1.40954  0.00659809
          52     1.45499     1.41042  0.00652883
          53      1.4695     1.41153  0.00650013
          54     1.39636     1.41125  0.00638582
          55     1.53557     1.41351  0.00665777
          56     1.38207     1.41295  0.00656251
          57     1.40713     1.41285  0.00644817
          58     1.40928     1.41279  0.00633729
          59     1.35247     1.41176  0.00631179
          60     1.49781      1.4132  0.00636744
          61     1.45294     1.41385   0.0062963
          62     1.48351     1.41497  0.00629419
          63     1.38823     1.41455  0.00620858
          64     1.42204     1.41467  0.00611267
          65     1.43003      1.4149   0.0060232
          66     1.45422      1.4155  0.00596133
          67     1.41319     1.41546  0.00587245
          68     1.41099      1.4154  0.00578646
          69     1.40526     1.41525  0.00570446
          70     1.38317     1.41479  0.00564135
          71     1.44201     1.41518  0.00557491
          72     1.46022      1.4158  0.00553247
          73     1.34826     1.41488  0.00553351
          74     1.44217     1.41524  0.00547101
          75     1.45995     1.41584  0.00543044
          76     1.42668     1.41598  0.00536086
          77     1.45805     1.41653    0.005319
          78     1.41718     1.41654  0.00525082
          79     1.35408     1.41575  0.00524353
          80     1.48511     1.41661  0.00524918
          81     1.45664     1.41711  0.00520758
          82     1.46855     1.41774  0.00518172
          83     1.50138     1.41874  0.00521636
          84     1.32644     1.41764  0.00526872
          85     1.34924     1.41684  0.00526783
          86     1.38574     1.41648  0.00521897
          87     1.39889     1.41628   0.0051629
          88      1.4321     1.41646  0.00510736
          89     1.43327     1.41665  0.00505346
          90     1.42304     1.41672  0.00499781
          91     1.37213     1.41623  0.00496685
          92     1.49972     1.41713  0.00499509
          93     1.39165     1.41686  0.00494889
          94     1.46637     1.41739  0.00492419
          95     1.48336     1.41808  0.00492109
          96     1.45124     1.41843  0.00488193
          97     1.41131     1.41835  0.00483216
          98     1.32185     1.41737  0.00488216
          99     1.38534     1.41704  0.00484355
         100     1.43538     1.41723  0.00479859
