#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09039     1.09039           0
           2     1.09175     1.09107  0.00048223
           3      1.0856     1.08925  0.00152144
           4     1.09843     1.09154  0.00229253
           5     1.08911     1.09106  0.00188478
           6     1.09171     1.09116  0.00157379
           7     1.09019     1.09103  0.00135505
           8     1.08803     1.09065  0.00123628
           9     1.09549     1.09119  0.00121019
          10     1.09736     1.09181  0.00123652
          11     1.09308     1.09192  0.00112954
          12     1.08548     1.09139  0.00115616
          13     1.08273     1.09072  0.00124417
          14      1.0954     1.09105  0.00119937
          15     1.09898     1.09158  0.00123026
          16     1.09405     1.09174  0.00116296
          17     1.08986     1.09163   0.0010998
          18     1.09074     1.09158  0.00103979
          19     1.09771      1.0919  0.00103391
          20     1.09401       1.092 0.000987568
          21      1.1052     1.09263  0.00112269
          22     1.08426     1.09225  0.00113434
          23     1.09123     1.09221   0.0010859
          24     1.09579     1.09236  0.00105088
          25     1.09243     1.09236  0.00100885
          26      1.0928     1.09238 0.000970189
          27     1.09386     1.09243 0.000935803
          28     1.08829     1.09228  0.00091398
          29     1.10433      1.0927 0.000972324
          30     1.09955     1.09293 0.000966357
          31     1.09504       1.093 0.000937578
          32     1.08453     1.09273 0.000944894
          33      1.0897     1.09264   0.0009207
          34     1.09101     1.09259 0.000894866
          35     1.09416     1.09264 0.000870414
          36     1.09861      1.0928 0.000861931
          37     1.08684     1.09264 0.000853552
          38     1.09297     1.09265 0.000831134
          39     1.08937     1.09257 0.000814059
          40     1.08544     1.09239  0.00081298
          41     1.10305     1.09265  0.00083369
          42     1.08295     1.09242 0.000845221
          43     1.08817     1.09232 0.000831328
          44     1.07887     1.09201  0.00086683
          45     1.09564     1.09209 0.000851315
          46     1.09279     1.09211 0.000832944
          47     1.09543     1.09218 0.000818223
          48     1.10187     1.09238 0.000825723
          49     1.09235     1.09238 0.000808872
          50     1.10091     1.09255 0.000810476
          51     1.09548     1.09261 0.000796623
          52     1.08231     1.09241 0.000805551
          53     1.07882     1.09215 0.000830165
          54     1.09574     1.09222 0.000817448
          55     1.07879     1.09198 0.000838239
          56     1.09801     1.09208 0.000830158
          57     1.09409     1.09212 0.000816343
          58     1.09547     1.09218 0.000804305
          59     1.09531     1.09223 0.000792423
          60     1.07976     1.09202 0.000805993
          61     1.08325     1.09188  0.00080552
          62     1.09127     1.09187 0.000792587
          63     1.09319     1.09189 0.000780284
          64     1.09157     1.09188 0.000768109
          65     1.08918     1.09184 0.000757419
          66     1.08633     1.09176 0.000750538
          67     1.08969     1.09173 0.000739973
          68     1.09444     1.09177 0.000730163
          69     1.09446     1.09181 0.000720621
          70     1.09486     1.09185 0.000711643
          71     1.08689     1.09178 0.000705041
          72     1.08514     1.09169 0.000701251
          73     1.09724     1.09176 0.000695756
          74     1.09377     1.09179 0.000686884
          75     1.08489      1.0917 0.000683857
          76     1.08361     1.09159 0.000683089
          77     1.09043     1.09158 0.000674385
          78     1.09239     1.09159  0.00066582
          79      1.0986     1.09168 0.000663288
          80     1.09233     1.09169 0.000655047
          81     1.09441     1.09172 0.000647824
          82     1.08942     1.09169  0.00064053
          83     1.08246     1.09158 0.000642389
          84     1.10274     1.09171 0.000648345
          85     1.10244     1.09184 0.000652889
          86     1.09082     1.09183 0.000645404
          87     1.09442     1.09186 0.000638671
          88     1.09585      1.0919 0.000633023
          89     1.09539     1.09194 0.000627119
          90      1.0918     1.09194 0.000620153
          91     1.09816     1.09201 0.000617097
          92     1.07958     1.09187 0.000625012
          93     1.08846     1.09184 0.000619368
          94     1.08806      1.0918 0.000614084
          95     1.08518     1.09173 0.000611553
          96     1.08115     1.09162 0.000615021
          97     1.09021      1.0916 0.000608853
          98      1.0968     1.09166 0.000604944
          99      1.0864      1.0916 0.000601161
         100     1.09042     1.09159 0.000595265
