#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.82186    -3.82186           0
           2    -3.82289    -3.82237 0.000365768
           3    -3.82182    -3.82219 0.000286237
           4    -3.82263     -3.8223 0.000234385
           5    -3.82158    -3.82216 0.000227584
           6    -3.82153    -3.82205 0.000212001
           7    -3.82147    -3.82197 0.000197548
           8    -3.82095    -3.82184 0.000209654
           9    -3.82124    -3.82177 0.000196537
          10    -3.82251    -3.82185 0.000190124
          11     -3.8211    -3.82178 0.000184543
          12    -3.82156    -3.82176 0.000170097
          13    -3.82146    -3.82174 0.000158629
          14    -3.82205    -3.82176 0.000148897
          15    -3.82224    -3.82179 0.000142406
          16    -3.82203    -3.82181  0.00013425
          17    -3.82183    -3.82181 0.000126357
          18    -3.82152    -3.82179 0.000120363
          19    -3.82278    -3.82184 0.000124674
          20    -3.82155    -3.82183 0.000119317
          21    -3.82324     -3.8219 0.000131292
          22    -3.82141    -3.82187 0.000127149
          23    -3.82222    -3.82189 0.000122525
          24     -3.8232    -3.82194 0.000129056
          25    -3.82193    -3.82194 0.000123894
          26    -3.82162    -3.82193 0.000119743
          27    -3.82242    -3.82195 0.000116679
          28     -3.8213    -3.82193 0.000114822
          29    -3.82203    -3.82193 0.000110922
          30    -3.82383    -3.82199 0.000124041
          31    -3.82172    -3.82199 0.000120353
          32    -3.82181    -3.82198 0.000116721
          33    -3.82079    -3.82194 0.000118584
          34    -3.82152    -3.82193 0.000115736
          35    -3.82217    -3.82194 0.000112635
          36    -3.82194    -3.82194 0.000109507
          37    -3.82164    -3.82193  0.00010685
          38    -3.82193    -3.82193 0.000104039
          39     -3.8219    -3.82193 0.000101373
          40      -3.822    -3.82193 9.88555e-05
          41    -3.82245    -3.82194 9.72375e-05
          42    -3.82167    -3.82194 9.51438e-05
          43    -3.82145    -3.82193 9.35903e-05
          44    -3.82111    -3.82191 9.32659e-05
          45    -3.82194    -3.82191  9.1196e-05
          46    -3.82196    -3.82191 8.92217e-05
          47    -3.82217    -3.82192 8.74999e-05
          48    -3.82152    -3.82191 8.60631e-05
          49    -3.82137     -3.8219 8.49886e-05
          50    -3.82236    -3.82191  8.3786e-05
          51    -3.82191    -3.82191 8.21432e-05
          52    -3.82207    -3.82191 8.06255e-05
          53    -3.82193    -3.82191  7.9105e-05
          54    -3.82186    -3.82191 7.76462e-05
          55    -3.82099    -3.82189  7.8007e-05
          56    -3.82212     -3.8219 7.67249e-05
          57    -3.82168    -3.82189 7.54722e-05
          58    -3.82221     -3.8219 7.43697e-05
          59    -3.82275    -3.82191 7.44912e-05
          60    -3.82056    -3.82189 7.65855e-05
          61    -3.82107    -3.82188 7.65041e-05
          62    -3.82144    -3.82187 7.55867e-05
          63    -3.82231    -3.82188 7.47157e-05
          64     -3.8217    -3.82187 7.35979e-05
          65    -3.82162    -3.82187 7.25664e-05
          66    -3.82157    -3.82186 7.16042e-05
          67    -3.82157    -3.82186 7.06666e-05
          68    -3.82112    -3.82185 7.04686e-05
          69    -3.82237    -3.82186 6.98498e-05
          70     -3.8206    -3.82184 7.11295e-05
          71    -3.82166    -3.82184 7.01741e-05
          72    -3.82188    -3.82184 6.92021e-05
          73    -3.82271    -3.82185 6.92727e-05
          74    -3.82157    -3.82184 6.84363e-05
          75    -3.82155    -3.82184 6.76344e-05
          76    -3.82243    -3.82185 6.71883e-05
          77    -3.82125    -3.82184 6.67652e-05
          78    -3.82122    -3.82183 6.63817e-05
          79    -3.82128    -3.82183 6.59123e-05
          80    -3.82082    -3.82181 6.62718e-05
          81    -3.82069     -3.8218 6.68808e-05
          82    -3.82066    -3.82179 6.74901e-05
          83    -3.82187    -3.82179 6.66843e-05
          84    -3.82204    -3.82179 6.59565e-05
          85    -3.82224    -3.82179 6.53916e-05
          86    -3.82077    -3.82178 6.57101e-05
          87    -3.82119    -3.82178 6.53101e-05
          88    -3.82107    -3.82177 6.50631e-05
          89    -3.82189    -3.82177 6.43459e-05
          90    -3.82143    -3.82177 6.37425e-05
          91    -3.82209    -3.82177 6.31411e-05
          92    -3.82125    -3.82176 6.27069e-05
          93    -3.82176    -3.82176 6.20326e-05
          94    -3.82112    -3.82176 6.17542e-05
          95    -3.82079    -3.82175  6.1941e-05
          96    -3.82195    -3.82175 6.13325e-05
          97    -3.82153    -3.82175 6.07427e-05
          98     -3.8218    -3.82175 6.01257e-05
          99    -3.82139    -3.82174 5.96279e-05
         100    -3.82069    -3.82173 5.99512e-05
