epochs,n_points,sigma,learned_m,learned_b,mse,mae,rmse,r2
10,100,0.05,1.571384,0.44195524,0.3918286694705292,0.592950248457157,0.6259621949211703,0.5414636812704565
10,100,0.2,0.024567157,0.39098486,1.4316758673305832,0.9944410604698856,1.1965265844646258,-0.6501289407175024
10,100,0.5,-0.2688783,0.40989888,1.9195483431137306,1.1731483791051103,1.3854776588287991,-0.8861400651960092
10,100,1.0,-0.7424519,0.44209135,3.1455115597998815,1.5382440524671832,1.773559009393226,-0.9238414662198255
10,300,0.05,0.7264842,0.8429707,0.5230570059466308,0.6541217499300047,0.7232268011810893,0.5898249690360109
10,300,0.2,0.9698093,0.81566113,0.3717402339191281,0.5234756639885524,0.6097050384564064,0.7067222160214993
10,300,0.5,1.4740865,0.7603852,0.3783295296229755,0.5053893483138806,0.6150849775624304,0.7299019798518684
10,300,1.0,0.5927922,0.732382,1.5695279406386466,1.024601817506809,1.2528080222598539,0.2390930224962865
10,600,0.05,1.8025708,0.94845074,0.01692019682805011,0.1091519486720904,0.13007765691328435,0.9878854227911422
10,600,0.2,0.85290426,0.9337365,0.4715468247009997,0.6004112343265826,0.6866926712154424,0.6607784981863898
10,600,0.5,1.7360122,0.94196975,0.209133762620211,0.36786468817314344,0.45731145034889625,0.8591671038991764
10,600,1.0,1.1098686,0.9272946,0.9769236310816992,0.8073300544088207,0.9883944713937342,0.5024277829482602
10,1000,0.05,1.9178697,0.99332124,0.004439351565909166,0.053483483538639603,0.06662845912903259,0.9964946895780034
10,1000,0.2,1.7269037,0.9932047,0.058574285253435346,0.1920850922107593,0.24202124959068233,0.955549545321934
10,1000,0.5,1.3577212,0.9931388,0.3468654620116001,0.4655424420397319,0.5889528521126289,0.7723687254481106
10,1000,1.0,1.4874725,1.0027531,0.8916035589287784,0.7235346057518419,0.944247615262426,0.5898629548656551
30,100,0.05,1.2825974,0.7826426,0.18320474295039496,0.3567204388311366,0.4280242317327314,0.7856052020905409
30,100,0.2,1.5421041,0.83544576,0.12680454973196964,0.3113716920833124,0.3560962646981426,0.853846906201249
30,100,0.5,1.767119,0.9139709,0.2675571812527685,0.4328252952192663,0.5172592978891424,0.7370994478455511
30,100,1.0,0.31406978,0.8764545,1.5678727234307615,1.0914016775524644,1.2521472451076836,0.04106581656212149
30,300,0.05,1.4624537,1.0138744,0.0931010852737482,0.2712989347357857,0.3051247044631886,0.926991245503292
30,300,0.2,1.5373422,0.9870937,0.09788118081582321,0.25215271530820593,0.31285968231113326,0.9227783995823583
30,300,0.5,1.7786233,0.9285563,0.28039480008662426,0.4197660932530576,0.5295231818217445,0.799819801434212
30,300,1.0,1.4045314,0.8732006,1.1398191549991914,0.8509934172252308,1.0676231334132806,0.44741579574660806
30,600,0.05,1.9787806,0.99891466,0.0020836923372131054,0.03666681782502136,0.04564747897981996,0.9985081112261752
30,600,0.2,1.8536824,0.99503624,0.036684688498259,0.1562203064174006,0.19153247374338117,0.9736097573473544
30,600,0.5,1.8443427,0.9910388,0.20507530122623643,0.3620976863269224,0.4528524055652531,0.8619001148901602
30,600,1.0,1.7578577,0.9832692,0.8163776656606573,0.7196375600358456,0.9035362005258324,0.5841979535242438
30,1000,0.05,1.9889317,1.0006489,0.0020038346727787428,0.0344234668402154,0.044764211964232574,0.998417772853047
30,1000,0.2,1.9782693,1.0029011,0.03125053761091832,0.13654828647341918,0.17677821588340098,0.9762848048468872
30,1000,0.5,1.9379071,1.0071474,0.19589557915338854,0.34165960695412506,0.44260092538695456,0.8714430658412595
30,1000,1.0,1.9073634,1.0147223,0.7790312292140694,0.6821871605980955,0.8826274577725698,0.6416461517929433
50,100,0.05,1.5327967,0.9101043,0.06369975309402183,0.21127933541860866,0.2523881001434533,0.9254555560541735
50,100,0.2,1.731534,0.9654774,0.055674959380390535,0.20769035439585498,0.23595541820519939,0.935829845397792
50,100,0.5,1.6985204,1.027,0.2442821819233453,0.4176956870453621,0.4942491091780999,0.7599693635265621
50,100,1.0,1.3549165,1.0965399,0.974636778732531,0.8353240824269589,0.9872369415355824,0.4038977082799686
50,300,0.05,1.9333587,0.99581736,0.003648908314602183,0.04778045515786977,0.06040619433967168,0.9971385698615813
50,300,0.2,1.7822719,0.98143154,0.05249585477030077,0.18207755838859538,0.2291197389364364,0.9585843377974513
50,300,0.5,1.8556585,0.93148637,0.27782369112216426,0.413733014102509,0.5270898321179838,0.8016553743581067
50,300,1.0,1.693629,0.86427516,1.1110022847805474,0.8284661077085441,1.0540409312643164,0.4613862113419259
50,600,0.05,1.983461,0.9990991,0.00205522375405215,0.0362827795687694,0.04533457570168877,0.9985284942543536
50,600,0.2,1.9601355,0.9968089,0.03262639799558958,0.1433998379150534,0.18062778854758085,0.9765292116348143
50,600,0.5,1.9264754,0.9924315,0.20412607884589123,0.35698598536126874,0.4518031416954637,0.8625393313188843
50,600,1.0,1.8616062,0.9849986,0.8168308968090654,0.7136022428619081,0.9037869753482097,0.5839671112964837
50,1000,0.05,1.9952343,1.0007343,0.0019484835277375151,0.034113575190547876,0.04414163032487037,0.9984614780975409
50,1000,0.2,1.982812,1.0029631,0.031125820421347608,0.1364144795061471,0.17642511278541842,0.976379449378333
50,1000,0.5,1.9582869,1.0074235,0.19445515611085487,0.3410196490169654,0.4409706975648777,0.872388346847804
50,1000,1.0,1.9166278,1.0148476,0.7778137098419807,0.6820385952473385,0.881937475018485,0.6422062098957421
100,100,0.05,1.8369635,0.9879112,0.008367850490432704,0.07586299058460202,0.09147595580496934,0.9902075482002196
100,100,0.2,1.9057332,1.030885,0.037369486416159454,0.16227672649958413,0.19331188896743898,0.9569284693259305
100,100,0.5,1.69691,1.0717596,0.2395049101555294,0.41328091356097846,0.489392388738862,0.7646634905153052
100,100,1.0,1.9700497,1.2207204,0.9181096566909355,0.8053999471579146,0.9581803883877688,0.4384705334889176
100,300,0.05,1.9888192,0.9929949,0.002783900718282796,0.04125781541361988,0.052762683008759095,0.9978168984444521
100,300,0.2,1.9757146,0.9708227,0.04492695626593128,0.1649772096273738,0.2119597987023277,0.9645556843937485
100,300,0.5,1.948852,0.9265156,0.28143749249375766,0.4126330679552499,0.5305068260576462,0.799075399708365
100,300,1.0,1.8892008,0.8535126,1.1245745942573255,0.8249667822897276,1.0604596146281693,0.45480635716136375
100,600,0.05,1.9931144,0.9992504,0.002042146270887843,0.035678647049207306,0.04519011253457821,0.9985378575130144
100,600,0.2,1.9728414,0.99700785,0.03267757340234981,0.142698224981165,0.18076939288040386,0.9764923970547392
100,600,0.5,1.9321686,0.99252075,0.20423625292096256,0.3567428120699829,0.45192505232722224,0.862465138927024
100,600,1.0,1.8643621,0.985042,0.8169461078345844,0.7134845743524247,0.9038507110328478,0.5839084313714902
100,1000,0.05,1.9958367,1.0007424,0.0019445002249837524,0.03410186612024287,0.04409648767173813,0.9984646233119826
100,1000,0.2,1.9833403,1.0029696,0.031112172010165334,0.13640753556503077,0.17638642807814137,0.9763898067916598
100,1000,0.5,1.958353,1.0074239,0.19445093740766672,0.3410188285590301,0.44096591411090574,0.8723911153816849
100,1000,1.0,1.9167087,1.0148488,0.7778032867404492,0.6820375038862926,0.8819315657920682,0.6422110045155263
